driver_program,0,900.2455956935883,/dev/shm/val/spark-1572117672-tmpfs_1it_96cpus_20bb-0,allfiles
load_img,897.7692272663116,898.5870432853699,bigbrain_6930_3020_2085.nii,325141
increment_data,898.591882944107,899.7134146690369,bigbrain_6930_3020_2085.nii,325141
save_incremented,899.7135810852051,900.190878868103,bigbrain_6930_3020_2085.nii,325141
load_img,897.5450026988983,898.3756036758423,bigbrain_5390_0_4170.nii,325182
increment_data,898.3824374675751,899.5751061439514,bigbrain_5390_0_4170.nii,325182
save_incremented,899.575611114502,900.0993554592133,bigbrain_5390_0_4170.nii,325182
load_img,897.5037188529968,898.2309539318085,bigbrain_6930_3624_6255.nii,325697
increment_data,898.2359116077423,899.2872636318207,bigbrain_6930_3624_6255.nii,325697
save_incremented,899.2880992889404,899.9735708236694,bigbrain_6930_3624_6255.nii,325697
load_img,897.3790726661682,898.0487892627716,bigbrain_3850_0_4865.nii,326220
increment_data,898.053067445755,899.123783826828,bigbrain_3850_0_4865.nii,326220
save_incremented,899.1240680217743,899.6045641899109,bigbrain_3850_0_4865.nii,326220
load_img,897.1116154193878,898.0070283412933,bigbrain_0_1208_695.nii,325640
increment_data,898.0118775367737,899.3187761306763,bigbrain_0_1208_695.nii,325640
save_incremented,899.3190078735352,900.0242702960968,bigbrain_0_1208_695.nii,325640
load_img,897.1192071437836,897.9892301559448,bigbrain_6930_5436_2780.nii,325263
increment_data,897.9938559532166,899.29172706604,bigbrain_6930_5436_2780.nii,325263
save_incremented,899.2919480800629,899.9772040843964,bigbrain_6930_5436_2780.nii,325263
load_img,897.0362162590027,897.9595398902893,bigbrain_6930_1812_695.nii,325455
increment_data,897.9651262760162,899.237161397934,bigbrain_6930_1812_695.nii,325455
save_incremented,899.2374110221863,899.9135365486145,bigbrain_6930_1812_695.nii,325455
load_img,897.0364947319031,897.8738062381744,bigbrain_6930_4832_5560.nii,325645
increment_data,897.8800897598267,898.9197957515717,bigbrain_6930_4832_5560.nii,325645
save_incremented,898.9200222492218,899.6372168064117,bigbrain_6930_4832_5560.nii,325645
load_img,896.9345200061798,897.8737509250641,bigbrain_3850_1812_695.nii,325371
increment_data,897.8799667358398,899.1819179058075,bigbrain_3850_1812_695.nii,325371
save_incremented,899.1821472644806,899.8810119628906,bigbrain_3850_1812_695.nii,325371
load_img,896.5069811344147,897.7354159355164,bigbrain_2310_1208_0.nii,327635
increment_data,897.7413928508759,899.1266143321991,bigbrain_2310_1208_0.nii,327635
save_incremented,899.1269335746765,899.7812526226044,bigbrain_2310_1208_0.nii,327635
load_img,897.072506904602,897.6860370635986,bigbrain_0_4228_4865.nii,325409
increment_data,897.6896278858185,898.726021528244,bigbrain_0_4228_4865.nii,325409
