driver_program,0,143.2640357017517,/dev/shm/val/spark-1572088120-tmpfs_1it_25cpus_20bb-0,allfiles
load_img,141.97950267791748,141.98060083389282,bigbrain_6160_2416_0.nii,326394
increment_data,141.98079133033752,142.74296402931213,bigbrain_6160_2416_0.nii,326394
save_incremented,142.74312806129456,143.22134566307068,bigbrain_6160_2416_0.nii,326394
load_img,141.5821352005005,141.5831651687622,bigbrain_0_3020_3475.nii,326435
increment_data,141.58337330818176,142.20617175102234,bigbrain_0_3020_3475.nii,326435
save_incremented,142.2063341140747,142.64894795417786,bigbrain_0_3020_3475.nii,326435
load_img,141.37946391105652,141.38078093528748,bigbrain_6930_3020_0.nii,326409
increment_data,141.38104796409607,142.1266324520111,bigbrain_6930_3020_0.nii,326409
save_incremented,142.12684154510498,142.75347352027893,bigbrain_6930_3020_0.nii,326409
load_img,140.53877520561218,140.54033398628235,bigbrain_1540_3624_1390.nii,326394
increment_data,140.54054856300354,141.41501998901367,bigbrain_1540_3624_1390.nii,326394
save_incremented,141.41519689559937,141.97708582878113,bigbrain_1540_3624_1390.nii,326394
load_img,140.19500088691711,140.19596934318542,bigbrain_770_1208_4865.nii,326579
increment_data,140.19615244865417,141.06483006477356,bigbrain_770_1208_4865.nii,326579
save_incremented,141.06498003005981,141.64020085334778,bigbrain_770_1208_4865.nii,326579
load_img,140.16169238090515,140.1626923084259,bigbrain_6930_1812_4170.nii,326435
increment_data,140.16288781166077,140.93529295921326,bigbrain_6930_1812_4170.nii,326435
save_incremented,140.9355719089508,141.57965087890625,bigbrain_6930_1812_4170.nii,326435
load_img,140.06479930877686,140.06577229499817,bigbrain_4620_5436_695.nii,326378
increment_data,140.06595873832703,140.8051996231079,bigbrain_4620_5436_695.nii,326378
save_incremented,140.80567002296448,141.50185418128967,bigbrain_4620_5436_695.nii,326378
load_img,139.98508071899414,139.98601174354553,bigbrain_6930_1208_695.nii,326409
increment_data,139.98618602752686,140.7267451286316,bigbrain_6930_1208_695.nii,326409
save_incremented,140.72701168060303,141.37576150894165,bigbrain_6930_1208_695.nii,326409
load_img,139.46888494491577,139.47018575668335,bigbrain_5390_3020_4865.nii,326568
increment_data,139.47045350074768,140.31273365020752,bigbrain_5390_3020_4865.nii,326568
save_incremented,140.31298327445984,140.9613778591156,bigbrain_5390_3020_4865.nii,326568
load_img,138.90486454963684,138.9063880443573,bigbrain_2310_3020_6255.nii,326394
increment_data,138.90687727928162,139.93907952308655,bigbrain_2310_3020_6255.nii,326394
save_incremented,139.9392409324646,140.53498125076294,bigbrain_2310_3020_6255.nii,326394
load_img,138.87152934074402,138.87250089645386,bigbrain_0_4228_6255.nii,326579
increment_data,138.87268614768982,139.63977217674255,bigbrain_0_4228_6255.nii,326579
save_incremented,139.63994550704956,140.19257044792175,bigbrain_0_4228_6255.nii,326579
load_img,138.49979162216187,138.5008716583252,bigbrain_1540_3020_2085.nii,326435
increment_data,138.50109601020813,139.50880193710327,bigbrain_1540_3020_2085.nii,326435
save_incremented,139.5089831352234,140.15856766700745,bigbrain_1540_3020_2085.nii,326435
load_img,138.39402961730957,138.39499878883362,bigbrain_1540_0_5560.nii,326378
increment_data,138.39518189430237,139.34823393821716,bigbrain_1540_0_5560.nii,326378
save_incremented,139.34841775894165,140.06183433532715,bigbrain_1540_0_5560.nii,326378
load_img,138.29728198051453,138.2985396385193,bigbrain_770_1812_0.nii,326409
increment_data,138.2987678050995,139.19828724861145,bigbrain_770_1812_0.nii,326409
save_incremented,139.19845628738403,139.9823853969574,bigbrain_770_1812_0.nii,326409
load_img,138.00903844833374,138.01017212867737,bigbrain_6930_0_1390.nii,326568
increment_data,138.0103781223297,138.9311225414276,bigbrain_6930_0_1390.nii,326568
save_incremented,138.9313108921051,139.4651219844818,bigbrain_6930_0_1390.nii,326568
load_img,137.1477415561676,137.1490454673767,bigbrain_6930_0_2780.nii,326579
increment_data,137.14924478530884,138.29044365882874,bigbrain_6930_0_2780.nii,326579
save_incremented,138.29061484336853,138.86905550956726,bigbrain_6930_0_2780.nii,326579
load_img,137.0559058189392,137.05711126327515,bigbrain_5390_2416_6255.nii,326386
increment_data,137.0573227405548,138.21091198921204,bigbrain_5390_2416_6255.nii,326386
save_incremented,138.21113991737366,138.80484557151794,bigbrain_5390_2416_6255.nii,326386
load_img,137.04818415641785,137.04953861236572,bigbrain_6930_3624_6255.nii,326479
increment_data,137.04975414276123,138.3348526954651,bigbrain_6930_3624_6255.nii,326479
save_incremented,138.33510422706604,138.90278124809265,bigbrain_6930_3624_6255.nii,326479
load_img,136.85308933258057,136.8541624546051,bigbrain_0_4228_4170.nii,326394
increment_data,136.8543665409088,138.3007276058197,bigbrain_0_4228_4170.nii,326394
save_incremented,138.30084109306335,138.90111184120178,bigbrain_0_4228_4170.nii,326394
load_img,136.48667335510254,136.48844170570374,bigbrain_0_1208_6255.nii,326435
increment_data,136.48874425888062,137.84568190574646,bigbrain_0_1208_6255.nii,326435
save_incremented,137.84585762023926,138.49698567390442,bigbrain_0_1208_6255.nii,326435
load_img,136.4327347278595,136.43400740623474,bigbrain_1540_2416_2085.nii,326409
increment_data,136.43425250053406,137.6433720588684,bigbrain_1540_2416_2085.nii,326409
save_incremented,137.64361715316772,138.29464077949524,bigbrain_1540_2416_2085.nii,326409
load_img,136.33490109443665,136.3361039161682,bigbrain_6160_4228_4865.nii,326378
increment_data,136.3364543914795,137.5503921508789,bigbrain_6160_4228_4865.nii,326378
save_incremented,137.55065631866455,138.3910825252533,bigbrain_6160_4228_4865.nii,326378
load_img,136.17734551429749,136.17907428741455,bigbrain_2310_5436_1390.nii,326557
increment_data,136.17935609817505,137.0019781589508,bigbrain_2310_5436_1390.nii,326557
save_incremented,137.0022735595703,138.22038555145264,bigbrain_2310_5436_1390.nii,326557
load_img,135.7587022781372,135.76002740859985,bigbrain_0_1812_2780.nii,326568
increment_data,135.76031017303467,136.8366777896881,bigbrain_0_1812_2780.nii,326568
save_incremented,136.8368353843689,138.0056345462799,bigbrain_0_1812_2780.nii,326568
load_img,135.72049641609192,135.72163224220276,bigbrain_3850_0_1390.nii,326416
increment_data,135.72196793556213,136.79277920722961,bigbrain_3850_0_1390.nii,326416
save_incremented,136.7929344177246,137.31929850578308,bigbrain_3850_0_1390.nii,326416
load_img,135.4823112487793,135.48371386528015,bigbrain_1540_0_1390.nii,326579
increment_data,135.48396635055542,136.51602602005005,bigbrain_1540_0_1390.nii,326579
save_incremented,136.51618790626526,137.14521265029907,bigbrain_1540_0_1390.nii,326579
load_img,135.3884241580963,135.38948941230774,bigbrain_770_3020_2780.nii,326386
increment_data,135.3897020816803,136.4030327796936,bigbrain_770_3020_2780.nii,326386
save_incremented,136.40318417549133,137.05319094657898,bigbrain_770_3020_2780.nii,326386
load_img,135.33274745941162,135.33375644683838,bigbrain_6160_1812_4170.nii,326479
increment_data,135.33394861221313,136.3913037776947,bigbrain_6160_1812_4170.nii,326479
save_incremented,136.39151287078857,137.0455527305603,bigbrain_6160_1812_4170.nii,326479
load_img,134.90051674842834,134.90193796157837,bigbrain_5390_604_1390.nii,326394
increment_data,134.90231776237488,136.23951244354248,bigbrain_5390_604_1390.nii,326394
save_incremented,136.23972749710083,136.8499698638916,bigbrain_5390_604_1390.nii,326394
load_img,134.28663325309753,134.2896363735199,bigbrain_770_4228_3475.nii,326435
increment_data,134.29048442840576,135.63689851760864,bigbrain_770_4228_3475.nii,326435
save_incremented,135.63707375526428,136.4820761680603,bigbrain_770_4228_3475.nii,326435
load_img,134.16033267974854,134.1617136001587,bigbrain_4620_1812_3475.nii,326409
increment_data,134.16201639175415,135.44196581840515,bigbrain_4620_1812_3475.nii,326409
save_incremented,135.44224166870117,136.4289014339447,bigbrain_4620_1812_3475.nii,326409
load_img,134.07281827926636,134.0744390487671,bigbrain_4620_4228_3475.nii,326378
increment_data,134.07490921020508,135.34521079063416,bigbrain_4620_4228_3475.nii,326378
save_incremented,135.346049785614,136.33036518096924,bigbrain_4620_4228_3475.nii,326378
load_img,134.02224779129028,134.02332615852356,bigbrain_5390_4228_5560.nii,326416
increment_data,134.02355313301086,135.24703788757324,bigbrain_5390_4228_5560.nii,326416
save_incremented,135.2472095489502,135.71786093711853,bigbrain_5390_4228_5560.nii,326416
load_img,133.95396637916565,133.95611953735352,bigbrain_6160_4832_695.nii,326557
increment_data,133.95773601531982,135.13060212135315,bigbrain_6160_4832_695.nii,326557
save_incremented,135.13078927993774,136.17378044128418,bigbrain_6160_4832_695.nii,326557
load_img,133.62721490859985,133.6287341117859,bigbrain_1540_0_4865.nii,326579
increment_data,133.62907457351685,134.85221004486084,bigbrain_1540_0_4865.nii,326579
save_incremented,134.85236144065857,135.4796323776245,bigbrain_1540_0_4865.nii,326579
load_img,133.5714066028595,133.57370328903198,bigbrain_4620_604_2780.nii,326458
increment_data,133.5744924545288,134.78350234031677,bigbrain_4620_604_2780.nii,326458
save_incremented,134.78365659713745,135.43391227722168,bigbrain_4620_604_2780.nii,326458
load_img,133.56165218353271,133.56278586387634,bigbrain_6930_4228_3475.nii,326386
increment_data,133.5630180835724,134.7125325202942,bigbrain_6930_4228_3475.nii,326386
save_incremented,134.7127091884613,135.38571429252625,bigbrain_6930_4228_3475.nii,326386
load_img,133.44404888153076,133.44505167007446,bigbrain_3850_0_4865.nii,326479
increment_data,133.44524931907654,134.626873254776,bigbrain_3850_0_4865.nii,326479
save_incremented,134.62704849243164,135.32990145683289,bigbrain_3850_0_4865.nii,326479
load_img,133.42611718177795,133.42727971076965,bigbrain_0_3020_695.nii,326568
increment_data,133.42753410339355,134.81824040412903,bigbrain_0_3020_695.nii,326568
save_incremented,134.8184506893158,135.75293231010437,bigbrain_0_3020_695.nii,326568
load_img,132.433189868927,132.43816590309143,bigbrain_3850_4832_1390.nii,326394
increment_data,132.4402847290039,134.002774477005,bigbrain_3850_4832_1390.nii,326394
save_incremented,134.00296449661255,134.89736819267273,bigbrain_3850_4832_1390.nii,326394
load_img,132.1666979789734,132.16945219039917,bigbrain_6160_3020_2780.nii,326416
increment_data,132.1699402332306,133.57836031913757,bigbrain_6160_3020_2780.nii,326416
save_incremented,133.57858848571777,134.01967215538025,bigbrain_6160_3020_2780.nii,326416
load_img,131.75328135490417,131.75444746017456,bigbrain_1540_3624_2085.nii,326492
increment_data,131.75472283363342,133.23317074775696,bigbrain_1540_3624_2085.nii,326492
save_incremented,133.23340153694153,133.77238774299622,bigbrain_1540_3624_2085.nii,326492
load_img,131.6173059940338,131.61907958984375,bigbrain_5390_3020_2780.nii,326435
increment_data,131.6194200515747,133.35255813598633,bigbrain_5390_3020_2780.nii,326435
save_incremented,133.35275888442993,134.2799072265625,bigbrain_5390_3020_2780.nii,326435
load_img,131.44609880447388,131.44829964637756,bigbrain_0_3624_4865.nii,326579
increment_data,131.44893097877502,132.96769046783447,bigbrain_0_3624_4865.nii,326579
save_incremented,132.96903252601624,133.62446689605713,bigbrain_0_3624_4865.nii,326579
load_img,131.43381071090698,131.43511939048767,bigbrain_6930_3020_2780.nii,326409
increment_data,131.4353530406952,133.21182370185852,bigbrain_6930_3020_2780.nii,326409
save_incremented,133.21200609207153,134.1555335521698,bigbrain_6930_3020_2780.nii,326409
load_img,131.39595365524292,131.3970501422882,bigbrain_0_0_5560.nii,326458
increment_data,131.39728665351868,132.89098858833313,bigbrain_0_0_5560.nii,326458
save_incremented,132.89154863357544,133.56864047050476,bigbrain_0_0_5560.nii,326458
load_img,131.38030409812927,131.3818018436432,bigbrain_3080_0_3475.nii,326386
increment_data,131.38225436210632,132.880774974823,bigbrain_3080_0_3475.nii,326386
save_incremented,132.88120317459106,133.55885434150696,bigbrain_3080_0_3475.nii,326386
load_img,131.36311268806458,131.3642063140869,bigbrain_0_2416_6255.nii,326378
increment_data,131.3644142150879,133.10046911239624,bigbrain_0_2416_6255.nii,326378
save_incremented,133.10073113441467,134.06758451461792,bigbrain_0_2416_6255.nii,326378
load_img,131.30261158943176,131.30360317230225,bigbrain_6160_0_1390.nii,326479
increment_data,131.30379271507263,132.73056077957153,bigbrain_6160_0_1390.nii,326479
save_incremented,132.73072504997253,133.44123005867004,bigbrain_6160_0_1390.nii,326479
load_img,131.24073266983032,131.24231362342834,bigbrain_770_604_0.nii,326557
increment_data,131.24258542060852,132.93407559394836,bigbrain_770_604_0.nii,326557
save_incremented,132.934344291687,133.94869875907898,bigbrain_770_604_0.nii,326557
load_img,130.83429050445557,130.83553075790405,bigbrain_770_0_3475.nii,326568
increment_data,130.8357536792755,132.13767004013062,bigbrain_770_0_3475.nii,326568
save_incremented,132.13809394836426,133.422837972641,bigbrain_770_0_3475.nii,326568
load_img,130.4888632297516,130.4899742603302,bigbrain_2310_0_3475.nii,326416
increment_data,130.4902846813202,131.673104763031,bigbrain_2310_0_3475.nii,326416
