driver_program,0,953.2530250549316,/pmem1-data/val/spark-1572524836-optaneAD_1it_96cpus_20bb-1,allfiles
load_img,94.07865905761719,94.80858778953552,bigbrain_2310_604_2780.nii,143089
increment_data,94.82008385658264,96.2086820602417,bigbrain_2310_604_2780.nii,143089
save_incremented,96.20889067649841,101.41965317726135,bigbrain_2310_604_2780.nii,143089
load_img,95.29255676269531,96.29135179519653,bigbrain_0_4228_4865.nii,143074
increment_data,96.29470443725586,97.84514808654785,bigbrain_0_4228_4865.nii,143074
save_incremented,97.84541201591492,102.61371159553528,bigbrain_0_4228_4865.nii,143074
load_img,96.6232898235321,97.06120491027832,bigbrain_6930_1208_6255.nii,143062
increment_data,97.0643093585968,100.54881596565247,bigbrain_6930_1208_6255.nii,143062
save_incremented,100.5499222278595,103.52129745483398,bigbrain_6930_1208_6255.nii,143062
load_img,97.69117474555969,99.79070925712585,bigbrain_1540_4832_0.nii,143086
increment_data,99.90053200721741,101.26499247550964,bigbrain_1540_4832_0.nii,143086
save_incremented,101.2652235031128,102.50797772407532,bigbrain_1540_4832_0.nii,143086
load_img,100.47544860839844,101.08794450759888,bigbrain_3080_1812_3475.nii,143063
increment_data,101.09222030639648,102.12086296081543,bigbrain_3080_1812_3475.nii,143063
save_incremented,102.12110304832458,102.96437191963196,bigbrain_3080_1812_3475.nii,143063
load_img,101.00649356842041,101.66862463951111,bigbrain_1540_3624_0.nii,143092
increment_data,101.67447185516357,102.57660508155823,bigbrain_1540_3624_0.nii,143092
save_incremented,102.57690072059631,103.31961822509766,bigbrain_1540_3624_0.nii,143092
load_img,101.59671807289124,102.20800614356995,bigbrain_2310_0_3475.nii,143107
increment_data,102.21256446838379,102.98778939247131,bigbrain_2310_0_3475.nii,143107
save_incremented,102.98797178268433,103.70033288002014,bigbrain_2310_0_3475.nii,143107
load_img,102.4066390991211,102.8408031463623,bigbrain_6160_3020_5560.nii,143100
increment_data,102.84441065788269,103.52756929397583,bigbrain_6160_3020_5560.nii,143100
save_incremented,103.5277509689331,104.6211907863617,bigbrain_6160_3020_5560.nii,143100
load_img,103.18317937850952,103.58744859695435,bigbrain_0_1208_4170.nii,143080
increment_data,103.59083247184753,105.41389918327332,bigbrain_0_1208_4170.nii,143080
save_incremented,105.41472458839417,107.29773807525635,bigbrain_0_1208_4170.nii,143080
load_img,103.41887736320496,103.84024286270142,bigbrain_4620_4832_4170.nii,143104
increment_data,103.8435389995575,106.45343160629272,bigbrain_4620_4832_4170.nii,143104
save_incremented,106.45517683029175,107.76776337623596,bigbrain_4620_4832_4170.nii,143104
load_img,103.6793761253357,104.29991626739502,bigbrain_3080_2416_5560.nii,143083
increment_data,104.31345248222351,107.00868463516235,bigbrain_3080_2416_5560.nii,143083
save_incremented,107.00916242599487,111.24691033363342,bigbrain_3080_2416_5560.nii,143083
load_img,104.27450013160706,105.47368574142456,bigbrain_3080_5436_695.nii,143137
increment_data,105.49632024765015,107.44075179100037,bigbrain_3080_5436_695.nii,143137
save_incremented,107.44104599952698,112.93688702583313,bigbrain_3080_5436_695.nii,143137
load_img,104.07563734054565,105.55602478981018,bigbrain_6930_1208_5560.nii,143071
increment_data,105.56788372993469,107.50808382034302,bigbrain_6930_1208_5560.nii,143071
