driver_program,0,10989.375693798065,/home/users/vhayots/spark-1572508482-isilonAD_1it_96cpus_20bb-0,allfiles
load_img,9017.60984134674,9018.142700195312,bigbrain_3850_3624_2780.nii,137028
increment_data,9367.56582403183,9370.76683139801,bigbrain_3850_3624_2780.nii,137028
save_incremented,9448.657949924469,9488.394254922867,bigbrain_3850_3624_2780.nii,137028
load_img,4977.862439632416,4979.586674213409,bigbrain_4620_3020_1390.nii,137154
increment_data,5148.451589822769,5150.50483417511,bigbrain_4620_3020_1390.nii,137154
save_incremented,5363.394022703171,5635.299560785294,bigbrain_4620_3020_1390.nii,137154
load_img,5663.272240638733,5664.620659351349,bigbrain_3080_0_0.nii,137079
increment_data,5904.882099151611,5906.113171577454,bigbrain_3080_0_0.nii,137079
save_incremented,6133.699489831924,6407.697116136551,bigbrain_3080_0_0.nii,137079
load_img,9065.059764146805,9066.462937116623,bigbrain_6930_4228_4865.nii,137151
increment_data,9435.044133901596,9437.750284910202,bigbrain_6930_4228_4865.nii,137151
save_incremented,9535.382241725922,9595.990089654922,bigbrain_6930_4228_4865.nii,137151
load_img,5364.437216043472,5365.04490852356,bigbrain_6930_2416_4865.nii,136965
increment_data,5660.003737211227,5661.620140552521,bigbrain_6930_2416_4865.nii,136965
save_incremented,5712.1617431640625,6114.491855382919,bigbrain_6930_2416_4865.nii,136965
load_img,4978.776791334152,4980.007860660553,bigbrain_0_5436_1390.nii,136977
increment_data,5057.850837469101,5074.66114115715,bigbrain_0_5436_1390.nii,136977
save_incremented,5363.309150218964,5624.465069055557,bigbrain_0_5436_1390.nii,136977
load_img,660.5046772956848,660.8883225917816,bigbrain_5390_2416_2085.nii,137169
increment_data,727.6721706390381,730.616064786911,bigbrain_5390_2416_2085.nii,137169
save_incremented,730.6506087779999,1108.6162419319153,bigbrain_5390_2416_2085.nii,137169
load_img,8072.202381134033,8072.7965207099915,bigbrain_6930_4832_2780.nii,137184
increment_data,8374.273925304413,8377.696632862091,bigbrain_6930_4832_2780.nii,137184
save_incremented,8378.052862405777,8542.606696605682,bigbrain_6930_4832_2780.nii,137184
load_img,9063.967594146729,9064.633972406387,bigbrain_3080_0_2780.nii,137115
increment_data,9421.500117301941,9423.567806243896,bigbrain_3080_0_2780.nii,137115
save_incremented,9463.46250796318,9593.095080375671,bigbrain_3080_0_2780.nii,137115
load_img,3542.0221934318542,3542.4140672683716,bigbrain_4620_4832_695.nii,137166
increment_data,3819.500563621521,3820.9771456718445,bigbrain_4620_4832_695.nii,137166
save_incremented,3870.6148421764374,4223.849117040634,bigbrain_4620_4832_695.nii,137166
