driver_program,0,10478.028661489487,/home/users/vhayots/spark-1572094896-isilon_1it_96cpus_20bb-0,allfiles
load_img,1853.9273359775543,1854.4899218082428,bigbrain_0_3020_6255.nii,449780
increment_data,2055.5529520511627,2056.7809166908264,bigbrain_0_3020_6255.nii,449780
save_incremented,2194.2731988430023,2309.810639858246,bigbrain_0_3020_6255.nii,449780
load_img,7148.666218280792,7149.357587099075,bigbrain_3850_5436_4170.nii,449375
increment_data,7509.769411802292,7513.926125049591,bigbrain_3850_5436_4170.nii,449375
save_incremented,7710.798186540604,8110.629346847534,bigbrain_3850_5436_4170.nii,449375
load_img,4745.982065916061,4746.394557714462,bigbrain_3080_3624_4170.nii,449702
increment_data,4858.80686378479,4860.000647306442,bigbrain_3080_3624_4170.nii,449702
save_incremented,4920.492692232132,5487.936430692673,bigbrain_3080_3624_4170.nii,449702
load_img,530.007000207901,530.7084164619446,bigbrain_1540_1208_4170.nii,449469
increment_data,533.7610318660736,538.4934756755829,bigbrain_1540_1208_4170.nii,449469
save_incremented,565.9886884689331,1255.2439522743225,bigbrain_1540_1208_4170.nii,449469
load_img,6651.756956338882,6654.765176057816,bigbrain_2310_2416_2780.nii,449394
increment_data,6834.733064889908,6839.052747249603,bigbrain_2310_2416_2780.nii,449394
save_incremented,7144.33803653717,7443.992045402527,bigbrain_2310_2416_2780.nii,449394
load_img,4346.695228338242,4348.510239362717,bigbrain_6930_3020_1390.nii,449941
increment_data,4697.084937095642,4698.791516304016,bigbrain_6930_3020_1390.nii,449941
save_incremented,4863.109529495239,5374.225301265717,bigbrain_6930_3020_1390.nii,449941
load_img,5110.632113456726,5111.142482042313,bigbrain_3080_3020_2780.nii,449454
increment_data,5656.46953868866,5660.265276432037,bigbrain_3080_3020_2780.nii,449454
save_incremented,5753.540272951126,6226.332196474075,bigbrain_3080_3020_2780.nii,449454
load_img,1652.9064342975616,1653.364086151123,bigbrain_0_1208_2780.nii,449565
increment_data,1804.7307620048523,1806.803100824356,bigbrain_0_1208_2780.nii,449565
save_incremented,1813.7516407966614,2050.771395921707,bigbrain_0_1208_2780.nii,449565
load_img,8795.0411901474,8795.813816308975,bigbrain_4620_3020_0.nii,449959
increment_data,8996.33640575409,9001.461077928543,bigbrain_4620_3020_0.nii,449959
save_incremented,9081.148341417313,9503.958677530289,bigbrain_4620_3020_0.nii,449959
load_img,3767.335263967514,3768.1832599639893,bigbrain_4620_0_4170.nii,449361
increment_data,3774.858468770981,3779.864164829254,bigbrain_4620_0_4170.nii,449361
save_incremented,3907.8708345890045,4291.015115261078,bigbrain_4620_0_4170.nii,449361
load_img,8790.046449184418,8790.720920324326,bigbrain_3850_4832_2085.nii,449748
increment_data,8792.072808027267,8796.045073270798,bigbrain_3850_4832_2085.nii,449748
save_incremented,8935.54613161087,9236.334995269775,bigbrain_3850_4832_2085.nii,449748
load_img,4338.766677379608,4339.231676578522,bigbrain_3080_3624_3475.nii,449863
increment_data,4626.601962804794,4627.492471933365,bigbrain_3080_3624_3475.nii,449863
save_incremented,4715.676078557968,4734.976098775864,bigbrain_3080_3624_3475.nii,449863
load_img,9494.435580253601,9495.146557331085,bigbrain_770_4832_3475.nii,449509
increment_data,9536.122582435608,9542.107691764832,bigbrain_770_4832_3475.nii,449509
