driver_program,0,10612.828360795975,/home/users/vhayots/spark-1572144299-isilon_1it_96cpus_20bb-2,allfiles
load_img,10327.38131403923,10329.221249103546,bigbrain_0_2416_5560.nii,314734
increment_data,10413.767642259598,10415.188206672668,bigbrain_0_2416_5560.nii,314734
save_incremented,10435.016839027405,10603.969622135162,bigbrain_0_2416_5560.nii,314734
load_img,2627.3412857055664,2627.9266440868378,bigbrain_3080_4228_4865.nii,315141
increment_data,2986.428451061249,2991.439148426056,bigbrain_3080_4228_4865.nii,315141
save_incremented,3156.328194141388,3309.694216966629,bigbrain_3080_4228_4865.nii,315141
load_img,8039.954623937607,8040.395719528198,bigbrain_1540_604_6255.nii,314740
increment_data,8096.348598241806,8100.622093677521,bigbrain_1540_604_6255.nii,314740
save_incremented,8294.97395825386,8705.83871603012,bigbrain_1540_604_6255.nii,314740
load_img,301.39683747291565,302.0129837989807,bigbrain_5390_2416_695.nii,314869
increment_data,507.46718549728394,511.9725773334503,bigbrain_5390_2416_695.nii,314869
save_incremented,559.9334208965302,836.2584111690521,bigbrain_5390_2416_695.nii,314869
load_img,1343.6676664352417,1344.9794914722443,bigbrain_2310_1208_4865.nii,315007
increment_data,1464.4621107578278,1467.1403977870941,bigbrain_2310_1208_4865.nii,315007
save_incremented,1618.219866514206,1893.8837282657623,bigbrain_2310_1208_4865.nii,315007
load_img,9451.231748342514,9452.712130784988,bigbrain_2310_1208_5560.nii,315177
increment_data,9571.025404930115,9573.659369945526,bigbrain_2310_1208_5560.nii,315177
save_incremented,9573.669506311417,9925.370007514954,bigbrain_2310_1208_5560.nii,315177
load_img,6392.392683982849,6395.797822713852,bigbrain_6160_3020_4865.nii,314933
increment_data,6514.907999753952,6516.792218208313,bigbrain_6160_3020_4865.nii,314933
save_incremented,6628.8504230976105,7012.852366685867,bigbrain_6160_3020_4865.nii,314933
load_img,363.16109561920166,363.80485820770264,bigbrain_3080_1812_3475.nii,314701
increment_data,507.51202726364136,510.8243737220764,bigbrain_3080_1812_3475.nii,314701
save_incremented,559.940009355545,836.0128984451294,bigbrain_3080_1812_3475.nii,314701
load_img,6760.9694356918335,6761.572261333466,bigbrain_0_0_6255.nii,314892
increment_data,7012.388328552246,7013.62421131134,bigbrain_0_0_6255.nii,314892
save_incremented,7190.4721891880035,7385.337192058563,bigbrain_0_0_6255.nii,314892
load_img,10327.185457229614,10328.632789611816,bigbrain_3850_3624_3475.nii,315111
increment_data,10352.592041254044,10355.715153217316,bigbrain_3850_3624_3475.nii,315111
save_incremented,10403.416195392609,10437.1667470932,bigbrain_3850_3624_3475.nii,315111
load_img,7532.425297737122,7534.543455839157,bigbrain_4620_5436_695.nii,314670
increment_data,7791.561751365662,7795.1619465351105,bigbrain_4620_5436_695.nii,314670
save_incremented,8008.182892799377,8410.196655273438,bigbrain_4620_5436_695.nii,314670
load_img,5000.403287410736,5001.820307254791,bigbrain_3080_0_0.nii,314677
increment_data,5188.632519721985,5195.878829956055,bigbrain_3080_0_0.nii,314677
save_incremented,5311.123364210129,5684.342823028564,bigbrain_3080_0_0.nii,314677
load_img,9285.647446632385,9286.610701322556,bigbrain_2310_4832_2780.nii,314719
increment_data,9561.033987998962,9562.54594540596,bigbrain_2310_4832_2780.nii,314719
save_incremented,9571.936098098755,9925.37413740158,bigbrain_2310_4832_2780.nii,314719
load_img,9001.121307611465,9002.612337827682,bigbrain_4620_1208_5560.nii,314998
increment_data,9511.927071332932,9516.500406742096,bigbrain_4620_1208_5560.nii,314998
save_incremented,9571.821593999863,9925.35075378418,bigbrain_4620_1208_5560.nii,314998
load_img,3580.8607366085052,3582.7168066501617,bigbrain_5390_2416_3475.nii,314925
increment_data,3992.4455060958862,3997.309188604355,bigbrain_5390_2416_3475.nii,314925
save_incremented,4130.608198881149,4502.596803426743,bigbrain_5390_2416_3475.nii,314925
load_img,428.19411063194275,428.7768585681915,bigbrain_770_3020_3475.nii,314978
increment_data,507.5800893306732,512.0842659473419,bigbrain_770_3020_3475.nii,314978
save_incremented,559.9358251094818,838.4752099514008,bigbrain_770_3020_3475.nii,314978
load_img,7481.363045215607,7482.0109741687775,bigbrain_3850_3624_695.nii,315016
increment_data,7528.329376220703,7533.211465597153,bigbrain_3850_3624_695.nii,315016
save_incremented,7579.691119432449,8006.657420158386,bigbrain_3850_3624_695.nii,315016
load_img,4986.945397615433,4987.562551021576,bigbrain_3080_0_2085.nii,314701
increment_data,4995.88220000267,5001.5339612960815,bigbrain_3080_0_2085.nii,314701
save_incremented,5059.584442853928,5256.145292043686,bigbrain_3080_0_2085.nii,314701
load_img,6346.658798933029,6347.291392564774,bigbrain_3850_0_5560.nii,314800
increment_data,6384.3650431633,6388.4156703948975,bigbrain_3850_0_5560.nii,314800
save_incremented,6403.291634082794,6487.813976287842,bigbrain_3850_0_5560.nii,314800
load_img,6392.049697637558,6395.001528739929,bigbrain_5390_4832_2780.nii,315132
increment_data,6483.386081933975,6487.3007435798645,bigbrain_5390_4832_2780.nii,315132
save_incremented,6515.086276292801,6755.847738027573,bigbrain_5390_4832_2780.nii,315132
load_img,2265.729991674423,2268.2898292541504,bigbrain_6160_1812_3475.nii,314664
increment_data,2624.798552274704,2626.9190924167633,bigbrain_6160_1812_3475.nii,314664
save_incremented,2705.897945165634,3157.6993279457092,bigbrain_6160_1812_3475.nii,314664
load_img,9001.189385652542,9002.788598775864,bigbrain_2310_0_0.nii,314908
increment_data,9511.97427392006,9516.408265829086,bigbrain_2310_0_0.nii,314908
save_incremented,9571.832844257355,9925.355529785156,bigbrain_2310_0_0.nii,314908
load_img,462.00606894493103,462.54559230804443,bigbrain_3080_0_4865.nii,315007
increment_data,507.5991327762604,511.9105124473572,bigbrain_3080_0_4865.nii,315007
save_incremented,559.9322984218597,836.4810712337494,bigbrain_3080_0_4865.nii,315007
load_img,2265.819611787796,2268.3572115898132,bigbrain_770_3020_2780.nii,314777
increment_data,2624.847072839737,2627.0549097061157,bigbrain_770_3020_2780.nii,314777
save_incremented,2743.137419939041,3163.1497843265533,bigbrain_770_3020_2780.nii,314777
load_img,1753.0057063102722,1754.5718553066254,bigbrain_770_1812_0.nii,315168
increment_data,2008.2741394042969,2011.3373782634735,bigbrain_770_1812_0.nii,315168
save_incremented,2260.582244157791,2517.488963842392,bigbrain_770_1812_0.nii,315168
load_img,9001.169425964355,9002.632282495499,bigbrain_3850_1812_5560.nii,314706
increment_data,9511.92390871048,9516.482471466064,bigbrain_3850_1812_5560.nii,314706
save_incremented,9571.83423781395,9925.366997480392,bigbrain_3850_1812_5560.nii,314706
load_img,3176.1877512931824,3176.93350982666,bigbrain_2310_3020_3475.nii,315147
increment_data,3578.680130004883,3582.67587184906,bigbrain_2310_3020_3475.nii,315147
save_incremented,3663.2361896038055,3939.899251461029,bigbrain_2310_3020_3475.nii,315147
load_img,4226.60843372345,4227.339079618454,bigbrain_2310_3624_6255.nii,314719
increment_data,4636.725553512573,4638.905284881592,bigbrain_2310_3624_6255.nii,314719
save_incremented,4647.739485502243,4868.746460676193,bigbrain_2310_3624_6255.nii,314719
load_img,8729.365739107132,8730.021881580353,bigbrain_1540_4228_695.nii,315064
increment_data,8765.967923164368,8770.181045293808,bigbrain_1540_4228_695.nii,315064
save_incremented,8838.37541604042,9229.467652082443,bigbrain_1540_4228_695.nii,315064
load_img,9440.609590053558,9441.306707143784,bigbrain_6160_3624_2085.nii,314622
increment_data,9571.03528046608,9574.722606658936,bigbrain_6160_3624_2085.nii,314622
save_incremented,9874.981386184692,10309.938606500626,bigbrain_6160_3624_2085.nii,314622
load_img,4995.486788511276,4997.320405721664,bigbrain_4620_604_5560.nii,315027
increment_data,4997.362693786621,5001.798470258713,bigbrain_4620_604_5560.nii,315027
save_incremented,5162.861296892166,5321.193034410477,bigbrain_4620_604_5560.nii,315027
load_img,7788.559329748154,7789.217397928238,bigbrain_3850_0_0.nii,314800
increment_data,7791.752429008484,7794.044280767441,bigbrain_3850_0_0.nii,314800
save_incremented,7988.865334510803,8410.181975603104,bigbrain_3850_0_0.nii,314800
load_img,8741.785877227783,8742.435714244843,bigbrain_5390_4228_2780.nii,314695
increment_data,8765.986892938614,8769.852199792862,bigbrain_5390_4228_2780.nii,314695
save_incremented,8973.837790250778,9280.114380598068,bigbrain_5390_4228_2780.nii,314695
load_img,9003.6501557827,9004.688936710358,bigbrain_6160_604_2085.nii,314884
increment_data,9534.81899690628,9539.74968123436,bigbrain_6160_604_2085.nii,314884
save_incremented,9571.951068401337,9925.363274335861,bigbrain_6160_604_2085.nii,314884
load_img,7526.746607303619,7527.176698207855,bigbrain_2310_5436_4170.nii,314615
increment_data,7528.448519945145,7533.0654101371765,bigbrain_2310_5436_4170.nii,314615
save_incremented,7620.132397174835,8008.177157878876,bigbrain_2310_5436_4170.nii,314615
load_img,8028.792226791382,8029.465815544128,bigbrain_0_5436_0.nii,314908
increment_data,8096.315724372864,8100.351799964905,bigbrain_0_5436_0.nii,314908
save_incremented,8359.8226852417,8602.428691625595,bigbrain_0_5436_0.nii,314908
load_img,7532.569172382355,7534.576281309128,bigbrain_5390_1812_2085.nii,315064
increment_data,7791.596425771713,7795.245494365692,bigbrain_5390_1812_2085.nii,315064
save_incremented,8008.184640407562,8406.249009609222,bigbrain_5390_1812_2085.nii,315064
load_img,1752.9728572368622,1754.519196510315,bigbrain_6930_3020_2780.nii,314917
increment_data,2008.2448608875275,2012.1488378047943,bigbrain_6930_3020_2780.nii,314917
