driver_program,0,793.0583391189575,/dev/shm/val/spark-1572167791-tmpfs_1it_96cpus_20bb-2,allfiles
load_img,785.1920359134674,788.1608757972717,bigbrain_770_3624_4170.nii,168062
increment_data,788.1754922866821,792.2929248809814,bigbrain_770_3624_4170.nii,168062
save_incremented,792.2932040691376,792.9069962501526,bigbrain_770_3624_4170.nii,168062
load_img,784.8011918067932,788.042543888092,bigbrain_6930_3020_2085.nii,168375
increment_data,788.0595247745514,792.3111605644226,bigbrain_6930_3020_2085.nii,168375
save_incremented,792.3113923072815,792.9373307228088,bigbrain_6930_3020_2085.nii,168375
load_img,784.5870182514191,787.8724827766418,bigbrain_4620_5436_4170.nii,169939
increment_data,787.8882856369019,792.2901289463043,bigbrain_4620_5436_4170.nii,169939
save_incremented,792.2915687561035,792.9717526435852,bigbrain_4620_5436_4170.nii,169939
load_img,784.5761127471924,787.8578734397888,bigbrain_6160_0_1390.nii,167945
increment_data,787.8733732700348,792.4751400947571,bigbrain_6160_0_1390.nii,167945
save_incremented,792.4753799438477,793.0105667114258,bigbrain_6160_0_1390.nii,167945
load_img,785.4004123210907,787.7384834289551,bigbrain_3850_0_4865.nii,168245
increment_data,787.7674884796143,791.1939134597778,bigbrain_3850_0_4865.nii,168245
save_incremented,791.1945173740387,792.4031286239624,bigbrain_3850_0_4865.nii,168245
load_img,785.2253561019897,787.7311880588531,bigbrain_6930_3624_6255.nii,168353
increment_data,787.7456214427948,790.9737679958344,bigbrain_6930_3624_6255.nii,168353
save_incremented,790.9745497703552,792.2420098781586,bigbrain_6930_3624_6255.nii,168353
load_img,784.3722743988037,787.6142110824585,bigbrain_2310_1208_0.nii,172956
increment_data,787.6307220458984,791.9112794399261,bigbrain_2310_1208_0.nii,172956
save_incremented,791.9115238189697,792.6415169239044,bigbrain_2310_1208_0.nii,172956
load_img,784.8608350753784,787.5951144695282,bigbrain_3080_4228_0.nii,168417
increment_data,787.6136107444763,790.5371053218842,bigbrain_3080_4228_0.nii,168417
save_incremented,790.5379049777985,791.6972196102142,bigbrain_3080_4228_0.nii,168417
load_img,783.7007687091827,787.5933322906494,bigbrain_6160_5436_3475.nii,168973
increment_data,787.6023416519165,791.8604280948639,bigbrain_6160_5436_3475.nii,168973
save_incremented,791.8609325885773,792.7237167358398,bigbrain_6160_5436_3475.nii,168973
load_img,784.7194480895996,787.4923346042633,bigbrain_0_1208_695.nii,169046
increment_data,787.5088241100311,791.2321674823761,bigbrain_0_1208_695.nii,169046
save_incremented,791.2325303554535,792.4567742347717,bigbrain_0_1208_695.nii,169046
load_img,784.8707127571106,787.4812159538269,bigbrain_6160_1208_3475.nii,167953
increment_data,787.489554643631,791.37535572052,bigbrain_6160_1208_3475.nii,167953
save_incremented,791.3761024475098,792.6299264431,bigbrain_6160_1208_3475.nii,167953
load_img,784.2566044330597,787.4791052341461,bigbrain_4620_4832_2780.nii,170020
increment_data,787.4973101615906,791.3949365615845,bigbrain_4620_4832_2780.nii,170020
save_incremented,791.3954498767853,792.5010945796967,bigbrain_4620_4832_2780.nii,170020
load_img,784.0229525566101,787.4632828235626,bigbrain_3080_0_4865.nii,168026
increment_data,787.4776327610016,791.765956401825,bigbrain_3080_0_4865.nii,168026
save_incremented,791.7663724422455,792.702306509018,bigbrain_3080_0_4865.nii,168026
load_img,784.0885355472565,787.4385287761688,bigbrain_4620_2416_3475.nii,170036
increment_data,787.4585149288177,790.9466512203217,bigbrain_4620_2416_3475.nii,170036
save_incremented,790.9472618103027,791.8697667121887,bigbrain_4620_2416_3475.nii,170036
load_img,784.4705612659454,787.4227101802826,bigbrain_6160_1812_4170.nii,167988
increment_data,787.4395744800568,790.9185819625854,bigbrain_6160_1812_4170.nii,167988
save_incremented,790.9192140102386,791.8926155567169,bigbrain_6160_1812_4170.nii,167988
load_img,784.3562271595001,787.3931403160095,bigbrain_2310_604_2780.nii,168617
increment_data,787.4018089771271,791.2256150245667,bigbrain_2310_604_2780.nii,168617
save_incremented,791.2265329360962,792.5222060680389,bigbrain_2310_604_2780.nii,168617
load_img,784.3466563224792,787.287627696991,bigbrain_6930_604_1390.nii,168404
increment_data,787.3016157150269,790.9727573394775,bigbrain_6930_604_1390.nii,168404
save_incremented,790.9732570648193,792.1510457992554,bigbrain_6930_604_1390.nii,168404
load_img,783.257128238678,787.2549850940704,bigbrain_6160_4832_0.nii,168127
increment_data,787.2695450782776,791.6526408195496,bigbrain_6160_4832_0.nii,168127
save_incremented,791.6539072990417,792.7315247058868,bigbrain_6160_4832_0.nii,168127
load_img,784.7922503948212,787.1837315559387,bigbrain_6160_4832_3475.nii,168119
increment_data,787.1921226978302,790.891437292099,bigbrain_6160_4832_3475.nii,168119
save_incremented,790.8963141441345,792.4183359146118,bigbrain_6160_4832_3475.nii,168119
load_img,783.2823340892792,787.1655576229095,bigbrain_4620_4832_4170.nii,170538
increment_data,787.1864883899689,791.3834145069122,bigbrain_4620_4832_4170.nii,170538
save_incremented,791.3840436935425,792.4662554264069,bigbrain_4620_4832_4170.nii,170538
load_img,782.7855858802795,787.1491553783417,bigbrain_1540_4832_0.nii,168158
increment_data,787.1674590110779,791.2132866382599,bigbrain_1540_4832_0.nii,168158
save_incremented,791.2139179706573,792.2047672271729,bigbrain_1540_4832_0.nii,168158
load_img,783.6976671218872,787.1143999099731,bigbrain_5390_2416_2085.nii,169985
increment_data,787.1271831989288,790.7801826000214,bigbrain_5390_2416_2085.nii,169985
save_incremented,790.7810435295105,792.5026965141296,bigbrain_5390_2416_2085.nii,169985
load_img,783.4923694133759,787.0989754199982,bigbrain_6930_5436_2780.nii,171886
increment_data,787.1185965538025,790.8944873809814,bigbrain_6930_5436_2780.nii,171886
save_incremented,790.8960161209106,792.1080026626587,bigbrain_6930_5436_2780.nii,171886
load_img,783.3243777751923,787.0751509666443,bigbrain_5390_0_4170.nii,168297
increment_data,787.0841267108917,790.7168612480164,bigbrain_5390_0_4170.nii,168297
save_incremented,790.7174923419952,792.156955242157,bigbrain_5390_0_4170.nii,168297
load_img,783.2895076274872,787.0361094474792,bigbrain_4620_4832_6255.nii,168221
increment_data,787.0507459640503,790.9405903816223,bigbrain_4620_4832_6255.nii,168221
save_incremented,790.9412457942963,791.8158764839172,bigbrain_4620_4832_6255.nii,168221
load_img,782.4283983707428,786.9970238208771,bigbrain_3080_4832_4170.nii,168004
increment_data,787.0148532390594,790.9415686130524,bigbrain_3080_4832_4170.nii,168004
save_incremented,790.9425160884857,792.3959724903107,bigbrain_3080_4832_4170.nii,168004
load_img,783.8007168769836,786.9578568935394,bigbrain_770_1208_695.nii,168627
increment_data,786.9661428928375,790.263085603714,bigbrain_770_1208_695.nii,168627
save_incremented,790.2637984752655,791.8697454929352,bigbrain_770_1208_695.nii,168627
load_img,783.6716847419739,786.947342634201,bigbrain_4620_3020_695.nii,168328
increment_data,786.9614453315735,790.146388053894,bigbrain_4620_3020_695.nii,168328
save_incremented,790.147125005722,791.515563249588,bigbrain_4620_3020_695.nii,168328
load_img,783.4176962375641,786.9276266098022,bigbrain_5390_5436_6255.nii,169880
increment_data,786.9441871643066,791.1270046234131,bigbrain_5390_5436_6255.nii,169880
save_incremented,791.1273994445801,792.4862759113312,bigbrain_5390_5436_6255.nii,169880
load_img,783.4250211715698,786.9224181175232,bigbrain_6930_1208_5560.nii,170003
increment_data,786.9322407245636,790.2099692821503,bigbrain_6930_1208_5560.nii,170003
