driver_program,0,11391.623804569244,/home/users/vhayots/spark-1572532133-isilonAD_1it_25cpus_20bb-1,allfiles
load_img,10784.333490371704,10785.073538303375,bigbrain_770_1208_6255.nii,145908
increment_data,10809.171247005463,10812.596143245697,bigbrain_770_1208_6255.nii,145908
save_incremented,10828.080227851868,10905.374435424805,bigbrain_770_1208_6255.nii,145908
load_img,7664.741925239563,7665.4460735321045,bigbrain_0_2416_4865.nii,145929
increment_data,7672.486236572266,7674.40483379364,bigbrain_0_2416_4865.nii,145929
save_incremented,7678.210126161575,7780.348549127579,bigbrain_0_2416_4865.nii,145929
load_img,6245.318254947662,6245.76748251915,bigbrain_0_2416_695.nii,145956
increment_data,6259.272709131241,6264.693247556686,bigbrain_0_2416_695.nii,145956
save_incremented,6278.299242734909,6425.340670108795,bigbrain_0_2416_695.nii,145956
load_img,1030.6203668117523,1031.0384805202484,bigbrain_5390_3020_4170.nii,145941
increment_data,1036.6239168643951,1038.5690727233887,bigbrain_5390_3020_4170.nii,145941
save_incremented,1045.43226480484,1203.6224603652954,bigbrain_5390_3020_4170.nii,145941
load_img,1268.0628566741943,1268.5113565921783,bigbrain_0_604_0.nii,145953
increment_data,1338.4511556625366,1339.1801917552948,bigbrain_0_604_0.nii,145953
save_incremented,1341.359491109848,1391.5710682868958,bigbrain_0_604_0.nii,145953
load_img,7343.230570316315,7344.085664510727,bigbrain_3080_1208_1390.nii,145941
increment_data,7377.891038179398,7379.994733095169,bigbrain_3080_1208_1390.nii,145941
save_incremented,7385.293936014175,7490.49594783783,bigbrain_3080_1208_1390.nii,145941
load_img,3923.564154624939,3923.968700647354,bigbrain_3080_0_1390.nii,145902
increment_data,3924.7120237350464,3925.644375562668,bigbrain_3080_0_1390.nii,145902
save_incremented,3948.9261512756348,4080.9091918468475,bigbrain_3080_0_1390.nii,145902
load_img,9829.793557405472,9830.576932430267,bigbrain_3850_4832_0.nii,145953
increment_data,9831.84497833252,9833.961157560349,bigbrain_3850_4832_0.nii,145953
save_incremented,9842.72001671791,9930.079628705978,bigbrain_3850_4832_0.nii,145953
load_img,9832.59635257721,9833.61780667305,bigbrain_6160_1208_4865.nii,145920
increment_data,9864.80546617508,9870.042282104492,bigbrain_6160_1208_4865.nii,145920
save_incremented,9873.30346417427,9955.584233999252,bigbrain_6160_1208_4865.nii,145920
load_img,7039.314369678497,7039.767000436783,bigbrain_4620_1812_4170.nii,145938
increment_data,7044.090007305145,7044.8257422447205,bigbrain_4620_1812_4170.nii,145938
save_incremented,7064.676447629929,7115.07257437706,bigbrain_4620_1812_4170.nii,145938
load_img,1781.341002702713,1781.7256553173065,bigbrain_2310_0_4170.nii,145914
increment_data,1827.1883244514465,1833.4639706611633,bigbrain_2310_0_4170.nii,145914
save_incremented,1855.2579762935638,1893.7179980278015,bigbrain_2310_0_4170.nii,145914
load_img,2722.225223302841,2722.8168737888336,bigbrain_3080_5436_2780.nii,145885
increment_data,2760.189860343933,2767.8008782863617,bigbrain_3080_5436_2780.nii,145885
save_incremented,2779.990165233612,2865.6562354564667,bigbrain_3080_5436_2780.nii,145885
load_img,2428.8602221012115,2429.370749950409,bigbrain_770_4832_1390.nii,145885
increment_data,2442.932251930237,2449.5462443828583,bigbrain_770_4832_1390.nii,145885
