driver_program,0,10363.914661884308,/home/users/vhayots/spark-1572578995-isilonAD_1it_96cpus_20bb-2,allfiles
load_img,1906.4617760181427,1906.8593463897705,bigbrain_770_1812_0.nii,161911
increment_data,2032.780522108078,2034.8586518764496,bigbrain_770_1812_0.nii,161911
save_incremented,2097.8800899982452,2383.2235968112946,bigbrain_770_1812_0.nii,161911
load_img,4738.265923500061,4739.304216384888,bigbrain_5390_4228_6255.nii,161911
increment_data,4882.7663633823395,4891.438758850098,bigbrain_5390_4228_6255.nii,161911
save_incremented,4964.142933130264,5228.748099803925,bigbrain_5390_4228_6255.nii,161911
load_img,4738.242416381836,4739.684273719788,bigbrain_4620_5436_2085.nii,161893
increment_data,4910.776072025299,4921.308309078217,bigbrain_4620_5436_2085.nii,161893
save_incremented,4937.582282781601,5155.090607643127,bigbrain_4620_5436_2085.nii,161893
load_img,5653.652628421783,5656.316594362259,bigbrain_770_5436_2780.nii,161824
increment_data,5693.703496456146,5699.075802326202,bigbrain_770_5436_2780.nii,161824
save_incremented,5725.6677350997925,5862.482959270477,bigbrain_770_5436_2780.nii,161824
load_img,7353.551659345627,7354.1361520290375,bigbrain_1540_5436_6255.nii,161881
increment_data,7722.959059000015,7725.990412950516,bigbrain_1540_5436_6255.nii,161881
save_incremented,7874.366400241852,7900.6537709236145,bigbrain_1540_5436_6255.nii,161881
load_img,5646.209515094757,5647.017003297806,bigbrain_3080_3020_2780.nii,161851
increment_data,5692.931757688522,5698.30770277977,bigbrain_3080_3020_2780.nii,161851
save_incremented,5782.11528301239,6335.862045764923,bigbrain_3080_3020_2780.nii,161851
load_img,5971.29230427742,5971.775637388229,bigbrain_6930_1208_1390.nii,161983
increment_data,5988.071108818054,5990.932493209839,bigbrain_6930_1208_1390.nii,161983
save_incremented,6185.82563996315,6668.718707323074,bigbrain_6930_1208_1390.nii,161983
load_img,1852.713781118393,1853.7988312244415,bigbrain_4620_4832_0.nii,162019
increment_data,2032.269452571869,2034.8670127391815,bigbrain_4620_4832_0.nii,162019
save_incremented,2096.716462612152,2319.065105676651,bigbrain_4620_4832_0.nii,162019
load_img,6765.631912469864,6768.179858446121,bigbrain_3850_3020_4865.nii,161750
increment_data,6858.385227918625,6862.19406580925,bigbrain_3850_3020_4865.nii,161750
save_incremented,6980.088700056076,7173.1540405750275,bigbrain_3850_3020_4865.nii,161750
load_img,9932.468837022781,9933.511321306229,bigbrain_0_2416_5560.nii,161851
increment_data,10230.911550998688,10233.956571340561,bigbrain_0_2416_5560.nii,161851
save_incremented,10255.379620790482,10339.14033293724,bigbrain_0_2416_5560.nii,161851
load_img,4548.455855846405,4551.279523134232,bigbrain_0_5436_695.nii,161932
increment_data,4735.046601295471,4739.482696533203,bigbrain_0_5436_695.nii,161932
save_incremented,4867.036489725113,5105.713738441467,bigbrain_0_5436_695.nii,161932
load_img,2529.7975833415985,2530.1766476631165,bigbrain_1540_3624_4170.nii,162013
increment_data,2569.739747285843,2571.4045956134796,bigbrain_1540_3624_4170.nii,162013
save_incremented,2823.817296028137,3151.0945312976837,bigbrain_1540_3624_4170.nii,162013
load_img,5653.521450281143,5655.9803812503815,bigbrain_770_4228_2085.nii,162013
increment_data,5693.388636827469,5698.509425163269,bigbrain_770_4228_2085.nii,162013
save_incremented,5785.495623350143,6334.878937005997,bigbrain_770_4228_2085.nii,162013
load_img,5652.56720995903,5655.228914260864,bigbrain_6160_0_695.nii,161965
increment_data,5693.344695568085,5698.367913484573,bigbrain_6160_0_695.nii,161965
