driver_program,0,10583.896435499191,/home/users/vhayots/spark-1572106996-isilon_1it_25cpus_20bb-0,allfiles
load_img,10484.033282756805,10484.453449010849,bigbrain_3850_604_6255.nii,384575
increment_data,10493.611899614334,10496.850438117981,bigbrain_3850_604_6255.nii,384575
save_incremented,10502.727195262909,10583.827547311783,bigbrain_3850_604_6255.nii,384575
load_img,398.2402889728546,398.8205270767212,bigbrain_3080_4832_4170.nii,384593
increment_data,413.38876700401306,414.9223401546478,bigbrain_3080_4832_4170.nii,384593
save_incremented,436.2514338493347,559.5180487632751,bigbrain_3080_4832_4170.nii,384593
load_img,9177.721775531769,9178.686839818954,bigbrain_3850_3624_5560.nii,384762
increment_data,9202.496167898178,9206.823354005814,bigbrain_3850_3624_5560.nii,384762
save_incremented,9212.763165712357,9313.069029569626,bigbrain_3850_3624_5560.nii,384762
load_img,7567.298274278641,7567.856041431427,bigbrain_6160_4228_4865.nii,384625
increment_data,7572.109935283661,7573.111336708069,bigbrain_6160_4228_4865.nii,384625
save_incremented,7578.974861621857,7651.375709056854,bigbrain_6160_4228_4865.nii,384625
load_img,7776.646341562271,7777.06533241272,bigbrain_5390_604_4170.nii,384646
increment_data,7801.2623109817505,7804.45441031456,bigbrain_5390_604_4170.nii,384646
save_incremented,7836.092085838318,7894.4654276371,bigbrain_5390_604_4170.nii,384646
load_img,6751.06604719162,6751.781346321106,bigbrain_1540_1208_1390.nii,384681
increment_data,6761.7974853515625,6763.425039052963,bigbrain_1540_1208_1390.nii,384681
save_incremented,6779.300007343292,6888.834897994995,bigbrain_1540_1208_1390.nii,384681
load_img,8910.308027267456,8910.734396457672,bigbrain_6930_4228_4170.nii,384754
increment_data,8920.131697893143,8921.133818864822,bigbrain_6930_4228_4170.nii,384754
save_incremented,8930.911507368088,9043.003089427948,bigbrain_6930_4228_4170.nii,384754
load_img,1224.4216046333313,1225.4960777759552,bigbrain_3080_1208_4170.nii,384632
increment_data,1230.586928844452,1232.5148756504059,bigbrain_3080_1208_4170.nii,384632
save_incremented,1255.9713912010193,1352.5878853797913,bigbrain_3080_1208_4170.nii,384632
load_img,5923.910327672958,5924.3465139865875,bigbrain_0_4832_2780.nii,384688
increment_data,5980.756571292877,5982.219407558441,bigbrain_0_4832_2780.nii,384688
save_incremented,5987.004757642746,6084.733900785446,bigbrain_0_4832_2780.nii,384688
load_img,1154.6922557353973,1155.0941774845123,bigbrain_3080_3020_2085.nii,384688
increment_data,1223.4041967391968,1225.1977467536926,bigbrain_3080_3020_2085.nii,384688
save_incremented,1229.4779584407806,1298.4183185100555,bigbrain_3080_3020_2085.nii,384688
load_img,5172.9704921245575,5173.568455219269,bigbrain_4620_1208_1390.nii,384703
increment_data,5198.435084104538,5201.17619395256,bigbrain_4620_1208_1390.nii,384703
save_incremented,5215.7014944553375,5317.866252183914,bigbrain_4620_1208_1390.nii,384703
load_img,2548.2433404922485,2548.9312057495117,bigbrain_1540_3624_4170.nii,384638
increment_data,2563.3375227451324,2565.3011331558228,bigbrain_1540_3624_4170.nii,384638
save_incremented,2571.2229928970337,2639.1160912513733,bigbrain_1540_3624_4170.nii,384638
load_img,5658.805624008179,5659.199085712433,bigbrain_6160_2416_2085.nii,384695
increment_data,5705.998829126358,5707.647205591202,bigbrain_6160_2416_2085.nii,384695
save_incremented,5715.807024240494,5808.211093902588,bigbrain_6160_2416_2085.nii,384695
load_img,4315.629414558411,4316.029237270355,bigbrain_0_4228_5560.nii,384646
increment_data,4359.397237539291,4361.151031255722,bigbrain_0_4228_5560.nii,384646
save_incremented,4363.874513864517,4426.500364542007,bigbrain_0_4228_5560.nii,384646
load_img,6467.467758893967,6467.907790660858,bigbrain_1540_4228_4865.nii,384710
increment_data,6512.754589557648,6514.098603725433,bigbrain_1540_4228_4865.nii,384710
save_incremented,6525.371799468994,6618.343765735626,bigbrain_1540_4228_4865.nii,384710
