driver_program,0,320.9581127166748,/pmem1-data/val/spark-1570898154-optaneAD_1it_25cpus_120delay_withpc_em-0,allfiles
load_img,5.682491779327393,5.6849236488342285,bigbrain_0_3624_695.nii,149648
increment_data,5.685718059539795,12.499391794204712,bigbrain_0_3624_695.nii,149648
save_incremented,12.505521297454834,22.89511513710022,bigbrain_0_3624_695.nii,149648
load_img,5.704434633255005,5.707228422164917,bigbrain_0_2416_4865.nii,149643
increment_data,5.708050489425659,15.140076160430908,bigbrain_0_2416_4865.nii,149643
save_incremented,15.141570568084717,19.868163585662842,bigbrain_0_2416_4865.nii,149643
load_img,5.71354603767395,5.716383695602417,bigbrain_0_2416_4865.nii,149642
increment_data,5.717237949371338,15.614670276641846,bigbrain_0_2416_4865.nii,149642
save_incremented,15.616240739822388,20.344155073165894,bigbrain_0_2416_4865.nii,149642
load_img,5.755399227142334,5.758647680282593,bigbrain_0_3020_4865.nii,149651
increment_data,5.759601354598999,14.966692924499512,bigbrain_0_3020_4865.nii,149651
save_incremented,14.96988844871521,17.743491888046265,bigbrain_0_3020_4865.nii,149651
load_img,5.767791032791138,5.771097660064697,bigbrain_0_4228_6255.nii,149654
increment_data,5.771919250488281,15.636372327804565,bigbrain_0_4228_6255.nii,149654
save_incremented,15.637006759643555,21.476741790771484,bigbrain_0_4228_6255.nii,149654
load_img,5.783269166946411,5.786071538925171,bigbrain_0_4228_6255.nii,149657
increment_data,5.787196159362793,15.636037111282349,bigbrain_0_4228_6255.nii,149657
save_incremented,15.636659860610962,24.223569869995117,bigbrain_0_4228_6255.nii,149657
load_img,5.788280963897705,5.792454481124878,bigbrain_0_3624_695.nii,149663
increment_data,5.793602228164673,14.038556814193726,bigbrain_0_3624_695.nii,149663
save_incremented,14.040592670440674,22.830129623413086,bigbrain_0_3624_695.nii,149663
load_img,5.794173955917358,5.797980785369873,bigbrain_0_3020_2780.nii,149660
increment_data,5.79937219619751,13.59301471710205,bigbrain_0_3020_2780.nii,149660
save_incremented,13.594849348068237,18.335049390792847,bigbrain_0_3020_2780.nii,149660
load_img,5.81005597114563,5.8139636516571045,bigbrain_0_4228_4865.nii,149669
increment_data,5.815649509429932,15.185342788696289,bigbrain_0_4228_4865.nii,149669
save_incremented,15.186452865600586,32.17155838012695,bigbrain_0_4228_4865.nii,149669
load_img,5.834618330001831,5.845056056976318,bigbrain_0_3020_4865.nii,149666
increment_data,5.848300218582153,15.66187596321106,bigbrain_0_3020_4865.nii,149666
save_incremented,15.662376403808594,18.071036338806152,bigbrain_0_3020_4865.nii,149666
load_img,5.857076406478882,5.865213394165039,bigbrain_0_3020_2780.nii,149672
increment_data,5.867425918579102,14.490367412567139,bigbrain_0_3020_2780.nii,149672
save_incremented,14.493173122406006,30.67805290222168,bigbrain_0_3020_2780.nii,149672
load_img,5.8758063316345215,5.884726047515869,bigbrain_0_3624_695.nii,149694
increment_data,5.887254953384399,14.038536071777344,bigbrain_0_3624_695.nii,149694
save_incremented,14.041060209274292,27.886363983154297,bigbrain_0_3624_695.nii,149694
load_img,5.875561237335205,5.885399341583252,bigbrain_0_4228_4865.nii,149689
increment_data,5.887912750244141,15.570916891098022,bigbrain_0_4228_4865.nii,149689
save_incremented,15.571372032165527,32.493133544921875,bigbrain_0_4228_4865.nii,149689
load_img,5.89272141456604,5.89667272567749,bigbrain_0_3020_2780.nii,149698
increment_data,5.899028539657593,14.448579549789429,bigbrain_0_3020_2780.nii,149698
save_incremented,14.451690435409546,30.320005893707275,bigbrain_0_3020_2780.nii,149698
load_img,5.8868725299835205,5.896559000015259,bigbrain_0_2416_4865.nii,149680
increment_data,5.8996055126190186,15.614552974700928,bigbrain_0_2416_4865.nii,149680
save_incremented,15.616444110870361,16.984153270721436,bigbrain_0_2416_4865.nii,149680
load_img,5.891789436340332,5.899109601974487,bigbrain_0_4228_4865.nii,149675
increment_data,5.902317047119141,15.307817459106445,bigbrain_0_4228_4865.nii,149675
save_incremented,15.308886051177979,32.52029371261597,bigbrain_0_4228_4865.nii,149675
load_img,5.895817756652832,5.906750917434692,bigbrain_0_2416_2780.nii,149702
increment_data,5.909084320068359,15.787883758544922,bigbrain_0_2416_2780.nii,149702
save_incremented,15.788351774215698,31.75214982032776,bigbrain_0_2416_2780.nii,149702
load_img,5.8996968269348145,5.90890097618103,bigbrain_0_2416_4865.nii,149685
increment_data,5.911543607711792,15.61467456817627,bigbrain_0_2416_4865.nii,149685
