driver_program,0,388.2982964515686,/pmem1-data/val/spark-1570838668-optaneAD_1it_96cpus_0delay_npc_em-0,allfiles
load_img,12.381292819976807,12.38379192352295,bigbrain_0_2416_4865.nii,139568
increment_data,12.38461422920227,17.13813805580139,bigbrain_0_2416_4865.nii,139568
save_incremented,17.138943672180176,25.16060781478882,bigbrain_0_2416_4865.nii,139568
load_img,12.391403436660767,12.39358401298523,bigbrain_0_3020_4865.nii,139573
increment_data,12.3941330909729,16.876039028167725,bigbrain_0_3020_4865.nii,139573
save_incremented,16.876403331756592,18.4157497882843,bigbrain_0_3020_4865.nii,139573
load_img,12.4366455078125,12.43957805633545,bigbrain_0_3020_2780.nii,139576
increment_data,12.440133333206177,17.572421550750732,bigbrain_0_3020_2780.nii,139576
save_incremented,17.575433015823364,40.67202305793762,bigbrain_0_3020_2780.nii,139576
load_img,12.466054677963257,12.469081401824951,bigbrain_0_4228_4865.nii,139567
increment_data,12.469724416732788,17.992689847946167,bigbrain_0_4228_4865.nii,139567
save_incremented,17.99339246749878,32.461467266082764,bigbrain_0_4228_4865.nii,139567
load_img,12.476420879364014,12.479021072387695,bigbrain_0_2416_2780.nii,139585
increment_data,12.479846239089966,18.3413987159729,bigbrain_0_2416_2780.nii,139585
save_incremented,18.342520475387573,20.56226110458374,bigbrain_0_2416_2780.nii,139585
load_img,12.499016761779785,12.501171827316284,bigbrain_0_4228_6255.nii,139579
increment_data,12.501692295074463,18.513765811920166,bigbrain_0_4228_6255.nii,139579
save_incremented,18.5145001411438,40.55432605743408,bigbrain_0_4228_6255.nii,139579
load_img,12.586503267288208,12.588423013687134,bigbrain_0_2416_2780.nii,139582
increment_data,12.58905839920044,19.558101892471313,bigbrain_0_2416_2780.nii,139582
save_incremented,19.558753728866577,27.98046898841858,bigbrain_0_2416_2780.nii,139582
load_img,12.635744571685791,12.638015747070312,bigbrain_0_2416_4865.nii,139588
increment_data,12.638880252838135,20.44980549812317,bigbrain_0_2416_4865.nii,139588
save_incremented,20.45080256462097,62.760167837142944,bigbrain_0_2416_4865.nii,139588
load_img,12.673667430877686,12.676035404205322,bigbrain_0_2416_2780.nii,139591
increment_data,12.677011966705322,20.711132049560547,bigbrain_0_2416_2780.nii,139591
save_incremented,20.713406085968018,69.81269216537476,bigbrain_0_2416_2780.nii,139591
load_img,12.726534843444824,12.731348037719727,bigbrain_0_4228_6255.nii,139594
increment_data,12.732190132141113,20.785791397094727,bigbrain_0_4228_6255.nii,139594
save_incremented,20.78626847267151,30.317288875579834,bigbrain_0_4228_6255.nii,139594
load_img,12.820158004760742,12.826020240783691,bigbrain_0_3624_695.nii,139597
increment_data,12.827657222747803,20.95241403579712,bigbrain_0_3624_695.nii,139597
save_incremented,20.952860355377197,72.74379253387451,bigbrain_0_3624_695.nii,139597
load_img,12.826537370681763,12.831439971923828,bigbrain_0_3624_695.nii,139600
increment_data,12.833126544952393,21.084542512893677,bigbrain_0_3624_695.nii,139600
save_incremented,21.08493971824646,23.554702520370483,bigbrain_0_3624_695.nii,139600
load_img,12.885162353515625,12.890075922012329,bigbrain_0_3624_695.nii,139618
