driver_program,0,5136.504158258438,/home/users/vhayots/spark-1570844804-isilonAD_1it_25cpus_120delay_withpc_em-0,allfiles
load_img,2812.88032913208,2860.296797513962,bigbrain_0_1812_2085.nii,141924
increment_data,2882.9095375537872,2886.836637735367,bigbrain_0_1812_2085.nii,141924
save_incremented,2894.694204568863,2949.717161655426,bigbrain_0_1812_2085.nii,141924
load_img,5082.723693609238,5086.820117235184,bigbrain_0_0_695.nii,141957
increment_data,5089.092126131058,5091.249626398087,bigbrain_0_0_695.nii,141957
save_incremented,5093.280983448029,5119.527872085571,bigbrain_0_0_695.nii,141957
load_img,2648.707560300827,2685.1140360832214,bigbrain_0_3624_4865.nii,141930
increment_data,2726.992793083191,2732.9936327934265,bigbrain_0_3624_4865.nii,141930
save_incremented,2739.824241399765,2780.50248503685,bigbrain_0_3624_4865.nii,141930
load_img,3933.73809671402,3972.337472677231,bigbrain_0_0_6255.nii,141989
increment_data,3982.220829486847,3985.6355962753296,bigbrain_0_0_6255.nii,141989
save_incremented,4000.31214761734,4054.149742126465,bigbrain_0_0_6255.nii,141989
load_img,3039.4746718406677,3046.890801668167,bigbrain_0_4228_5560.nii,141993
increment_data,3053.2694325447083,3068.049179315567,bigbrain_0_4228_5560.nii,141993
save_incremented,3098.6720645427704,3142.474730491638,bigbrain_0_4228_5560.nii,141993
load_img,4425.72248005867,4442.859336614609,bigbrain_0_1208_2085.nii,142017
increment_data,4445.421632051468,4450.827758073807,bigbrain_0_1208_2085.nii,142017
save_incremented,4454.169236898422,4495.04475235939,bigbrain_0_1208_2085.nii,142017
load_img,4786.019522190094,4816.2881762981415,bigbrain_0_3624_2780.nii,141980
increment_data,4822.895918369293,4823.4368488788605,bigbrain_0_3624_2780.nii,141980
save_incremented,4836.919525384903,4874.520320415497,bigbrain_0_3624_2780.nii,141980
load_img,3876.353717327118,3914.525952100754,bigbrain_0_4228_695.nii,141945
increment_data,3925.4727642536163,3932.8348772525787,bigbrain_0_4228_695.nii,141945
save_incremented,3942.2765605449677,3988.3134803771973,bigbrain_0_4228_695.nii,141945
load_img,4448.767481327057,4485.869457960129,bigbrain_0_4228_2085.nii,141954
increment_data,4495.311721801758,4496.711340665817,bigbrain_0_4228_2085.nii,141954
save_incremented,4514.787025690079,4569.911706209183,bigbrain_0_4228_2085.nii,141954
load_img,261.79999113082886,266.8971161842346,bigbrain_0_4228_2780.nii,141989
increment_data,274.85028052330017,290.1148273944855,bigbrain_0_4228_2780.nii,141989
save_incremented,301.9567539691925,341.067373752594,bigbrain_0_4228_2780.nii,141989
load_img,692.9677734375,697.5845968723297,bigbrain_0_1208_1390.nii,141925
