driver_program,0,5212.910477876663,/home/users/vhayots/spark-1570839153-localAD_1it_25cpus_120delay_withpc_em-0,allfiles
load_img,3288.9735157489777,3296.278418302536,bigbrain_0_2416_2085.nii,140622
increment_data,3302.102427005768,3317.490360021591,bigbrain_0_2416_2085.nii,140622
save_incremented,3345.495443344116,3379.9411795139313,bigbrain_0_2416_2085.nii,140622
load_img,4762.1750683784485,4782.093645811081,bigbrain_0_3624_3475.nii,140555
increment_data,4797.1352570056915,4810.776401758194,bigbrain_0_3624_3475.nii,140555
save_incremented,4813.953845977783,4857.31233549118,bigbrain_0_3624_3475.nii,140555
load_img,3735.330687046051,3750.4107785224915,bigbrain_0_4228_6255.nii,140600
increment_data,3769.9295284748077,3773.317148923874,bigbrain_0_4228_6255.nii,140600
save_incremented,3789.616902112961,3856.3344390392303,bigbrain_0_4228_6255.nii,140600
load_img,4728.829810142517,4763.321506738663,bigbrain_0_3624_4170.nii,140639
increment_data,4769.038739442825,4770.058372974396,bigbrain_0_3624_4170.nii,140639
save_incremented,4783.18922996521,4829.865886211395,bigbrain_0_3624_4170.nii,140639
load_img,299.7053108215332,299.7096724510193,bigbrain_0_4228_0.nii,140569
increment_data,305.078232049942,311.0409960746765,bigbrain_0_4228_0.nii,140569
save_incremented,322.9704258441925,368.47232842445374,bigbrain_0_4228_0.nii,140569
load_img,4918.8544907569885,4942.241077899933,bigbrain_0_3020_5560.nii,140618
increment_data,4946.2153487205505,4955.828506946564,bigbrain_0_3020_5560.nii,140618
save_incremented,4972.960100412369,5018.540060520172,bigbrain_0_3020_5560.nii,140618
load_img,2917.8751981258392,2928.8698086738586,bigbrain_0_1208_4170.nii,140590
increment_data,2954.1233015060425,2956.896078109741,bigbrain_0_1208_4170.nii,140590
save_incremented,2963.8464844226837,3050.7673001289368,bigbrain_0_1208_4170.nii,140590
load_img,4553.935822248459,4563.551355600357,bigbrain_0_3624_2780.nii,140645
increment_data,4595.332799196243,4612.654631137848,bigbrain_0_3624_2780.nii,140645
save_incremented,4640.83035326004,4673.609248876572,bigbrain_0_3624_2780.nii,140645
load_img,4275.630899906158,4288.786542892456,bigbrain_0_1812_2780.nii,140600
increment_data,4303.720418930054,4315.3429753780365,bigbrain_0_1812_2780.nii,140600
save_incremented,4337.458303689957,4384.4758644104,bigbrain_0_1812_2780.nii,140600
load_img,1414.8420383930206,1421.3780961036682,bigbrain_0_1208_4170.nii,140600
increment_data,1431.2786223888397,1434.8267607688904,bigbrain_0_1208_4170.nii,140600
save_incremented,1458.9195334911346,1511.3862943649292,bigbrain_0_1208_4170.nii,140600
load_img,448.16023802757263,462.62984228134155,bigbrain_0_2416_0.nii,140639
increment_data,470.9561731815338,474.1862328052521,bigbrain_0_2416_0.nii,140639
save_incremented,488.8845245838165,550.1866171360016,bigbrain_0_2416_0.nii,140639
load_img,4419.361984729767,4426.240740299225,bigbrain_0_4228_2085.nii,140609
increment_data,4439.9961087703705,4449.018100261688,bigbrain_0_4228_2085.nii,140609
save_incremented,4481.872836351395,4527.0810697078705,bigbrain_0_4228_2085.nii,140609
load_img,2193.4608969688416,2193.4652605056763,bigbrain_0_3020_0.nii,140572
increment_data,2199.9201607704163,2211.33642411232,bigbrain_0_3020_0.nii,140572
save_incremented,2238.2636518478394,2291.7786614894867,bigbrain_0_3020_0.nii,140572
load_img,3740.232356786728,3762.117894887924,bigbrain_0_1812_4865.nii,140645
increment_data,3782.718896627426,3788.8692314624786,bigbrain_0_1812_4865.nii,140645
save_incremented,3796.416830778122,3871.909655570984,bigbrain_0_1812_4865.nii,140645
load_img,1702.9070272445679,1707.4539287090302,bigbrain_0_1208_0.nii,140600
increment_data,1717.2807404994965,1721.6630070209503,bigbrain_0_1208_0.nii,140600
save_incremented,1741.9293615818024,1782.5300459861755,bigbrain_0_1208_0.nii,140600
load_img,4396.980767726898,4400.983475923538,bigbrain_0_4228_5560.nii,140634
increment_data,4422.223595619202,4425.2145652771,bigbrain_0_4228_5560.nii,140634
save_incremented,4434.078799724579,4489.1827347278595,bigbrain_0_4228_5560.nii,140634
load_img,2038.0235772132874,2038.8096408843994,bigbrain_0_1812_0.nii,140572
increment_data,2070.8494131565094,2078.349628686905,bigbrain_0_1812_0.nii,140572
save_incremented,2083.5626726150513,2174.2300345897675,bigbrain_0_1812_0.nii,140572
load_img,698.0743227005005,699.9371058940887,bigbrain_0_2416_4170.nii,140597
increment_data,718.4461517333984,753.8848853111267,bigbrain_0_2416_4170.nii,140597
save_incremented,769.7938797473907,812.389945268631,bigbrain_0_2416_4170.nii,140597
load_img,5035.279477357864,5055.7143297195435,bigbrain_0_3624_1390.nii,140605
increment_data,5060.651423454285,5062.024634838104,bigbrain_0_3624_1390.nii,140605
save_incremented,5067.932737827301,5117.944055080414,bigbrain_0_3624_1390.nii,140605
load_img,3625.5704135894775,3637.437486886978,bigbrain_0_0_4865.nii,140618
increment_data,3643.5346019268036,3645.710234642029,bigbrain_0_0_4865.nii,140618
save_incremented,3667.6728188991547,3735.2026426792145,bigbrain_0_0_4865.nii,140618
load_img,1239.8127434253693,1239.8169121742249,bigbrain_0_0_2780.nii,140645
increment_data,1258.9084408283234,1269.6695988178253,bigbrain_0_0_2780.nii,140645
save_incremented,1279.97234416008,1355.3419296741486,bigbrain_0_0_2780.nii,140645
load_img,1634.0145936012268,1634.020292043686,bigbrain_0_4228_3475.nii,140554
increment_data,1648.4701895713806,1652.1430411338806,bigbrain_0_4228_3475.nii,140554
save_incremented,1676.6277220249176,1731.818858385086,bigbrain_0_4228_3475.nii,140554
load_img,3046.2434821128845,3047.152943611145,bigbrain_0_3020_695.nii,140634
increment_data,3055.1072556972504,3068.015839099884,bigbrain_0_3020_695.nii,140634
save_incremented,3071.767063856125,3131.0353841781616,bigbrain_0_3020_695.nii,140634
load_img,257.18746876716614,268.52291989326477,bigbrain_0_3020_6255.nii,140566
increment_data,281.05993819236755,312.1629478931427,bigbrain_0_3020_6255.nii,140566
save_incremented,326.03605246543884,398.7246241569519,bigbrain_0_3020_6255.nii,140566
load_img,4528.872367620468,4532.371337890625,bigbrain_0_2416_4170.nii,140578
increment_data,4555.388873100281,4558.559075117111,bigbrain_0_2416_4170.nii,140578
save_incremented,4577.281250715256,4641.842535972595,bigbrain_0_2416_4170.nii,140578
load_img,4855.389353752136,4895.1209926605225,bigbrain_0_3624_3475.nii,140584
increment_data,4916.38175868988,4923.325238466263,bigbrain_0_3624_3475.nii,140584
save_incremented,4926.920442819595,4964.618464231491,bigbrain_0_3624_3475.nii,140584
load_img,1482.6259927749634,1508.8241448402405,bigbrain_0_1812_4170.nii,140584
increment_data,1515.1653447151184,1517.472909450531,bigbrain_0_1812_4170.nii,140584
save_incremented,1524.1797897815704,1577.7122511863708,bigbrain_0_1812_4170.nii,140584
load_img,2482.4559042453766,2482.4605915546417,bigbrain_0_3624_4865.nii,140634
increment_data,2505.484192609787,2514.586407184601,bigbrain_0_3624_4865.nii,140634
save_incremented,2539.2578644752502,2591.959172487259,bigbrain_0_3624_4865.nii,140634
load_img,1952.2699143886566,1973.3123471736908,bigbrain_0_3624_0.nii,140609
increment_data,2010.3619759082794,2021.1999542713165,bigbrain_0_3624_0.nii,140609
save_incremented,2030.7642159461975,2079.9267132282257,bigbrain_0_3624_0.nii,140609
load_img,544.0770449638367,548.6118915081024,bigbrain_0_3020_695.nii,140645
increment_data,566.2409336566925,567.727189540863,bigbrain_0_3020_695.nii,140645
save_incremented,572.0694243907928,668.4518449306488,bigbrain_0_3020_695.nii,140645
load_img,2215.0109374523163,2234.868654489517,bigbrain_0_1812_5560.nii,140584
increment_data,2254.2523958683014,2277.0876195430756,bigbrain_0_1812_5560.nii,140584
save_incremented,2295.1157948970795,2336.816240787506,bigbrain_0_1812_5560.nii,140584
load_img,3874.4333295822144,3911.32839345932,bigbrain_0_3020_2780.nii,140575
increment_data,3931.5369379520416,3936.3997032642365,bigbrain_0_3020_2780.nii,140575
