driver_program,0,59.04374051094055,/dev/shm/val/spark-1570930473-tmpfsAD_1it_25cpus_120delay_withpc_em-2,allfiles
load_img,57.89872860908508,57.89983510971069,bigbrain_0_3020_4865.nii,164930
increment_data,57.90006375312805,58.300201654434204,bigbrain_0_3020_4865.nii,164930
save_incremented,58.30034947395325,59.008331060409546,bigbrain_0_3020_4865.nii,164930
load_img,57.89573121070862,57.89669156074524,bigbrain_0_3020_4865.nii,164947
increment_data,57.89686822891235,58.27656865119934,bigbrain_0_3020_4865.nii,164947
save_incremented,58.276716470718384,58.961984157562256,bigbrain_0_3020_4865.nii,164947
load_img,57.573408126831055,57.57436418533325,bigbrain_0_3020_4865.nii,164987
increment_data,57.5745415687561,57.95700001716614,bigbrain_0_3020_4865.nii,164987
save_incremented,57.95714807510376,58.65936875343323,bigbrain_0_3020_4865.nii,164987
load_img,57.19766116142273,57.199923038482666,bigbrain_0_2416_4865.nii,164909
increment_data,57.20018720626831,57.589272260665894,bigbrain_0_2416_4865.nii,164909
save_incremented,57.589449882507324,58.289366483688354,bigbrain_0_2416_4865.nii,164909
load_img,57.06059169769287,57.06149125099182,bigbrain_0_2416_4865.nii,164982
increment_data,57.06165647506714,57.4245388507843,bigbrain_0_2416_4865.nii,164982
save_incremented,57.424678564071655,58.20768475532532,bigbrain_0_2416_4865.nii,164982
load_img,57.059463024139404,57.06037878990173,bigbrain_0_2416_4865.nii,164936
increment_data,57.060559034347534,57.424964904785156,bigbrain_0_2416_4865.nii,164936
save_incremented,57.42507457733154,58.20748949050903,bigbrain_0_2416_4865.nii,164936
load_img,56.693888425827026,56.69642376899719,bigbrain_0_1208_4865.nii,164930
increment_data,56.6969952583313,57.10274696350098,bigbrain_0_1208_4865.nii,164930
save_incremented,57.10299372673035,57.89601445198059,bigbrain_0_1208_4865.nii,164930
load_img,56.69177770614624,56.69267797470093,bigbrain_0_1208_4865.nii,164947
increment_data,56.692845582962036,57.09546089172363,bigbrain_0_1208_4865.nii,164947
save_incremented,57.09561467170715,57.89295482635498,bigbrain_0_1208_4865.nii,164947
load_img,56.38759231567383,56.388461112976074,bigbrain_0_1208_4865.nii,164987
increment_data,56.3886296749115,56.77506637573242,bigbrain_0_1208_4865.nii,164987
save_incremented,56.77522039413452,57.57051396369934,bigbrain_0_1208_4865.nii,164987
load_img,55.948458194732666,55.949379682540894,bigbrain_0_0_6255.nii,164909
increment_data,55.94956421852112,56.360572814941406,bigbrain_0_0_6255.nii,164909
save_incremented,56.360737562179565,57.19413924217224,bigbrain_0_0_6255.nii,164909
load_img,55.939728021621704,55.940709352493286,bigbrain_0_0_6255.nii,164982
increment_data,55.940879106521606,56.36168718338013,bigbrain_0_0_6255.nii,164982
save_incremented,56.361900091171265,57.05683350563049,bigbrain_0_0_6255.nii,164982
load_img,55.936458110809326,55.93735671043396,bigbrain_0_0_6255.nii,164936
increment_data,55.937525033950806,56.302695512771606,bigbrain_0_0_6255.nii,164936
save_incremented,56.302842140197754,57.056594371795654,bigbrain_0_0_6255.nii,164936
load_img,55.53766131401062,55.5394811630249,bigbrain_0_0_2780.nii,164930
increment_data,55.53990316390991,55.93859529495239,bigbrain_0_0_2780.nii,164930
save_incremented,55.938727617263794,56.69067120552063,bigbrain_0_0_2780.nii,164930
load_img,55.52858567237854,55.529518604278564,bigbrain_0_0_2780.nii,164947
increment_data,55.52969670295715,55.91612386703491,bigbrain_0_0_2780.nii,164947
save_incremented,55.91628170013428,56.689006090164185,bigbrain_0_0_2780.nii,164947
load_img,55.21653151512146,55.217450857162476,bigbrain_0_0_2780.nii,164987
increment_data,55.2176239490509,55.615453243255615,bigbrain_0_0_2780.nii,164987
save_incremented,55.615607261657715,56.38433909416199,bigbrain_0_0_2780.nii,164987
