driver_program,0,873.0505430698395,/pmem1-data/val/spark-1570537316-optaneAD_1it_25cpus_120delay_withpc-2,allfiles
load_img,21.51375460624695,21.929479122161865,bigbrain_6930_3624_6255.nii,100844
increment_data,21.932741165161133,22.618093729019165,bigbrain_6930_3624_6255.nii,100844
save_incremented,22.61829686164856,26.732080459594727,bigbrain_6930_3624_6255.nii,100844
load_img,21.74126625061035,22.195391178131104,bigbrain_6930_4832_5560.nii,100793
increment_data,22.198670148849487,23.012361764907837,bigbrain_6930_4832_5560.nii,100793
save_incremented,23.01263928413391,25.04844570159912,bigbrain_6930_4832_5560.nii,100793
load_img,21.75330924987793,22.204721927642822,bigbrain_6160_0_1390.nii,100814
increment_data,22.207963228225708,22.992408275604248,bigbrain_6160_0_1390.nii,100814
save_incremented,22.99459433555603,28.80340266227722,bigbrain_6160_0_1390.nii,100814
load_img,21.767871141433716,22.20944595336914,bigbrain_0_1208_695.nii,100788
increment_data,22.21311044692993,22.988176584243774,bigbrain_0_1208_695.nii,100788
save_incremented,22.98846435546875,26.840250492095947,bigbrain_0_1208_695.nii,100788
load_img,21.754748106002808,22.20961570739746,bigbrain_6930_1812_695.nii,100805
increment_data,22.2147274017334,23.06046724319458,bigbrain_6930_1812_695.nii,100805
save_incremented,23.06088161468506,28.212183237075806,bigbrain_6930_1812_695.nii,100805
load_img,21.760411500930786,22.212412118911743,bigbrain_6160_4832_3475.nii,100787
increment_data,22.215659379959106,23.050060510635376,bigbrain_6160_4832_3475.nii,100787
save_incremented,23.050705909729004,25.065494775772095,bigbrain_6160_4832_3475.nii,100787
load_img,21.769532203674316,22.215270042419434,bigbrain_1540_4832_0.nii,100796
increment_data,22.218475103378296,23.001887559890747,bigbrain_1540_4832_0.nii,100796
save_incremented,23.002164840698242,26.980509519577026,bigbrain_1540_4832_0.nii,100796
load_img,21.781336069107056,22.218899965286255,bigbrain_2310_604_2780.nii,100823
increment_data,22.222100019454956,22.992408752441406,bigbrain_2310_604_2780.nii,100823
save_incremented,22.994622468948364,28.60212278366089,bigbrain_2310_604_2780.nii,100823
load_img,21.78291344642639,22.226078510284424,bigbrain_770_3624_4170.nii,100853
increment_data,22.22941780090332,23.01159429550171,bigbrain_770_3624_4170.nii,100853
save_incremented,23.011839389801025,27.045353174209595,bigbrain_770_3624_4170.nii,100853
load_img,21.795913696289062,22.237961292266846,bigbrain_0_4228_4865.nii,100799
increment_data,22.241305112838745,23.02162218093872,bigbrain_0_4228_4865.nii,100799
save_incremented,23.02189540863037,26.313539028167725,bigbrain_0_4228_4865.nii,100799
load_img,21.80689311027527,22.253024101257324,bigbrain_6160_1812_4170.nii,100859
increment_data,22.256447315216064,23.102646589279175,bigbrain_6160_1812_4170.nii,100859
save_incremented,23.102875471115112,30.47978639602661,bigbrain_6160_1812_4170.nii,100859
load_img,21.825708627700806,22.276395082473755,bigbrain_4620_4832_2780.nii,100835
