driver_program,0,4081.0165832042694,/home/users/vhayots/spark-1570850088-localAD_1it_96cpus_0delay_npc_em-0,allfiles
load_img,3407.1036982536316,3407.1081676483154,bigbrain_0_3624_5560.nii,143431
increment_data,3512.0602021217346,3513.498811006546,bigbrain_0_3624_5560.nii,143431
save_incremented,3592.332896709442,3663.2050228118896,bigbrain_0_3624_5560.nii,143431
load_img,3551.974995613098,3551.9790456295013,bigbrain_0_1812_1390.nii,143629
increment_data,3627.5621032714844,3628.7911331653595,bigbrain_0_1812_1390.nii,143629
save_incremented,3701.366718530655,3741.540046930313,bigbrain_0_1812_1390.nii,143629
load_img,2643.346960067749,2643.351483106613,bigbrain_0_2416_4170.nii,143667
increment_data,2779.6226856708527,2788.81347489357,bigbrain_0_2416_4170.nii,143667
save_incremented,2882.4218854904175,2932.5906479358673,bigbrain_0_2416_4170.nii,143667
load_img,3257.0505442619324,3257.977696657181,bigbrain_0_3624_4170.nii,143380
increment_data,3366.0577960014343,3367.1591835021973,bigbrain_0_3624_4170.nii,143380
save_incremented,3449.248029232025,3562.8052356243134,bigbrain_0_3624_4170.nii,143380
load_img,2747.834041595459,2748.6322417259216,bigbrain_0_0_4865.nii,143515
increment_data,2836.7281415462494,2838.3843734264374,bigbrain_0_0_4865.nii,143515
save_incremented,2942.374850511551,2986.7476618289948,bigbrain_0_0_4865.nii,143515
load_img,3998.564971446991,3998.573456764221,bigbrain_0_0_4170.nii,143608
increment_data,3998.578287601471,3998.9759845733643,bigbrain_0_0_4170.nii,143608
save_incremented,3998.9783034324646,4021.339143514633,bigbrain_0_0_4170.nii,143608
load_img,905.3791766166687,906.2411115169525,bigbrain_0_3020_2085.nii,143651
increment_data,1001.6071071624756,1003.1159620285034,bigbrain_0_3020_2085.nii,143651
save_incremented,1106.1597127914429,1149.4336123466492,bigbrain_0_3020_2085.nii,143651
load_img,1402.314207792282,1404.0885105133057,bigbrain_0_1208_6255.nii,143722
increment_data,1513.942037820816,1517.2092189788818,bigbrain_0_1208_6255.nii,143722
save_incremented,1635.061839580536,1727.0065338611603,bigbrain_0_1208_6255.nii,143722
load_img,2368.9339022636414,2369.9776487350464,bigbrain_0_2416_4170.nii,143480
increment_data,2483.868822336197,2485.1463582515717,bigbrain_0_2416_4170.nii,143480
save_incremented,2571.5169022083282,2650.8177506923676,bigbrain_0_2416_4170.nii,143480
load_img,689.3221790790558,689.3277950286865,bigbrain_0_3020_2085.nii,143597
increment_data,805.5606870651245,808.7661859989166,bigbrain_0_3020_2085.nii,143597
save_incremented,933.3739447593689,997.2125778198242,bigbrain_0_3020_2085.nii,143597
load_img,3923.033410549164,3923.800681114197,bigbrain_0_1208_4170.nii,143671
increment_data,3924.249484539032,3925.2492356300354,bigbrain_0_1208_4170.nii,143671
save_incremented,3925.84485411644,3951.5638535022736,bigbrain_0_1208_4170.nii,143671
load_img,1170.2656316757202,1176.5257272720337,bigbrain_0_2416_0.nii,143362
increment_data,1323.755322933197,1373.852133512497,bigbrain_0_2416_0.nii,143362
save_incremented,1478.1293199062347,1527.2672843933105,bigbrain_0_2416_0.nii,143362
