driver_program,0,3913.4528217315674,/home/users/vhayots/spark-1570890801-isilonAD_1it_96cpus_0delay_npc_em-0,allfiles
load_img,3794.075254678726,3794.085931301117,bigbrain_0_3624_4170.nii,146709
increment_data,3794.0958659648895,3794.4606699943542,bigbrain_0_3624_4170.nii,146709
save_incremented,3794.462972164154,3817.231057405472,bigbrain_0_3624_4170.nii,146709
load_img,1204.6558763980865,1204.9167473316193,bigbrain_0_4228_1390.nii,146983
increment_data,1270.989573955536,1272.7187430858612,bigbrain_0_4228_1390.nii,146983
save_incremented,1403.5502364635468,1480.31041264534,bigbrain_0_4228_1390.nii,146983
load_img,90.06816697120667,90.6247673034668,bigbrain_0_3624_695.nii,147004
increment_data,131.2921588420868,145.87052655220032,bigbrain_0_3624_695.nii,147004
save_incremented,204.94374895095825,426.58529019355774,bigbrain_0_3624_695.nii,147004
load_img,366.7120454311371,366.71865344047546,bigbrain_0_4228_695.nii,147076
increment_data,441.77122139930725,462.8324570655823,bigbrain_0_4228_695.nii,147076
save_incremented,506.1599178314209,848.5298840999603,bigbrain_0_4228_695.nii,147076
load_img,370.90573954582214,414.3796544075012,bigbrain_0_0_6255.nii,146944
increment_data,461.3865900039673,464.14606285095215,bigbrain_0_0_6255.nii,146944
save_incremented,506.9640669822693,632.9953117370605,bigbrain_0_0_6255.nii,146944
load_img,79.72640323638916,79.73026657104492,bigbrain_0_2416_2780.nii,146969
increment_data,102.88633346557617,103.71508169174194,bigbrain_0_2416_2780.nii,146969
save_incremented,171.9320456981659,317.83167600631714,bigbrain_0_2416_2780.nii,146969
load_img,505.3875513076782,538.3333837985992,bigbrain_0_1208_2780.nii,146757
increment_data,686.0267260074615,687.6908164024353,bigbrain_0_1208_2780.nii,146757
save_incremented,762.6577219963074,812.8144524097443,bigbrain_0_1208_2780.nii,146757
load_img,1957.6605648994446,1957.664537191391,bigbrain_0_2416_6255.nii,146983
