driver_program,0,399.5680718421936,/pmem1-data/val/spark-1570926236-optaneAD_1it_96cpus_0delay_npc_em-2,allfiles
load_img,12.023926973342896,12.02700662612915,bigbrain_0_3020_2780.nii,162544
increment_data,12.027748346328735,14.45915174484253,bigbrain_0_3020_2780.nii,162544
save_incremented,14.459680795669556,25.26868772506714,bigbrain_0_3020_2780.nii,162544
load_img,12.111677885055542,12.113743305206299,bigbrain_0_3020_2780.nii,162543
increment_data,12.114398717880249,15.353946685791016,bigbrain_0_3020_2780.nii,162543
save_incremented,15.354809045791626,50.280938386917114,bigbrain_0_3020_2780.nii,162543
load_img,12.164031028747559,12.16621446609497,bigbrain_0_4228_4865.nii,162555
increment_data,12.166827201843262,16.500656127929688,bigbrain_0_4228_4865.nii,162555
save_incremented,16.503790855407715,39.33581805229187,bigbrain_0_4228_4865.nii,162555
load_img,12.20254111289978,12.204917669296265,bigbrain_0_4228_4865.nii,162552
increment_data,12.205605030059814,16.59061598777771,bigbrain_0_4228_4865.nii,162552
save_incremented,16.59108066558838,93.234543800354,bigbrain_0_4228_4865.nii,162552
load_img,12.224284410476685,12.227378368377686,bigbrain_0_3624_695.nii,162549
increment_data,12.228058576583862,16.231982946395874,bigbrain_0_3624_695.nii,162549
save_incremented,16.232720851898193,18.025446891784668,bigbrain_0_3624_695.nii,162549
load_img,12.25001835823059,12.252681970596313,bigbrain_0_4228_6255.nii,162558
increment_data,12.25353217124939,17.167096853256226,bigbrain_0_4228_6255.nii,162558
save_incremented,17.167953729629517,19.316689252853394,bigbrain_0_4228_6255.nii,162558
load_img,12.298546314239502,12.301051616668701,bigbrain_0_2416_2780.nii,162564
increment_data,12.301622152328491,17.79451322555542,bigbrain_0_2416_2780.nii,162564
save_incremented,17.79560422897339,61.58742308616638,bigbrain_0_2416_2780.nii,162564
load_img,12.330768346786499,12.33320140838623,bigbrain_0_2416_4865.nii,162561
increment_data,12.333914995193481,17.630367517471313,bigbrain_0_2416_4865.nii,162561
save_incremented,17.632047176361084,19.720604181289673,bigbrain_0_2416_4865.nii,162561
load_img,12.38898515701294,12.391676902770996,bigbrain_0_4228_4865.nii,162567
increment_data,12.392238140106201,19.14701247215271,bigbrain_0_4228_4865.nii,162567
save_incremented,19.153414964675903,47.685415506362915,bigbrain_0_4228_4865.nii,162567
load_img,12.52781081199646,12.530739545822144,bigbrain_0_4228_6255.nii,162573
increment_data,12.53181529045105,19.80953097343445,bigbrain_0_4228_6255.nii,162573
save_incremented,19.810523986816406,61.27226901054382,bigbrain_0_4228_6255.nii,162573
load_img,12.585756540298462,12.589633464813232,bigbrain_0_2416_2780.nii,162570
increment_data,12.590853214263916,20.403391361236572,bigbrain_0_2416_2780.nii,162570
save_incremented,20.404085159301758,41.0144419670105,bigbrain_0_2416_2780.nii,162570
load_img,12.626022100448608,12.628642797470093,bigbrain_0_3020_4865.nii,162576
increment_data,12.630023002624512,20.22187066078186,bigbrain_0_3020_4865.nii,162576
save_incremented,20.226475477218628,75.26978373527527,bigbrain_0_3020_4865.nii,162576
load_img,12.742341995239258,12.74843430519104,bigbrain_0_2416_2780.nii,162579
increment_data,12.751375436782837,20.507312059402466,bigbrain_0_2416_2780.nii,162579
save_incremented,20.508156538009644,88.22025918960571,bigbrain_0_2416_2780.nii,162579
load_img,12.816161394119263,12.822425365447998,bigbrain_0_3624_695.nii,162583
increment_data,12.824918270111084,20.366867065429688,bigbrain_0_3624_695.nii,162583
save_incremented,20.36736035346985,23.60767936706543,bigbrain_0_3624_695.nii,162583
load_img,12.859192848205566,12.8670015335083,bigbrain_0_3020_2780.nii,162590
increment_data,12.86962366104126,20.415839672088623,bigbrain_0_3020_2780.nii,162590
save_incremented,20.416441679000854,86.78235912322998,bigbrain_0_3020_2780.nii,162590
load_img,12.891772985458374,12.897571802139282,bigbrain_0_3020_4865.nii,162594
increment_data,12.900046586990356,20.960023403167725,bigbrain_0_3020_4865.nii,162594
save_incremented,20.960675954818726,85.81098580360413,bigbrain_0_3020_4865.nii,162594
load_img,12.925393104553223,12.929947853088379,bigbrain_0_3020_2780.nii,162599
increment_data,12.932579517364502,21.173364877700806,bigbrain_0_3020_2780.nii,162599
save_incremented,21.175373554229736,85.56879305839539,bigbrain_0_3020_2780.nii,162599
load_img,12.930121421813965,12.935034036636353,bigbrain_0_3020_2780.nii,162603
increment_data,12.937590599060059,20.517053604125977,bigbrain_0_3020_2780.nii,162603
save_incremented,20.51768445968628,68.44252300262451,bigbrain_0_3020_2780.nii,162603
load_img,12.953972578048706,12.96018362045288,bigbrain_0_2416_4865.nii,162606
increment_data,12.962841987609863,20.839778423309326,bigbrain_0_2416_4865.nii,162606
save_incremented,20.840314626693726,40.630800008773804,bigbrain_0_2416_4865.nii,162606
load_img,12.994016408920288,12.999402046203613,bigbrain_0_4228_6255.nii,162624
increment_data,13.000866174697876,20.936697006225586,bigbrain_0_4228_6255.nii,162624
save_incremented,20.93741798400879,74.39042162895203,bigbrain_0_4228_6255.nii,162624
load_img,13.029256582260132,13.033515930175781,bigbrain_0_4228_6255.nii,162610
increment_data,13.036269664764404,21.06332802772522,bigbrain_0_4228_6255.nii,162610
save_incremented,21.06395697593689,23.73952031135559,bigbrain_0_4228_6255.nii,162610
load_img,13.04622220993042,13.049766063690186,bigbrain_0_4228_6255.nii,162621
increment_data,13.051337957382202,20.93563675880432,bigbrain_0_4228_6255.nii,162621
save_incremented,20.936562538146973,30.195120811462402,bigbrain_0_4228_6255.nii,162621
load_img,13.08165717124939,13.085684061050415,bigbrain_0_3624_695.nii,162638
increment_data,13.087302207946777,20.995069980621338,bigbrain_0_3624_695.nii,162638
save_incremented,20.995704889297485,70.00492262840271,bigbrain_0_3624_695.nii,162638
load_img,13.089935779571533,13.094147443771362,bigbrain_0_3020_4865.nii,162614
increment_data,13.095278024673462,21.202054738998413,bigbrain_0_3020_4865.nii,162614
save_incremented,21.202828884124756,97.7647864818573,bigbrain_0_3020_4865.nii,162614
load_img,13.120492935180664,13.123277187347412,bigbrain_0_2416_4865.nii,162632
increment_data,13.124436855316162,21.398707628250122,bigbrain_0_2416_4865.nii,162632
save_incremented,21.399158716201782,86.36674356460571,bigbrain_0_2416_4865.nii,162632
load_img,13.120631217956543,13.12526559829712,bigbrain_0_2416_4865.nii,162628
increment_data,13.127347707748413,21.279510021209717,bigbrain_0_2416_4865.nii,162628
save_incremented,21.280511617660522,61.37832021713257,bigbrain_0_2416_4865.nii,162628
load_img,13.137484312057495,13.141839742660522,bigbrain_0_3624_695.nii,162643
increment_data,13.142770528793335,21.15133810043335,bigbrain_0_3624_695.nii,162643
save_incremented,21.15579628944397,86.3773832321167,bigbrain_0_3624_695.nii,162643
load_img,13.163697242736816,13.168191909790039,bigbrain_0_4228_4865.nii,162656
increment_data,13.169539451599121,21.03181004524231,bigbrain_0_4228_4865.nii,162656
save_incremented,21.033093452453613,29.510804653167725,bigbrain_0_4228_4865.nii,162656
load_img,13.166714191436768,13.170982599258423,bigbrain_0_3624_695.nii,162676
increment_data,13.172221422195435,21.180264472961426,bigbrain_0_3624_695.nii,162676
save_incremented,21.181269645690918,81.76698851585388,bigbrain_0_3624_695.nii,162676
load_img,13.176228046417236,13.17965817451477,bigbrain_0_3624_695.nii,162670
increment_data,13.18119764328003,21.20343518257141,bigbrain_0_3624_695.nii,162670
save_incremented,21.204111337661743,57.89373254776001,bigbrain_0_3624_695.nii,162670
load_img,13.192675352096558,13.195870876312256,bigbrain_0_4228_6255.nii,162648
increment_data,13.197904109954834,21.30275297164917,bigbrain_0_4228_6255.nii,162648
save_incremented,21.304006099700928,40.912261724472046,bigbrain_0_4228_6255.nii,162648
load_img,13.199523448944092,13.203762292861938,bigbrain_0_2416_4865.nii,162660
increment_data,13.205002546310425,21.305557250976562,bigbrain_0_2416_4865.nii,162660
save_incremented,21.3066508769989,74.17838549613953,bigbrain_0_2416_4865.nii,162660
load_img,13.210559844970703,13.214965581893921,bigbrain_0_4228_6255.nii,162681
increment_data,13.216689586639404,21.33089303970337,bigbrain_0_4228_6255.nii,162681
save_incremented,21.331687450408936,85.59902334213257,bigbrain_0_4228_6255.nii,162681
load_img,13.214183330535889,13.217112302780151,bigbrain_0_3020_4865.nii,162666
increment_data,13.218092203140259,21.202648639678955,bigbrain_0_3020_4865.nii,162666
save_incremented,21.203606843948364,27.209985971450806,bigbrain_0_3020_4865.nii,162666
load_img,13.223879337310791,13.227084159851074,bigbrain_0_4228_4865.nii,162699
increment_data,13.228347301483154,21.171675205230713,bigbrain_0_4228_4865.nii,162699
save_incremented,21.172281503677368,101.01831221580505,bigbrain_0_4228_4865.nii,162699
load_img,13.230843544006348,13.232877969741821,bigbrain_0_3020_4865.nii,162708
increment_data,13.233917236328125,21.22214436531067,bigbrain_0_3020_4865.nii,162708
save_incremented,21.222914218902588,97.8676450252533,bigbrain_0_3020_4865.nii,162708
load_img,13.240549325942993,13.242753744125366,bigbrain_0_4228_4865.nii,162688
increment_data,13.24359941482544,21.300591945648193,bigbrain_0_4228_4865.nii,162688
save_incremented,21.30110454559326,100.7842288017273,bigbrain_0_4228_4865.nii,162688
load_img,13.259230375289917,13.262730121612549,bigbrain_0_3020_2780.nii,162696
increment_data,13.263496398925781,21.265148878097534,bigbrain_0_3020_2780.nii,162696
save_incremented,21.26682758331299,70.8558361530304,bigbrain_0_3020_2780.nii,162696
load_img,13.26084017753601,13.263507604598999,bigbrain_0_2416_2780.nii,162757
increment_data,13.264084815979004,21.269891262054443,bigbrain_0_2416_2780.nii,162757
save_incremented,21.27061438560486,87.47489666938782,bigbrain_0_2416_2780.nii,162757
load_img,13.265125036239624,13.267489910125732,bigbrain_0_4228_6255.nii,162703
increment_data,13.268509149551392,21.321494579315186,bigbrain_0_4228_6255.nii,162703
save_incremented,21.322207927703857,85.00866889953613,bigbrain_0_4228_6255.nii,162703
load_img,13.270723581314087,13.272858142852783,bigbrain_0_2416_4865.nii,162718
increment_data,13.273683071136475,21.367660522460938,bigbrain_0_2416_4865.nii,162718
save_incremented,21.368162870407104,68.48860311508179,bigbrain_0_2416_4865.nii,162718
load_img,13.280643939971924,13.282992362976074,bigbrain_0_3020_4865.nii,162712
increment_data,13.283546209335327,21.559918642044067,bigbrain_0_3020_4865.nii,162712
save_incremented,21.560484409332275,92.11743187904358,bigbrain_0_3020_4865.nii,162712
load_img,13.282144784927368,13.283982753753662,bigbrain_0_3020_4865.nii,162770
increment_data,13.28443717956543,21.55973243713379,bigbrain_0_3020_4865.nii,162770
save_incremented,21.56032109260559,87.08307552337646,bigbrain_0_3020_4865.nii,162770
load_img,13.282881736755371,13.28462290763855,bigbrain_0_3020_2780.nii,162722
increment_data,13.285272121429443,21.404267072677612,bigbrain_0_3020_2780.nii,162722
save_incremented,21.405037879943848,87.40675139427185,bigbrain_0_3020_2780.nii,162722
load_img,13.286958694458008,13.289175271987915,bigbrain_0_3020_2780.nii,162749
increment_data,13.28995394706726,21.30066156387329,bigbrain_0_3020_2780.nii,162749
save_incremented,21.30157446861267,93.82812905311584,bigbrain_0_3020_2780.nii,162749
load_img,13.2863609790802,13.290643692016602,bigbrain_0_2416_4865.nii,162761
increment_data,13.291199922561646,21.604137659072876,bigbrain_0_2416_4865.nii,162761
save_incremented,21.604645013809204,87.73785829544067,bigbrain_0_2416_4865.nii,162761
load_img,13.306950807571411,13.309871435165405,bigbrain_0_4228_6255.nii,162778
increment_data,13.310630321502686,21.468822956085205,bigbrain_0_4228_6255.nii,162778
save_incremented,21.469416618347168,69.23070311546326,bigbrain_0_4228_6255.nii,162778
load_img,13.31382155418396,13.31598162651062,bigbrain_0_3020_2780.nii,162726
increment_data,13.316697359085083,21.404685735702515,bigbrain_0_3020_2780.nii,162726
save_incremented,21.40842032432556,86.67935991287231,bigbrain_0_3020_2780.nii,162726
load_img,13.314339637756348,13.316279888153076,bigbrain_0_3624_695.nii,162765
increment_data,13.316781997680664,21.54507064819336,bigbrain_0_3624_695.nii,162765
save_incremented,21.545490503311157,85.14744448661804,bigbrain_0_3624_695.nii,162765
load_img,13.326664924621582,13.329154253005981,bigbrain_0_2416_4865.nii,162692
increment_data,13.32998538017273,21.54483938217163,bigbrain_0_2416_4865.nii,162692
save_incremented,21.545732259750366,75.28067350387573,bigbrain_0_2416_4865.nii,162692
load_img,13.329227685928345,13.331141710281372,bigbrain_0_3020_4865.nii,162845
increment_data,13.331724643707275,21.536022663116455,bigbrain_0_3020_4865.nii,162845
save_incremented,21.536720991134644,71.42931318283081,bigbrain_0_3020_4865.nii,162845
load_img,13.328949928283691,13.33153486251831,bigbrain_0_2416_2780.nii,162935
increment_data,13.332399129867554,21.42338275909424,bigbrain_0_2416_2780.nii,162935
save_incremented,21.424482583999634,88.4623749256134,bigbrain_0_2416_2780.nii,162935
