driver_program,0,5147.088403940201,/home/users/vhayots/spark-1570901293-isilonAD_1it_25cpus_120delay_withpc_em-0,allfiles
load_img,4780.805039167404,4814.108886003494,bigbrain_0_3624_1390.nii,153123
increment_data,4843.202751874924,4844.379552364349,bigbrain_0_3624_1390.nii,153123
save_incremented,4849.223360776901,4900.462026357651,bigbrain_0_3624_1390.nii,153123
load_img,2768.8971779346466,2808.138268470764,bigbrain_0_3020_3475.nii,153105
increment_data,2818.690118074417,2822.064868927002,bigbrain_0_3020_3475.nii,153105
save_incremented,2839.637444257736,2900.314743041992,bigbrain_0_3020_3475.nii,153105
load_img,1403.3687431812286,1412.570609331131,bigbrain_0_3020_3475.nii,153108
increment_data,1439.7422034740448,1446.8736639022827,bigbrain_0_3020_3475.nii,153108
save_incremented,1456.3333611488342,1534.5291996002197,bigbrain_0_3020_3475.nii,153108
load_img,1166.9043526649475,1192.503667831421,bigbrain_0_1208_695.nii,153139
increment_data,1214.7530298233032,1218.314833164215,bigbrain_0_1208_695.nii,153139
save_incremented,1227.4927141666412,1286.676199913025,bigbrain_0_1208_695.nii,153139
load_img,1216.0711290836334,1246.1808931827545,bigbrain_0_1208_4170.nii,153162
increment_data,1268.4572291374207,1276.0370819568634,bigbrain_0_1208_4170.nii,153162
save_incremented,1285.5306928157806,1327.335923910141,bigbrain_0_1208_4170.nii,153162
load_img,3844.5282135009766,3852.0718183517456,bigbrain_0_3020_2780.nii,153131
increment_data,3853.913412809372,3854.4804315567017,bigbrain_0_3020_2780.nii,153131
save_incremented,3883.1993911266327,3975.5132868289948,bigbrain_0_3020_2780.nii,153131
load_img,4594.810005426407,4636.256853103638,bigbrain_0_2416_1390.nii,153090
increment_data,4645.787932634354,4653.823455810547,bigbrain_0_2416_1390.nii,153090
save_incremented,4668.537264347076,4714.865993976593,bigbrain_0_2416_1390.nii,153090
load_img,731.6917819976807,738.9588668346405,bigbrain_0_1208_1390.nii,153105
increment_data,738.9864406585693,739.4660792350769,bigbrain_0_1208_1390.nii,153105
save_incremented,754.1708426475525,831.7542662620544,bigbrain_0_1208_1390.nii,153105
load_img,30.85794496536255,33.97479844093323,bigbrain_0_2416_2780.nii,153127
increment_data,46.850279331207275,50.519474506378174,bigbrain_0_2416_2780.nii,153127
save_incremented,56.56599259376526,92.96502923965454,bigbrain_0_2416_2780.nii,153127
