driver_program,0,4004.1860167980194,/home/users/vhayots/spark-1570906468-isilonAD_1it_96cpus_0delay_npc_em-1,allfiles
load_img,1120.6550664901733,1121.7249491214752,bigbrain_0_1812_2085.nii,154149
increment_data,1234.9898045063019,1236.1638751029968,bigbrain_0_1812_2085.nii,154149
save_incremented,1308.8975415229797,1352.7012691497803,bigbrain_0_1812_2085.nii,154149
load_img,3504.294007062912,3504.2991700172424,bigbrain_0_3624_6255.nii,154195
increment_data,3563.8854825496674,3565.7845010757446,bigbrain_0_3624_6255.nii,154195
save_incremented,3627.821032524109,3739.8801987171173,bigbrain_0_3624_6255.nii,154195
load_img,841.152015209198,841.1565291881561,bigbrain_0_3020_2085.nii,154263
increment_data,923.4879710674286,924.7582905292511,bigbrain_0_3020_2085.nii,154263
save_incremented,1079.793225288391,1159.4934332370758,bigbrain_0_3020_2085.nii,154263
load_img,87.6324417591095,88.80151534080505,bigbrain_0_3020_2780.nii,154320
increment_data,141.36163711547852,142.19877767562866,bigbrain_0_3020_2780.nii,154320
save_incremented,253.8196246623993,308.37822675704956,bigbrain_0_3020_2780.nii,154320
load_img,3272.4443759918213,3273.0370695590973,bigbrain_0_2416_5560.nii,154011
increment_data,3380.628436088562,3381.7999460697174,bigbrain_0_2416_5560.nii,154011
save_incremented,3477.744496822357,3545.2069618701935,bigbrain_0_2416_5560.nii,154011
load_img,2162.015112400055,2162.0217134952545,bigbrain_0_3020_695.nii,154374
increment_data,2281.475839614868,2289.3312001228333,bigbrain_0_3020_695.nii,154374
save_incremented,2397.618017911911,2445.9795434474945,bigbrain_0_3020_695.nii,154374
load_img,1080.5548357963562,1080.5590949058533,bigbrain_0_1812_2085.nii,154045
increment_data,1209.7607090473175,1211.6314318180084,bigbrain_0_1812_2085.nii,154045
save_incremented,1280.2987277507782,1355.0324506759644,bigbrain_0_1812_2085.nii,154045
load_img,3868.2110772132874,3869.285785675049,bigbrain_0_1812_6255.nii,154407
increment_data,3869.7399117946625,3870.5429406166077,bigbrain_0_1812_6255.nii,154407
save_incremented,3870.916233778,3888.8088607788086,bigbrain_0_1812_6255.nii,154407
load_img,436.3939998149872,436.3989782333374,bigbrain_0_4228_695.nii,154209
increment_data,502.6758894920349,504.3355300426483,bigbrain_0_4228_695.nii,154209
save_incremented,582.2362217903137,717.6674265861511,bigbrain_0_4228_695.nii,154209
load_img,54.108001470565796,54.84948396682739,bigbrain_0_3624_695.nii,154099
increment_data,89.89747977256775,92.04394054412842,bigbrain_0_3624_695.nii,154099
save_incremented,154.45940494537354,261.6410994529724,bigbrain_0_3624_695.nii,154099
load_img,2632.196167230606,2651.1276450157166,bigbrain_0_1812_0.nii,154156
increment_data,2750.989770412445,2752.65122795105,bigbrain_0_1812_0.nii,154156
save_incremented,2836.3858745098114,2895.192117214203,bigbrain_0_1812_0.nii,154156
load_img,3922.361107826233,3923.073545694351,bigbrain_0_3020_5560.nii,154045
increment_data,3927.804938554764,3928.2293434143066,bigbrain_0_3020_5560.nii,154045
