driver_program,0,74.75419235229492,/dev/shm/val/spark-1570987091-tmpfs_1it_96cpus_0delay_npc_em-0,allfiles
load_img,73.77207040786743,73.77292728424072,bigbrain_0_3020_4865.nii,118736
increment_data,73.7730815410614,74.16624760627747,bigbrain_0_3020_4865.nii,118736
save_incremented,74.16639065742493,74.71602129936218,bigbrain_0_3020_4865.nii,118736
load_img,72.80869388580322,72.80954551696777,bigbrain_0_1208_4865.nii,118736
increment_data,72.80970406532288,73.20625734329224,bigbrain_0_1208_4865.nii,118736
save_incremented,73.2064003944397,73.76955080032349,bigbrain_0_1208_4865.nii,118736
load_img,71.83172154426575,71.83265399932861,bigbrain_0_0_2780.nii,118736
increment_data,71.83281922340393,72.24315071105957,bigbrain_0_0_2780.nii,118736
save_incremented,72.24329733848572,72.80628252029419,bigbrain_0_0_2780.nii,118736
load_img,70.85457634925842,70.85544323921204,bigbrain_0_3020_3475.nii,118736
increment_data,70.85559821128845,71.26280546188354,bigbrain_0_3020_3475.nii,118736
save_incremented,71.26294207572937,71.82928013801575,bigbrain_0_3020_3475.nii,118736
load_img,69.8277690410614,69.82873439788818,bigbrain_0_1208_6255.nii,118736
increment_data,69.82900786399841,70.26926016807556,bigbrain_0_1208_6255.nii,118736
save_incremented,70.26940369606018,70.85200428962708,bigbrain_0_1208_6255.nii,118736
load_img,68.86555194854736,68.86669373512268,bigbrain_0_3020_2780.nii,118964
increment_data,68.86690974235535,69.30407166481018,bigbrain_0_3020_2780.nii,118964
save_incremented,69.30424547195435,70.60551285743713,bigbrain_0_3020_2780.nii,118964
load_img,68.80089545249939,68.80182552337646,bigbrain_0_4228_5560.nii,118736
increment_data,68.80199575424194,69.23944425582886,bigbrain_0_4228_5560.nii,118736
save_incremented,69.23962879180908,69.8251588344574,bigbrain_0_4228_5560.nii,118736
load_img,68.75964403152466,68.76069116592407,bigbrain_0_3020_2780.nii,118685
increment_data,68.7608904838562,69.20165371894836,bigbrain_0_3020_2780.nii,118685
save_incremented,69.20181274414062,70.6202609539032,bigbrain_0_3020_2780.nii,118685
load_img,68.621572971344,68.62253069877625,bigbrain_0_3020_2780.nii,118865
increment_data,68.622713804245,69.03920483589172,bigbrain_0_3020_2780.nii,118865
save_incremented,69.03934502601624,70.01582336425781,bigbrain_0_3020_2780.nii,118865
load_img,68.25961494445801,68.26051163673401,bigbrain_0_3020_2780.nii,118959
increment_data,68.26067543029785,68.67462706565857,bigbrain_0_3020_2780.nii,118959
save_incremented,68.67477321624756,69.88963222503662,bigbrain_0_3020_2780.nii,118959
load_img,68.12949013710022,68.13058853149414,bigbrain_0_3020_2780.nii,118984
increment_data,68.1308069229126,68.57487463951111,bigbrain_0_3020_2780.nii,118984
save_incremented,68.57505249977112,70.22084188461304,bigbrain_0_3020_2780.nii,118984
load_img,68.00634145736694,68.00844025611877,bigbrain_0_3020_2780.nii,118742
increment_data,68.00866961479187,68.44945788383484,bigbrain_0_3020_2780.nii,118742
save_incremented,68.44964694976807,69.62193942070007,bigbrain_0_3020_2780.nii,118742
load_img,67.76441788673401,67.76529693603516,bigbrain_0_2416_1390.nii,118736
increment_data,67.76546359062195,68.20276713371277,bigbrain_0_2416_1390.nii,118736
save_incremented,68.20291376113892,68.79824352264404,bigbrain_0_2416_1390.nii,118736
load_img,67.06481432914734,67.06601619720459,bigbrain_0_0_0.nii,118964
increment_data,67.06626749038696,67.52214479446411,bigbrain_0_0_0.nii,118964
save_incremented,67.52233839035034,68.8628351688385,bigbrain_0_0_0.nii,118964
load_img,66.89961767196655,66.90306949615479,bigbrain_0_0_0.nii,118685
increment_data,66.90386390686035,67.36607575416565,bigbrain_0_0_0.nii,118685
save_incremented,67.36626172065735,68.75687861442566,bigbrain_0_0_0.nii,118685
load_img,66.89034175872803,66.89150500297546,bigbrain_0_3020_2780.nii,119017
increment_data,66.89173865318298,67.34797620773315,bigbrain_0_3020_2780.nii,119017
save_incremented,67.34812235832214,67.90880513191223,bigbrain_0_3020_2780.nii,119017
load_img,66.76002931594849,66.76104831695557,bigbrain_0_4228_6255.nii,118887
increment_data,66.76126170158386,67.21507525444031,bigbrain_0_4228_6255.nii,118887
save_incremented,67.21522402763367,67.82135367393494,bigbrain_0_4228_6255.nii,118887
load_img,66.6497151851654,66.65076422691345,bigbrain_0_0_4170.nii,118736
increment_data,66.65096998214722,67.14408016204834,bigbrain_0_0_4170.nii,118736
save_incremented,67.14422631263733,67.76166343688965,bigbrain_0_0_4170.nii,118736
load_img,66.48736071586609,66.48843169212341,bigbrain_0_0_0.nii,118865
increment_data,66.48865175247192,66.96802067756653,bigbrain_0_0_0.nii,118865
save_incremented,66.96818923950195,68.61867213249207,bigbrain_0_0_0.nii,118865
load_img,66.48451018333435,66.48637509346008,bigbrain_0_0_0.nii,118984
increment_data,66.48678946495056,66.96743559837341,bigbrain_0_0_0.nii,118984
save_incremented,66.9676411151886,68.12670540809631,bigbrain_0_0_0.nii,118984
load_img,66.23194527626038,66.23318862915039,bigbrain_0_0_0.nii,118742
increment_data,66.23341751098633,66.69982624053955,bigbrain_0_0_0.nii,118742
save_incremented,66.70003294944763,68.00354671478271,bigbrain_0_0_0.nii,118742
load_img,66.04530191421509,66.04722237586975,bigbrain_0_0_0.nii,118959
increment_data,66.047447681427,66.49883508682251,bigbrain_0_0_0.nii,118959
save_incremented,66.49900197982788,68.25681114196777,bigbrain_0_0_0.nii,118959
load_img,65.57280802726746,65.57393074035645,bigbrain_0_3624_4865.nii,118887
increment_data,65.57415103912354,66.08323645591736,bigbrain_0_3624_4865.nii,118887
save_incremented,66.08339023590088,66.75673198699951,bigbrain_0_3624_4865.nii,118887
load_img,65.54250621795654,65.54377841949463,bigbrain_0_0_0.nii,119017
increment_data,65.54401087760925,66.05264806747437,bigbrain_0_0_0.nii,119017
save_incremented,66.0527868270874,66.88691759109497,bigbrain_0_0_0.nii,119017
load_img,65.44369101524353,65.44491863250732,bigbrain_0_2416_3475.nii,118736
increment_data,65.44520354270935,65.98546719551086,bigbrain_0_2416_3475.nii,118736
save_incremented,65.98565196990967,66.64634418487549,bigbrain_0_2416_3475.nii,118736
load_img,65.38912987709045,65.39058136940002,bigbrain_0_4228_4865.nii,118808
increment_data,65.39086651802063,65.97369647026062,bigbrain_0_4228_4865.nii,118808
save_incremented,65.97393107414246,67.34111452102661,bigbrain_0_4228_4865.nii,118808
load_img,65.18652200698853,65.18796062469482,bigbrain_0_4228_4865.nii,118932
increment_data,65.1882221698761,65.71508741378784,bigbrain_0_4228_4865.nii,118932
save_incremented,65.71528577804565,67.38896036148071,bigbrain_0_4228_4865.nii,118932
load_img,65.11955904960632,65.12080383300781,bigbrain_0_4228_4865.nii,118830
increment_data,65.12104058265686,65.63701581954956,bigbrain_0_4228_4865.nii,118830
save_incremented,65.63733196258545,67.4232530593872,bigbrain_0_4228_4865.nii,118830
load_img,65.06245684623718,65.06407284736633,bigbrain_0_4228_4865.nii,118655
increment_data,65.06435179710388,65.59366178512573,bigbrain_0_4228_4865.nii,118655
save_incremented,65.59384226799011,67.07439303398132,bigbrain_0_4228_4865.nii,118655
load_img,64.85761904716492,64.85870695114136,bigbrain_0_3020_2780.nii,118914
increment_data,64.85893678665161,65.3445692062378,bigbrain_0_3020_2780.nii,118914
