driver_program,0,9086.626090765,/home/users/vhayots/spark-1571375120-isilon_1it_25cpus_60sdelay_withpc-0,allfiles
load_img,5489.220841407776,5496.537386417389,bigbrain_6160_3020_3475.nii,132255
increment_data,5541.3220019340515,5611.025001049042,bigbrain_6160_3020_3475.nii,132255
save_incremented,5620.210486412048,5672.109673976898,bigbrain_6160_3020_3475.nii,132255
load_img,3554.7724816799164,3555.0633647441864,bigbrain_5390_1208_0.nii,132309
increment_data,3577.894144296646,3633.419093608856,bigbrain_5390_1208_0.nii,132309
save_incremented,3648.2530376911163,3735.1453652381897,bigbrain_5390_1208_0.nii,132309
load_img,5148.027037620544,5152.379770278931,bigbrain_6160_4832_0.nii,132293
increment_data,5196.502447605133,5250.2480301856995,bigbrain_6160_4832_0.nii,132293
save_incremented,5259.461732625961,5355.90761756897,bigbrain_6160_4832_0.nii,132293
load_img,5047.395400047302,5047.645334005356,bigbrain_770_3624_1390.nii,132334
increment_data,5047.6828026771545,5121.5005695819855,bigbrain_770_3624_1390.nii,132334
save_incremented,5123.56100487709,5147.983122587204,bigbrain_770_3624_1390.nii,132334
load_img,3776.8276126384735,3785.6354660987854,bigbrain_2310_3020_5560.nii,132293
increment_data,3841.9180183410645,3884.570470571518,bigbrain_2310_3020_5560.nii,132293
save_incremented,3895.7717769145966,3996.987284183502,bigbrain_2310_3020_5560.nii,132293
load_img,2869.849239587784,2876.7568130493164,bigbrain_2310_604_2085.nii,132317
increment_data,2978.373654127121,2991.67848944664,bigbrain_2310_604_2085.nii,132317
save_incremented,2993.076491355896,3084.3556439876556,bigbrain_2310_604_2085.nii,132317
load_img,1496.9378099441528,1504.6984841823578,bigbrain_6930_1812_3475.nii,132339
increment_data,1531.8747918605804,1601.4852044582367,bigbrain_6930_1812_3475.nii,132339
save_incremented,1612.4325699806213,1679.38969039917,bigbrain_6930_1812_3475.nii,132339
load_img,1975.3305759429932,1985.7471170425415,bigbrain_2310_1812_1390.nii,132269
increment_data,1986.478035211563,2082.5599575042725,bigbrain_2310_1812_1390.nii,132269
save_incremented,2083.269264936447,2179.7461137771606,bigbrain_2310_1812_1390.nii,132269
load_img,4254.453463554382,4264.1319189071655,bigbrain_0_2416_0.nii,132260
increment_data,4312.473415613174,4372.864370584488,bigbrain_0_2416_0.nii,132260
save_incremented,4384.270766019821,4450.024548768997,bigbrain_0_2416_0.nii,132260
load_img,8019.971827507019,8020.2944169044495,bigbrain_3850_3020_6255.nii,132301
increment_data,8055.4697642326355,8128.763151884079,bigbrain_3850_3020_6255.nii,132301
save_incremented,8128.8645079135895,8229.08320236206,bigbrain_3850_3020_6255.nii,132301
load_img,6488.210372209549,6505.948387861252,bigbrain_4620_0_695.nii,132254
increment_data,6624.850591659546,6644.025445461273,bigbrain_4620_0_695.nii,132254
save_incremented,6646.110273361206,6736.7141790390015,bigbrain_4620_0_695.nii,132254
load_img,3098.5037019252777,3112.624740123749,bigbrain_4620_2416_4170.nii,132293
increment_data,3133.017386674881,3219.653226852417,bigbrain_4620_2416_4170.nii,132293
save_incremented,3230.1782927513123,3326.5409684181213,bigbrain_4620_2416_4170.nii,132293
load_img,1198.9497623443604,1199.8054456710815,bigbrain_3850_3020_2085.nii,132329
increment_data,1229.5963492393494,1289.0580024719238,bigbrain_3850_3020_2085.nii,132329
save_incremented,1289.1264646053314,1376.0896604061127,bigbrain_3850_3020_2085.nii,132329
load_img,6227.741334676743,6239.323144435883,bigbrain_1540_4228_695.nii,132301
increment_data,6333.309668064117,6366.7365045547485,bigbrain_1540_4228_695.nii,132301
save_incremented,6372.464974164963,6457.655563831329,bigbrain_1540_4228_695.nii,132301
load_img,7004.854627132416,7025.20055270195,bigbrain_5390_3624_0.nii,132321
increment_data,7086.465995550156,7146.945794582367,bigbrain_5390_3624_0.nii,132321
save_incremented,7161.522522449493,7245.745463609695,bigbrain_5390_3624_0.nii,132321
load_img,1854.6946346759796,1868.0503435134888,bigbrain_4620_604_2085.nii,132272
increment_data,1954.2261445522308,1985.5470130443573,bigbrain_4620_604_2085.nii,132272
save_incremented,1985.7442717552185,2080.157476902008,bigbrain_4620_604_2085.nii,132272
load_img,273.39691519737244,280.36535120010376,bigbrain_3080_1208_695.nii,132329
increment_data,374.90792655944824,393.0799422264099,bigbrain_3080_1208_695.nii,132329
save_incremented,394.8245611190796,482.5816776752472,bigbrain_3080_1208_695.nii,132329
