driver_program,0,8666.061067342758,/home/users/vhayots/spark-1570946910-isilon_1it_25cpus_60sdelay_withpc-0,allfiles
load_img,6406.874598264694,6409.881057977676,bigbrain_4620_3020_4865.nii,110888
increment_data,6433.8325045108795,6508.40180850029,bigbrain_4620_3020_4865.nii,110888
save_incremented,6508.484518766403,6602.652467727661,bigbrain_4620_3020_4865.nii,110888
load_img,6709.931725263596,6723.413626670837,bigbrain_6160_1812_3475.nii,110844
increment_data,6781.553163051605,6835.967431545258,bigbrain_6160_1812_3475.nii,110844
save_incremented,6844.968072414398,6934.238130807877,bigbrain_6160_1812_3475.nii,110844
load_img,4419.505302906036,4440.489089012146,bigbrain_770_1812_4865.nii,110872
increment_data,4493.4506483078,4508.5035841465,bigbrain_770_1812_4865.nii,110872
save_incremented,4509.536196231842,4601.689695119858,bigbrain_770_1812_4865.nii,110872
load_img,7963.413240909576,7963.677175521851,bigbrain_3080_4832_4865.nii,110909
increment_data,7998.720064163208,8064.201900243759,bigbrain_3080_4832_4865.nii,110909
save_incremented,8064.3395619392395,8158.787579774857,bigbrain_3080_4832_4865.nii,110909
load_img,6609.5093376636505,6614.530949354172,bigbrain_5390_4228_2085.nii,110847
increment_data,6685.690100431442,6717.8089253902435,bigbrain_5390_4228_2085.nii,110847
save_incremented,6722.931030511856,6826.744238138199,bigbrain_5390_4228_2085.nii,110847
load_img,4044.196189403534,4056.088654279709,bigbrain_3850_0_5560.nii,110829
increment_data,4059.2225399017334,4160.139941930771,bigbrain_3850_0_5560.nii,110829
save_incremented,4161.273025751114,4249.6523978710175,bigbrain_3850_0_5560.nii,110829
load_img,1260.1251595020294,1272.6502079963684,bigbrain_3080_2416_5560.nii,110835
increment_data,1320.5370528697968,1377.076621055603,bigbrain_3080_2416_5560.nii,110835
save_incremented,1387.8139832019806,1481.2987296581268,bigbrain_3080_2416_5560.nii,110835
load_img,6275.061786413193,6290.48926949501,bigbrain_770_1208_1390.nii,110876
increment_data,6355.04890537262,6407.54127073288,bigbrain_770_1208_1390.nii,110876
save_incremented,6409.861110925674,6499.327060222626,bigbrain_770_1208_1390.nii,110876
load_img,8501.725404024124,8501.89592909813,bigbrain_770_2416_695.nii,110850
increment_data,8505.657163381577,8552.83498430252,bigbrain_770_2416_695.nii,110850
save_incremented,8554.29130911827,8615.479239702225,bigbrain_770_2416_695.nii,110850
load_img,2597.707696914673,2600.9548013210297,bigbrain_2310_3624_695.nii,110844
increment_data,2650.3495347499847,2709.4426696300507,bigbrain_2310_3624_695.nii,110844
save_incremented,2728.5845878124237,2801.5154926776886,bigbrain_2310_3624_695.nii,110844
load_img,8064.210627555847,8064.478426933289,bigbrain_1540_3020_6255.nii,110880
increment_data,8064.520702123642,8153.583941698074,bigbrain_1540_3020_6255.nii,110880
save_incremented,8162.156369447708,8202.95057439804,bigbrain_1540_3020_6255.nii,110880
