driver_program,0,61.78658485412598,/dev/shm/val/spark-1570914736-tmpfsAD_1it_25cpus_120delay_withpc_em-1,allfiles
load_img,60.460901498794556,60.461899280548096,bigbrain_0_3020_4865.nii,157572
increment_data,60.46210289001465,60.853639364242554,bigbrain_0_3020_4865.nii,157572
save_incremented,60.85378575325012,61.745412826538086,bigbrain_0_3020_4865.nii,157572
load_img,60.19266128540039,60.19359087944031,bigbrain_0_3020_4865.nii,157589
increment_data,60.19377398490906,60.621803522109985,bigbrain_0_3020_4865.nii,157589
save_incremented,60.62196326255798,61.27274179458618,bigbrain_0_3020_4865.nii,157589
load_img,60.192594051361084,60.19352340698242,bigbrain_0_3020_4865.nii,157564
increment_data,60.19371771812439,60.62216329574585,bigbrain_0_3020_4865.nii,157564
save_incremented,60.62230658531189,61.272414684295654,bigbrain_0_3020_4865.nii,157564
load_img,60.13416790962219,60.13509488105774,bigbrain_0_2416_4865.nii,157529
increment_data,60.135279417037964,60.532485246658325,bigbrain_0_2416_4865.nii,157529
save_incremented,60.532623052597046,61.23347473144531,bigbrain_0_2416_4865.nii,157529
load_img,60.09614443778992,60.09700083732605,bigbrain_0_2416_4865.nii,157556
increment_data,60.097168922424316,60.47190761566162,bigbrain_0_2416_4865.nii,157556
save_incremented,60.47238230705261,61.21374297142029,bigbrain_0_2416_4865.nii,157556
load_img,60.04829955101013,60.04935383796692,bigbrain_0_2416_4865.nii,157582
increment_data,60.04954957962036,60.42261743545532,bigbrain_0_2416_4865.nii,157582
save_incremented,60.422770261764526,61.394723892211914,bigbrain_0_2416_4865.nii,157582
load_img,60.02763509750366,60.028544902801514,bigbrain_0_4228_6255.nii,157520
increment_data,60.0287184715271,60.46825838088989,bigbrain_0_4228_6255.nii,157520
save_incremented,60.4684042930603,61.19858145713806,bigbrain_0_4228_6255.nii,157520
load_img,60.027769565582275,60.02855205535889,bigbrain_0_4228_6255.nii,157523
increment_data,60.02870535850525,60.46924138069153,bigbrain_0_4228_6255.nii,157523
save_incremented,60.469348430633545,61.21225142478943,bigbrain_0_4228_6255.nii,157523
load_img,59.7346625328064,59.73556208610535,bigbrain_0_4228_6255.nii,157552
increment_data,59.735729455947876,60.09572505950928,bigbrain_0_4228_6255.nii,157552
save_incremented,60.095834493637085,60.84749102592468,bigbrain_0_4228_6255.nii,157552
load_img,59.331342697143555,59.33231806755066,bigbrain_0_1208_4865.nii,157572
increment_data,59.332515239715576,59.72285532951355,bigbrain_0_1208_4865.nii,157572
save_incremented,59.72301888465881,60.458086013793945,bigbrain_0_1208_4865.nii,157572
load_img,58.96304106712341,58.964107275009155,bigbrain_0_3624_4865.nii,157523
increment_data,58.96431016921997,59.36057996749878,bigbrain_0_3624_4865.nii,157523
save_incremented,59.360711336135864,60.025015354156494,bigbrain_0_3624_4865.nii,157523
load_img,58.935542583465576,58.93649458885193,bigbrain_0_3624_4865.nii,157520
increment_data,58.93668460845947,59.33648657798767,bigbrain_0_3624_4865.nii,157520
save_incremented,59.33660674095154,60.02479887008667,bigbrain_0_3624_4865.nii,157520
load_img,58.91023588180542,58.91114068031311,bigbrain_0_1208_4865.nii,157589
increment_data,58.911317348480225,59.34605956077576,bigbrain_0_1208_4865.nii,157589
save_incremented,59.346203327178955,60.189908266067505,bigbrain_0_1208_4865.nii,157589
load_img,58.90928363800049,58.91024994850159,bigbrain_0_1208_4865.nii,157564
increment_data,58.91044735908508,59.346351146698,bigbrain_0_1208_4865.nii,157564
save_incremented,59.34648060798645,60.189520835876465,bigbrain_0_1208_4865.nii,157564
load_img,58.779757499694824,58.78068161010742,bigbrain_0_0_6255.nii,157556
increment_data,58.780853271484375,59.18124079704285,bigbrain_0_0_6255.nii,157556
save_incremented,59.18138551712036,60.0930712223053,bigbrain_0_0_6255.nii,157556
load_img,58.77984547615051,58.78068518638611,bigbrain_0_0_6255.nii,157582
increment_data,58.78085494041443,59.18249750137329,bigbrain_0_0_6255.nii,157582
save_incremented,59.18270659446716,60.04530882835388,bigbrain_0_0_6255.nii,157582
load_img,58.7790253162384,58.78002166748047,bigbrain_0_0_6255.nii,157529
increment_data,58.78019857406616,59.17797303199768,bigbrain_0_0_6255.nii,157529
save_incremented,59.17811679840088,60.13149952888489,bigbrain_0_0_6255.nii,157529
load_img,58.58814549446106,58.589069843292236,bigbrain_0_3624_4865.nii,157552
increment_data,58.58923530578613,58.955995321273804,bigbrain_0_3624_4865.nii,157552
save_incremented,58.956172466278076,59.731372594833374,bigbrain_0_3624_4865.nii,157552
load_img,57.92942953109741,57.93047523498535,bigbrain_0_0_2780.nii,157572
increment_data,57.93069052696228,58.32774209976196,bigbrain_0_0_2780.nii,157572
save_incremented,58.32788968086243,59.32847738265991,bigbrain_0_0_2780.nii,157572
load_img,57.77195191383362,57.773106813430786,bigbrain_0_4228_2780.nii,157523
increment_data,57.77333927154541,58.15041470527649,bigbrain_0_4228_2780.nii,157523
save_incremented,58.15058374404907,58.958805084228516,bigbrain_0_4228_2780.nii,157523
load_img,57.75786256790161,57.759023666381836,bigbrain_0_0_2780.nii,157589
increment_data,57.759243965148926,58.162450551986694,bigbrain_0_0_2780.nii,157589
save_incremented,58.16259217262268,58.90748858451843,bigbrain_0_0_2780.nii,157589
load_img,57.74570941925049,57.74668574333191,bigbrain_0_0_2780.nii,157564
increment_data,57.74688243865967,58.12390923500061,bigbrain_0_0_2780.nii,157564
save_incremented,58.12406587600708,58.90615725517273,bigbrain_0_0_2780.nii,157564
load_img,57.64942240715027,57.650436878204346,bigbrain_0_4228_2780.nii,157520
increment_data,57.650639295578,58.05859637260437,bigbrain_0_4228_2780.nii,157520
save_incremented,58.05873990058899,58.93290400505066,bigbrain_0_4228_2780.nii,157520
load_img,57.53610610961914,57.536925077438354,bigbrain_0_3624_695.nii,157508
increment_data,57.53707838058472,58.006840229034424,bigbrain_0_3624_695.nii,157508
save_incremented,58.00694012641907,58.71933603286743,bigbrain_0_3624_695.nii,157508
load_img,57.536001682281494,57.536842346191406,bigbrain_0_3624_695.nii,157535
increment_data,57.536999225616455,58.00634050369263,bigbrain_0_3624_695.nii,157535
save_incremented,58.00648236274719,58.72177481651306,bigbrain_0_3624_695.nii,157535
load_img,57.535849809646606,57.536776065826416,bigbrain_0_3624_695.nii,157541
increment_data,57.53695321083069,58.00634050369263,bigbrain_0_3624_695.nii,157541
save_incremented,58.00648021697998,58.72270393371582,bigbrain_0_3624_695.nii,157541
load_img,57.51716184616089,57.5234477519989,bigbrain_0_1812_4865.nii,157582
increment_data,57.5244460105896,57.90612268447876,bigbrain_0_1812_4865.nii,157582
save_incremented,57.90630769729614,58.77674317359924,bigbrain_0_1812_4865.nii,157582
load_img,57.36657500267029,57.36749529838562,bigbrain_0_1812_4865.nii,157556
increment_data,57.36766862869263,57.799619913101196,bigbrain_0_1812_4865.nii,157556
save_incremented,57.79976224899292,58.77651071548462,bigbrain_0_1812_4865.nii,157556
load_img,57.366076946258545,57.36703038215637,bigbrain_0_1812_4865.nii,157529
increment_data,57.36720609664917,57.79908037185669,bigbrain_0_1812_4865.nii,157529
save_incremented,57.79922962188721,58.77621150016785,bigbrain_0_1812_4865.nii,157529
load_img,57.32153511047363,57.3224515914917,bigbrain_0_4228_2780.nii,157552
increment_data,57.32261943817139,57.693445682525635,bigbrain_0_4228_2780.nii,157552
save_incremented,57.69359755516052,58.58517789840698,bigbrain_0_4228_2780.nii,157552
load_img,56.63223147392273,56.63337254524231,bigbrain_0_4228_2085.nii,157523
increment_data,56.63359022140503,57.010308027267456,bigbrain_0_4228_2085.nii,157523
save_incremented,57.01049041748047,57.76878905296326,bigbrain_0_4228_2085.nii,157523
load_img,56.42927837371826,56.430304527282715,bigbrain_0_3020_3475.nii,157572
increment_data,56.43051195144653,56.84461069107056,bigbrain_0_3020_3475.nii,157572
save_incremented,56.84471392631531,57.92660140991211,bigbrain_0_3020_3475.nii,157572
load_img,56.41881322860718,56.41976857185364,bigbrain_0_3020_3475.nii,157564
increment_data,56.41995549201965,56.84617304801941,bigbrain_0_3020_3475.nii,157564
save_incremented,56.84630632400513,57.74246382713318,bigbrain_0_3020_3475.nii,157564
load_img,56.41786074638367,56.41881465911865,bigbrain_0_3020_3475.nii,157589
increment_data,56.41903495788574,56.844552993774414,bigbrain_0_3020_3475.nii,157589
save_incremented,56.84466052055359,57.75500273704529,bigbrain_0_3020_3475.nii,157589
load_img,56.41434168815613,56.41534113883972,bigbrain_0_4228_2085.nii,157520
increment_data,56.41551971435547,56.83183526992798,bigbrain_0_4228_2085.nii,157520
save_incremented,56.83193397521973,57.64657163619995,bigbrain_0_4228_2085.nii,157520
load_img,56.362478256225586,56.363293409347534,bigbrain_0_4228_695.nii,157508
increment_data,56.36343693733215,56.83032536506653,bigbrain_0_4228_695.nii,157508
save_incremented,56.83046221733093,57.533204078674316,bigbrain_0_4228_695.nii,157508
load_img,56.36087679862976,56.36170744895935,bigbrain_0_4228_695.nii,157535
increment_data,56.361851930618286,56.83032584190369,bigbrain_0_4228_695.nii,157535
save_incremented,56.83046293258667,57.53301382064819,bigbrain_0_4228_695.nii,157535
load_img,56.36065435409546,56.361576318740845,bigbrain_0_4228_695.nii,157541
increment_data,56.361743450164795,56.830769777297974,bigbrain_0_4228_695.nii,157541
save_incremented,56.83087158203125,57.53282427787781,bigbrain_0_4228_695.nii,157541
load_img,56.316526651382446,56.31767725944519,bigbrain_0_4228_1390.nii,157582
increment_data,56.31789970397949,56.69528579711914,bigbrain_0_4228_1390.nii,157582
save_incremented,56.6954882144928,57.512836933135986,bigbrain_0_4228_1390.nii,157582
load_img,56.12228846549988,56.123138427734375,bigbrain_0_4228_2085.nii,157552
increment_data,56.12330365180969,56.4938747882843,bigbrain_0_4228_2085.nii,157552
save_incremented,56.49404001235962,57.31856417655945,bigbrain_0_4228_2085.nii,157552
load_img,56.11862254142761,56.11963868141174,bigbrain_0_4228_1390.nii,157529
increment_data,56.119823694229126,56.5088894367218,bigbrain_0_4228_1390.nii,157529
save_incremented,56.50904893875122,57.3625590801239,bigbrain_0_4228_1390.nii,157529
load_img,56.11010670661926,56.11103653907776,bigbrain_0_4228_1390.nii,157556
increment_data,56.111210107803345,56.485689878463745,bigbrain_0_4228_1390.nii,157556
save_incremented,56.485846757888794,57.36341094970703,bigbrain_0_4228_1390.nii,157556
load_img,55.3963189125061,55.39729309082031,bigbrain_0_1812_2780.nii,157523
increment_data,55.3974974155426,55.80477738380432,bigbrain_0_1812_2780.nii,157523
save_incremented,55.804922580718994,56.628681659698486,bigbrain_0_1812_2780.nii,157523
load_img,55.31637358665466,55.31722164154053,bigbrain_0_1812_2780.nii,157520
increment_data,55.31737399101257,55.73079800605774,bigbrain_0_1812_2780.nii,157520
save_incremented,55.73093509674072,56.411460399627686,bigbrain_0_1812_2780.nii,157520
load_img,55.315797328948975,55.31678509712219,bigbrain_0_1208_6255.nii,157572
increment_data,55.31698536872864,55.73083138465881,bigbrain_0_1208_6255.nii,157572
save_incremented,55.730947971343994,56.426462173461914,bigbrain_0_1208_6255.nii,157572
load_img,55.21037554740906,55.21134567260742,bigbrain_0_1208_6255.nii,157564
increment_data,55.21155047416687,55.623316049575806,bigbrain_0_1208_6255.nii,157564
save_incremented,55.623464584350586,56.4156813621521,bigbrain_0_1208_6255.nii,157564
load_img,55.207327365875244,55.20827579498291,bigbrain_0_1208_6255.nii,157589
increment_data,55.20847129821777,55.63685345649719,bigbrain_0_1208_6255.nii,157589
save_incremented,55.63700032234192,56.415013551712036,bigbrain_0_1208_6255.nii,157589
load_img,55.16882109642029,55.16962552070618,bigbrain_0_3020_2085.nii,157535
increment_data,55.16976189613342,55.643460273742676,bigbrain_0_3020_2085.nii,157535
save_incremented,55.64357376098633,56.357844829559326,bigbrain_0_3020_2085.nii,157535
load_img,55.16860842704773,55.16943669319153,bigbrain_0_3020_2085.nii,157508
increment_data,55.16958498954773,55.64345049858093,bigbrain_0_3020_2085.nii,157508
save_incremented,55.643572092056274,56.35956263542175,bigbrain_0_3020_2085.nii,157508
load_img,55.16848826408386,55.1694073677063,bigbrain_0_3020_2085.nii,157541
increment_data,55.169577836990356,55.64411497116089,bigbrain_0_3020_2085.nii,157541
save_incremented,55.64421892166138,56.3576443195343,bigbrain_0_3020_2085.nii,157541
load_img,55.114768505096436,55.11634373664856,bigbrain_0_0_2085.nii,157582
increment_data,55.11664414405823,55.493826150894165,bigbrain_0_0_2085.nii,157582
save_incremented,55.49400281906128,56.31338953971863,bigbrain_0_0_2085.nii,157582
load_img,55.017857789993286,55.01884198188782,bigbrain_0_1812_2780.nii,157552
increment_data,55.01904058456421,55.39218878746033,bigbrain_0_1812_2780.nii,157552
save_incremented,55.39234781265259,56.11939072608948,bigbrain_0_1812_2780.nii,157552
load_img,54.89682483673096,54.897913217544556,bigbrain_0_0_2085.nii,157529
increment_data,54.898128509521484,55.260924100875854,bigbrain_0_0_2085.nii,157529
save_incremented,55.26110768318176,56.115686655044556,bigbrain_0_0_2085.nii,157529
load_img,54.80900835990906,54.80994248390198,bigbrain_0_0_2085.nii,157556
increment_data,54.810121297836304,55.17055058479309,bigbrain_0_0_2085.nii,157556
save_incremented,55.17068314552307,56.10713529586792,bigbrain_0_0_2085.nii,157556
load_img,54.29555630683899,54.29657983779907,bigbrain_0_3020_695.nii,157523
increment_data,54.296791553497314,54.70707559585571,bigbrain_0_3020_695.nii,157523
save_incremented,54.70722436904907,55.39343571662903,bigbrain_0_3020_695.nii,157523
load_img,54.07172179222107,54.07276272773743,bigbrain_0_4228_5560.nii,157572
increment_data,54.0729820728302,54.49291229248047,bigbrain_0_4228_5560.nii,157572
save_incremented,54.49305057525635,55.312737703323364,bigbrain_0_4228_5560.nii,157572
load_img,54.04661512374878,54.04763388633728,bigbrain_0_4228_5560.nii,157589
increment_data,54.04785370826721,54.463449001312256,bigbrain_0_4228_5560.nii,157589
save_incremented,54.463587522506714,55.20442819595337,bigbrain_0_4228_5560.nii,157589
load_img,54.04028940200806,54.041316986083984,bigbrain_0_4228_5560.nii,157564
increment_data,54.04152464866638,54.4322555065155,bigbrain_0_4228_5560.nii,157564
save_incremented,54.432413816452026,55.207072257995605,bigbrain_0_4228_5560.nii,157564
load_img,53.94878673553467,53.94963192939758,bigbrain_0_1812_2085.nii,157535
increment_data,53.94978451728821,54.432294845581055,bigbrain_0_1812_2085.nii,157535
save_incremented,54.43243336677551,55.16579604148865,bigbrain_0_1812_2085.nii,157535
load_img,53.94816994667053,53.94902801513672,bigbrain_0_1812_2085.nii,157508
increment_data,53.94917821884155,54.432294607162476,bigbrain_0_1812_2085.nii,157508
save_incremented,54.43243336677551,55.165613412857056,bigbrain_0_1812_2085.nii,157508
load_img,53.948026180267334,53.94895601272583,bigbrain_0_1812_2085.nii,157541
increment_data,53.94914531707764,54.43284201622009,bigbrain_0_1812_2085.nii,157541
save_incremented,54.43295359611511,55.165409326553345,bigbrain_0_1812_2085.nii,157541
load_img,53.91973662376404,53.92221736907959,bigbrain_0_3020_695.nii,157520
increment_data,53.92279076576233,54.34343957901001,bigbrain_0_3020_695.nii,157520
save_incremented,54.34358739852905,55.31334567070007,bigbrain_0_3020_695.nii,157520
load_img,53.89203357696533,53.893226861953735,bigbrain_0_2416_6255.nii,157582
increment_data,53.89346694946289,54.2899272441864,bigbrain_0_2416_6255.nii,157582
save_incremented,54.29011368751526,55.111581325531006,bigbrain_0_2416_6255.nii,157582
load_img,53.78036141395569,53.78142428398132,bigbrain_0_3020_695.nii,157552
increment_data,53.781630516052246,54.17612981796265,bigbrain_0_3020_695.nii,157552
save_incremented,54.176292419433594,55.01481318473816,bigbrain_0_3020_695.nii,157552
load_img,53.71946930885315,53.72050356864929,bigbrain_0_2416_2780.nii,157576
increment_data,53.720704078674316,54.14927816390991,bigbrain_0_2416_2780.nii,157576
save_incremented,54.14941120147705,54.843613624572754,bigbrain_0_2416_2780.nii,157576
load_img,53.71871900558472,53.719775676727295,bigbrain_0_2416_2780.nii,157547
increment_data,53.71997833251953,54.14828395843506,bigbrain_0_2416_2780.nii,157547
save_incremented,54.14843702316284,54.84320902824402,bigbrain_0_2416_2780.nii,157547
load_img,53.62655758857727,53.627739906311035,bigbrain_0_2416_6255.nii,157529
increment_data,53.62798285484314,54.01826477050781,bigbrain_0_2416_6255.nii,157529
save_incremented,54.01844358444214,54.8939733505249,bigbrain_0_2416_6255.nii,157529
load_img,53.58597254753113,53.58693218231201,bigbrain_0_3020_2780.nii,157560
increment_data,53.58712649345398,54.034597635269165,bigbrain_0_3020_2780.nii,157560
save_incremented,54.03473949432373,54.76386547088623,bigbrain_0_3020_2780.nii,157560
load_img,53.58562231063843,53.58663010597229,bigbrain_0_3020_2780.nii,157568
increment_data,53.586822271347046,54.03427529335022,bigbrain_0_3020_2780.nii,157568
save_incremented,54.034430503845215,54.7635452747345,bigbrain_0_3020_2780.nii,157568
load_img,53.46441459655762,53.46535110473633,bigbrain_0_2416_6255.nii,157556
increment_data,53.46553611755371,53.84762263298035,bigbrain_0_2416_6255.nii,157556
save_incremented,53.84778094291687,54.80612230300903,bigbrain_0_2416_6255.nii,157556
load_img,53.03635215759277,53.03741717338562,bigbrain_0_1208_3475.nii,157523
increment_data,53.037638664245605,53.45215058326721,bigbrain_0_1208_3475.nii,157523
save_incremented,53.452306270599365,54.29250144958496,bigbrain_0_1208_3475.nii,157523
load_img,52.91315174102783,52.914148569107056,bigbrain_0_4228_4865.nii,157603
increment_data,52.91432547569275,53.34717607498169,bigbrain_0_4228_4865.nii,157603
save_incremented,53.347312450408936,54.16576266288757,bigbrain_0_4228_4865.nii,157603
load_img,52.912904500961304,52.91389441490173,bigbrain_0_4228_4865.nii,157598
increment_data,52.91409778594971,53.34550666809082,bigbrain_0_4228_4865.nii,157598
save_incremented,53.34566903114319,54.11224889755249,bigbrain_0_4228_4865.nii,157598
load_img,52.906209230422974,52.90763735771179,bigbrain_0_2416_1390.nii,157572
increment_data,52.90790247917175,53.32747030258179,bigbrain_0_2416_1390.nii,157572
save_incremented,53.32762050628662,54.068819761276245,bigbrain_0_2416_1390.nii,157572
load_img,52.82299494743347,52.8241503238678,bigbrain_0_2416_1390.nii,157564
increment_data,52.824394941329956,53.21627974510193,bigbrain_0_2416_1390.nii,157564
save_incremented,53.21643686294556,54.03630828857422,bigbrain_0_2416_1390.nii,157564
load_img,52.726630210876465,52.72767996788025,bigbrain_0_1208_3475.nii,157520
increment_data,52.72789740562439,53.15416502952576,bigbrain_0_1208_3475.nii,157520
save_incremented,53.154691219329834,53.91634511947632,bigbrain_0_1208_3475.nii,157520
load_img,52.71291995048523,52.7137451171875,bigbrain_0_1208_2085.nii,157541
increment_data,52.71388840675354,53.19739007949829,bigbrain_0_1208_2085.nii,157541
save_incremented,53.19749879837036,53.9448606967926,bigbrain_0_1208_2085.nii,157541
load_img,52.71269750595093,52.71356916427612,bigbrain_0_1208_2085.nii,157508
