driver_program,0,855.8407411575317,/pmem1-data/val/spark-1570506206-optaneAD_1it_25cpus_120delay_withpc-1,allfiles
load_img,24.995548725128174,25.391173839569092,bigbrain_6930_5436_2780.nii,88790
increment_data,25.39415192604065,26.02175283432007,bigbrain_6930_5436_2780.nii,88790
save_incremented,26.021947622299194,31.040213346481323,bigbrain_6930_5436_2780.nii,88790
load_img,25.206669807434082,25.608925342559814,bigbrain_2310_604_2780.nii,88799
increment_data,25.611974000930786,26.265875101089478,bigbrain_2310_604_2780.nii,88799
save_incremented,26.266062021255493,27.19902205467224,bigbrain_2310_604_2780.nii,88799
load_img,25.412543773651123,25.81544589996338,bigbrain_2310_1208_0.nii,88763
increment_data,25.81844735145569,26.518075942993164,bigbrain_2310_1208_0.nii,88763
save_incremented,26.519027709960938,27.499519109725952,bigbrain_2310_1208_0.nii,88763
load_img,25.46677303314209,25.86288285255432,bigbrain_6930_3624_6255.nii,88817
increment_data,25.865890741348267,26.57048773765564,bigbrain_6930_3624_6255.nii,88817
save_incremented,26.57076597213745,27.53538179397583,bigbrain_6930_3624_6255.nii,88817
load_img,26.544135332107544,26.993481636047363,bigbrain_6930_4832_5560.nii,88757
increment_data,26.997308015823364,27.802340984344482,bigbrain_6930_4832_5560.nii,88757
save_incremented,27.802725315093994,35.058902740478516,bigbrain_6930_4832_5560.nii,88757
load_img,26.59834599494934,27.055453538894653,bigbrain_6160_1812_4170.nii,88796
increment_data,27.0591983795166,27.87879967689514,bigbrain_6160_1812_4170.nii,88796
save_incremented,27.879069089889526,39.1151020526886,bigbrain_6160_1812_4170.nii,88796
load_img,26.62389636039734,27.084529876708984,bigbrain_5390_5436_4170.nii,88754
increment_data,27.088585376739502,27.907967805862427,bigbrain_5390_5436_4170.nii,88754
save_incremented,27.908243417739868,35.278388261795044,bigbrain_5390_5436_4170.nii,88754
load_img,26.634363889694214,27.098483085632324,bigbrain_6930_3020_2085.nii,88772
increment_data,27.10262703895569,27.917675256729126,bigbrain_6930_3020_2085.nii,88772
save_incremented,27.91793942451477,35.04157280921936,bigbrain_6930_3020_2085.nii,88772
load_img,26.589679479599,27.240527391433716,bigbrain_0_4228_4865.nii,88766
increment_data,27.2452175617218,28.333571195602417,bigbrain_0_4228_4865.nii,88766
save_incremented,28.333966493606567,34.0051474571228,bigbrain_0_4228_4865.nii,88766
load_img,26.623875617980957,27.27619981765747,bigbrain_3850_0_4865.nii,88781
increment_data,27.28055429458618,28.381804704666138,bigbrain_3850_0_4865.nii,88781
save_incremented,28.382461547851562,38.73366832733154,bigbrain_3850_0_4865.nii,88781
load_img,26.634058237075806,27.28325605392456,bigbrain_1540_4832_0.nii,88769
increment_data,27.287535667419434,28.381044149398804,bigbrain_1540_4832_0.nii,88769
save_incremented,28.381699562072754,34.634642362594604,bigbrain_1540_4832_0.nii,88769
load_img,26.655361652374268,27.30555558204651,bigbrain_6160_1208_3475.nii,88814
increment_data,27.310022354125977,28.40896224975586,bigbrain_6160_1208_3475.nii,88814
save_incremented,28.409478187561035,38.197521924972534,bigbrain_6160_1208_3475.nii,88814
load_img,26.653148651123047,27.309869289398193,bigbrain_770_3624_4170.nii,88760
increment_data,27.314419746398926,28.420130491256714,bigbrain_770_3624_4170.nii,88760
save_incremented,28.420656442642212,38.29263257980347,bigbrain_770_3624_4170.nii,88760
load_img,26.785428285598755,27.38570499420166,bigbrain_6160_4832_3475.nii,88793
increment_data,27.39001226425171,28.46277379989624,bigbrain_6160_4832_3475.nii,88793
save_incremented,28.463298082351685,36.89898204803467,bigbrain_6160_4832_3475.nii,88793
load_img,26.993126392364502,27.48631477355957,bigbrain_4620_4832_2780.nii,88802
increment_data,27.490290880203247,28.246006965637207,bigbrain_4620_4832_2780.nii,88802
save_incremented,28.246662139892578,39.14458155632019,bigbrain_4620_4832_2780.nii,88802
load_img,27.057576894760132,27.56313920021057,bigbrain_1540_1812_3475.nii,88787
increment_data,27.56727409362793,28.34339141845703,bigbrain_1540_1812_3475.nii,88787
save_incremented,28.343679666519165,35.72230911254883,bigbrain_1540_1812_3475.nii,88787
load_img,27.06353449821472,27.56698775291443,bigbrain_4620_2416_3475.nii,88775
increment_data,27.572307586669922,28.347747802734375,bigbrain_4620_2416_3475.nii,88775
save_incremented,28.347994327545166,39.269524335861206,bigbrain_4620_2416_3475.nii,88775
load_img,27.06200623512268,27.56942391395569,bigbrain_3080_4228_0.nii,88778
increment_data,27.573246002197266,28.343865633010864,bigbrain_3080_4228_0.nii,88778
save_incremented,28.34403681755066,35.732584714889526,bigbrain_3080_4228_0.nii,88778
load_img,27.074676036834717,27.578034162521362,bigbrain_6930_1812_695.nii,88748
increment_data,27.582322359085083,28.352471828460693,bigbrain_6930_1812_695.nii,88748
save_incremented,28.35293436050415,39.314889669418335,bigbrain_6930_1812_695.nii,88748
load_img,27.08501124382019,27.588547706604004,bigbrain_6930_1208_6255.nii,88811
increment_data,27.59268593788147,28.40528964996338,bigbrain_6930_1208_6255.nii,88811
save_incremented,28.40569281578064,39.335548639297485,bigbrain_6930_1208_6255.nii,88811
load_img,27.103548765182495,27.602585554122925,bigbrain_770_1208_695.nii,88784
increment_data,27.60688090324402,28.395698308944702,bigbrain_770_1208_695.nii,88784
save_incremented,28.396081686019897,36.638779640197754,bigbrain_770_1208_695.nii,88784
load_img,27.11990237236023,27.625895977020264,bigbrain_3850_1812_695.nii,88808
increment_data,27.630314350128174,29.16316843032837,bigbrain_3850_1812_695.nii,88808
save_incremented,29.163806915283203,37.06071162223816,bigbrain_3850_1812_695.nii,88808
load_img,27.130390644073486,27.63700771331787,bigbrain_6160_0_1390.nii,88820
increment_data,27.641473531723022,29.17604684829712,bigbrain_6160_0_1390.nii,88820
save_incremented,29.17649483680725,34.951849937438965,bigbrain_6160_0_1390.nii,88820
load_img,27.179452180862427,27.695719003677368,bigbrain_5390_0_4170.nii,88805
increment_data,27.700124263763428,29.25113821029663,bigbrain_5390_0_4170.nii,88805
save_incremented,29.251792192459106,36.92680501937866,bigbrain_5390_0_4170.nii,88805
load_img,27.20547890663147,27.7290518283844,bigbrain_0_1208_695.nii,88749
increment_data,27.736074209213257,29.293877363204956,bigbrain_0_1208_695.nii,88749
save_incremented,29.294430255889893,37.0262565612793,bigbrain_0_1208_695.nii,88749
load_img,31.68318772315979,32.07478141784668,bigbrain_0_1208_4170.nii,88799
increment_data,32.09058976173401,33.62107515335083,bigbrain_0_1208_4170.nii,88799
save_incremented,33.62358856201172,38.858827352523804,bigbrain_0_1208_4170.nii,88799
load_img,32.43536305427551,32.82987642288208,bigbrain_3080_5436_695.nii,88817
increment_data,32.846638441085815,33.83130240440369,bigbrain_3080_5436_695.nii,88817
save_incremented,33.8317928314209,38.69323801994324,bigbrain_3080_5436_695.nii,88817
load_img,32.60360860824585,33.49437999725342,bigbrain_6930_604_4170.nii,88763
increment_data,33.50165867805481,34.49269437789917,bigbrain_6930_604_4170.nii,88763
save_incremented,34.49290060997009,38.919127225875854,bigbrain_6930_604_4170.nii,88763
load_img,34.620673418045044,35.22159934043884,bigbrain_2310_2416_0.nii,88790
increment_data,35.23062086105347,36.07174611091614,bigbrain_2310_2416_0.nii,88790
save_incremented,36.072593212127686,40.95477771759033,bigbrain_2310_2416_0.nii,88790
load_img,42.57193851470947,43.08919835090637,bigbrain_770_1208_0.nii,88766
increment_data,43.09290313720703,43.79746890068054,bigbrain_770_1208_0.nii,88766
save_incremented,43.79773569107056,44.92680907249451,bigbrain_770_1208_0.nii,88766
load_img,47.744330167770386,48.187525272369385,bigbrain_1540_3020_695.nii,88769
increment_data,48.1907422542572,48.997190952301025,bigbrain_1540_3020_695.nii,88769
save_incremented,48.997554063797,49.796011447906494,bigbrain_1540_3020_695.nii,88769
load_img,48.11304998397827,48.50635290145874,bigbrain_6930_1208_5560.nii,88757
increment_data,48.51008152961731,49.18783926963806,bigbrain_6930_1208_5560.nii,88757
save_incremented,49.18810486793518,52.15079665184021,bigbrain_6930_1208_5560.nii,88757
load_img,48.520554304122925,48.984760761260986,bigbrain_1540_3624_695.nii,88820
increment_data,48.988067388534546,49.8144805431366,bigbrain_1540_3624_695.nii,88820
save_incremented,49.814775705337524,51.03440451622009,bigbrain_1540_3624_695.nii,88820
load_img,48.682299852371216,49.17626142501831,bigbrain_3080_0_4865.nii,88772
increment_data,49.179813861846924,49.993515729904175,bigbrain_3080_0_4865.nii,88772
save_incremented,49.99380040168762,53.20486235618591,bigbrain_3080_0_4865.nii,88772
load_img,51.93885517120361,52.67873573303223,bigbrain_4620_5436_4170.nii,88754
increment_data,52.68228006362915,53.434157609939575,bigbrain_4620_5436_4170.nii,88754
save_incremented,53.43453001976013,57.58981275558472,bigbrain_4620_5436_4170.nii,88754
load_img,54.10551071166992,54.55078196525574,bigbrain_770_0_1390.nii,88778
increment_data,54.554856300354004,55.27613830566406,bigbrain_770_0_1390.nii,88778
save_incremented,55.27633738517761,61.45549130439758,bigbrain_770_0_1390.nii,88778
load_img,54.114625215530396,54.55151915550232,bigbrain_5390_604_5560.nii,88784
increment_data,54.55508732795715,55.284635066986084,bigbrain_5390_604_5560.nii,88784
save_incremented,55.284833908081055,60.972201108932495,bigbrain_5390_604_5560.nii,88784
load_img,54.05513668060303,54.74517893791199,bigbrain_3080_4832_4170.nii,88793
increment_data,54.74875330924988,55.789630651474,bigbrain_3080_4832_4170.nii,88793
save_incremented,55.79003357887268,59.87087535858154,bigbrain_3080_4832_4170.nii,88793
load_img,54.11784243583679,54.782392263412476,bigbrain_6160_3020_2780.nii,88799
increment_data,54.785866498947144,56.24040389060974,bigbrain_6160_3020_2780.nii,88799
save_incremented,56.24456000328064,60.519742488861084,bigbrain_6160_3020_2780.nii,88799
load_img,54.262091636657715,54.88671255111694,bigbrain_5390_604_3475.nii,88763
increment_data,54.89147138595581,55.94520163536072,bigbrain_5390_604_3475.nii,88763
save_incremented,55.94814085960388,61.12337565422058,bigbrain_5390_604_3475.nii,88763
load_img,54.49779272079468,54.938618421554565,bigbrain_6160_5436_5560.nii,88802
increment_data,54.94223880767822,55.64935541152954,bigbrain_6160_5436_5560.nii,88802
save_incremented,55.649566411972046,61.8430449962616,bigbrain_6160_5436_5560.nii,88802
load_img,54.57579946517944,55.140923500061035,bigbrain_6160_5436_3475.nii,88787
increment_data,55.14445614814758,55.9498393535614,bigbrain_6160_5436_3475.nii,88787
save_incremented,55.95069599151611,62.118714332580566,bigbrain_6160_5436_3475.nii,88787
load_img,54.538859367370605,55.193697929382324,bigbrain_3850_0_1390.nii,88749
increment_data,55.197163105010986,57.08731961250305,bigbrain_3850_0_1390.nii,88749
save_incremented,57.08765983581543,60.72614669799805,bigbrain_3850_0_1390.nii,88749
load_img,54.61759090423584,55.22253918647766,bigbrain_3080_1812_3475.nii,88781
increment_data,55.22580885887146,56.90877723693848,bigbrain_3080_1812_3475.nii,88781
save_incremented,56.909090995788574,60.7106819152832,bigbrain_3080_1812_3475.nii,88781
load_img,54.66757678985596,55.224645137786865,bigbrain_2310_0_695.nii,88775
increment_data,55.22828817367554,56.01685190200806,bigbrain_2310_0_695.nii,88775
save_incremented,56.01836919784546,61.15343260765076,bigbrain_2310_0_695.nii,88775
load_img,54.676652669906616,55.2598991394043,bigbrain_5390_2416_695.nii,88760
increment_data,55.26329493522644,56.982274770736694,bigbrain_5390_2416_695.nii,88760
save_incremented,56.98264670372009,60.495495319366455,bigbrain_5390_2416_695.nii,88760
load_img,54.718011140823364,55.284655809402466,bigbrain_5390_4228_5560.nii,88808
increment_data,55.288509130477905,57.0271520614624,bigbrain_5390_4228_5560.nii,88808
save_incremented,57.027371883392334,62.486971378326416,bigbrain_5390_4228_5560.nii,88808
load_img,55.09522199630737,55.52637434005737,bigbrain_4620_2416_4170.nii,88766
increment_data,55.530893325805664,57.070183515548706,bigbrain_4620_2416_4170.nii,88766
save_incremented,57.0705246925354,61.07833433151245,bigbrain_4620_2416_4170.nii,88766
load_img,54.874107122421265,55.5682213306427,bigbrain_6930_3624_5560.nii,88805
increment_data,55.57252883911133,57.38192343711853,bigbrain_6930_3624_5560.nii,88805
save_incremented,57.38215661048889,62.52656865119934,bigbrain_6930_3624_5560.nii,88805
load_img,55.46896028518677,56.49637246131897,bigbrain_6160_0_3475.nii,88796
increment_data,56.503376960754395,57.303104639053345,bigbrain_6160_0_3475.nii,88796
save_incremented,57.30411076545715,62.480199575424194,bigbrain_6160_0_3475.nii,88796
load_img,56.04910635948181,56.7425651550293,bigbrain_5390_4228_4865.nii,88790
increment_data,56.747621297836304,57.45208287239075,bigbrain_5390_4228_4865.nii,88790
save_incremented,57.45236945152283,64.00867748260498,bigbrain_5390_4228_4865.nii,88790
load_img,56.00206661224365,57.134838581085205,bigbrain_5390_5436_6255.nii,88817
increment_data,57.141817808151245,58.44439220428467,bigbrain_5390_5436_6255.nii,88817
save_incremented,58.444629192352295,62.964823484420776,bigbrain_5390_5436_6255.nii,88817
load_img,56.02859401702881,57.14254426956177,bigbrain_2310_0_3475.nii,88814
increment_data,57.149192333221436,58.52980852127075,bigbrain_2310_0_3475.nii,88814
save_incremented,58.53017568588257,63.098660469055176,bigbrain_2310_0_3475.nii,88814
load_img,56.866880655288696,57.52461266517639,bigbrain_4620_4832_4170.nii,88748
increment_data,57.52972912788391,58.551527976989746,bigbrain_4620_4832_4170.nii,88748
save_incremented,58.55200123786926,65.07226991653442,bigbrain_4620_4832_4170.nii,88748
load_img,57.96794533729553,58.4365713596344,bigbrain_3080_5436_4865.nii,88769
increment_data,58.44282364845276,59.21966028213501,bigbrain_3080_5436_4865.nii,88769
save_incremented,59.21986508369446,63.134252309799194,bigbrain_3080_5436_4865.nii,88769
load_img,57.21349573135376,58.46112513542175,bigbrain_4620_3020_695.nii,88811
increment_data,58.47655010223389,59.23251676559448,bigbrain_4620_3020_695.nii,88811
save_incremented,59.23284101486206,65.4655647277832,bigbrain_4620_3020_695.nii,88811
load_img,58.00441861152649,58.565800189971924,bigbrain_0_4228_0.nii,88820
increment_data,58.57342767715454,59.37446594238281,bigbrain_0_4228_0.nii,88820
save_incremented,59.37472081184387,63.185803174972534,bigbrain_0_4228_0.nii,88820
load_img,59.99434757232666,60.40783715248108,bigbrain_2310_3020_5560.nii,88757
increment_data,60.41543507575989,61.16818141937256,bigbrain_2310_3020_5560.nii,88757
save_incremented,61.168359994888306,66.09036707878113,bigbrain_2310_3020_5560.nii,88757
load_img,60.46187877655029,60.870006799697876,bigbrain_6930_604_1390.nii,88772
increment_data,60.873947858810425,61.5509991645813,bigbrain_6930_604_1390.nii,88772
save_incremented,61.55140471458435,66.18530654907227,bigbrain_6930_604_1390.nii,88772
load_img,63.39062166213989,63.790589570999146,bigbrain_5390_2416_2085.nii,88754
increment_data,63.803335428237915,64.4555561542511,bigbrain_5390_2416_2085.nii,88754
save_incremented,64.45721364021301,69.071209192276,bigbrain_5390_2416_2085.nii,88754
load_img,64.19123101234436,65.2300021648407,bigbrain_2310_2416_6255.nii,88793
increment_data,65.23316836357117,65.96024560928345,bigbrain_2310_2416_6255.nii,88793
save_incremented,65.96048974990845,67.58973097801208,bigbrain_2310_2416_6255.nii,88793
load_img,70.74792766571045,71.22102642059326,bigbrain_4620_4832_6255.nii,88760
increment_data,71.22451210021973,71.95927214622498,bigbrain_4620_4832_6255.nii,88760
save_incremented,71.95958423614502,73.00185871124268,bigbrain_4620_4832_6255.nii,88760
load_img,71.07123017311096,71.55420565605164,bigbrain_1540_1208_2085.nii,88799
increment_data,71.55750179290771,72.25557041168213,bigbrain_1540_1208_2085.nii,88799
save_incremented,72.25578022003174,76.22909951210022,bigbrain_1540_1208_2085.nii,88799
load_img,71.43966102600098,71.95125246047974,bigbrain_3080_1208_5560.nii,88749
increment_data,71.95481777191162,73.08588123321533,bigbrain_3080_1208_5560.nii,88749
save_incremented,73.08674144744873,74.69350862503052,bigbrain_3080_1208_5560.nii,88749
load_img,71.78721976280212,72.18694233894348,bigbrain_6160_3020_695.nii,88778
increment_data,72.1900224685669,72.85092782974243,bigbrain_6160_3020_695.nii,88778
save_incremented,72.85111474990845,76.55841398239136,bigbrain_6160_3020_695.nii,88778
load_img,71.7342643737793,72.24424529075623,bigbrain_3080_1208_4865.nii,88766
increment_data,72.24767208099365,73.30548024177551,bigbrain_3080_1208_4865.nii,88766
save_incremented,73.30570387840271,74.69857859611511,bigbrain_3080_1208_4865.nii,88766
load_img,71.82339978218079,72.31748676300049,bigbrain_5390_5436_4865.nii,88775
increment_data,72.32093071937561,73.39087557792664,bigbrain_5390_5436_4865.nii,88775
save_incremented,73.39116978645325,75.01081609725952,bigbrain_5390_5436_4865.nii,88775
load_img,72.12798929214478,72.80590271949768,bigbrain_6160_4832_0.nii,88781
increment_data,72.80960440635681,73.73833322525024,bigbrain_6160_4832_0.nii,88781
save_incremented,73.73852968215942,75.15588760375977,bigbrain_6160_4832_0.nii,88781
load_img,75.25711607933044,76.0000250339508,bigbrain_3850_1208_1390.nii,88784
increment_data,76.00350451469421,76.80672860145569,bigbrain_3850_1208_1390.nii,88784
save_incremented,76.80697107315063,82.01947259902954,bigbrain_3850_1208_1390.nii,88784
load_img,75.88288998603821,76.28047800064087,bigbrain_5390_4228_2085.nii,88787
increment_data,76.2837598323822,76.95842170715332,bigbrain_5390_4228_2085.nii,88787
save_incremented,76.9588372707367,82.53962922096252,bigbrain_5390_4228_2085.nii,88787
load_img,75.55810379981995,76.32609605789185,bigbrain_0_4228_3475.nii,88763
increment_data,76.32951140403748,77.40877890586853,bigbrain_0_4228_3475.nii,88763
save_incremented,77.40908575057983,78.52602624893188,bigbrain_0_4228_3475.nii,88763
load_img,76.14102363586426,76.54862236976624,bigbrain_3080_4228_2780.nii,88796
increment_data,76.55178666114807,77.24323558807373,bigbrain_3080_4228_2780.nii,88796
save_incremented,77.24349761009216,82.97904181480408,bigbrain_3080_4228_2780.nii,88796
load_img,76.51714587211609,77.08374118804932,bigbrain_3850_2416_4865.nii,88808
increment_data,77.09498882293701,78.18060970306396,bigbrain_3850_2416_4865.nii,88808
save_incremented,78.18082594871521,80.67558646202087,bigbrain_3850_2416_4865.nii,88808
load_img,76.40342116355896,77.1918318271637,bigbrain_0_604_1390.nii,88805
increment_data,77.19583129882812,78.22000002861023,bigbrain_0_604_1390.nii,88805
save_incremented,78.22044563293457,80.6979489326477,bigbrain_0_604_1390.nii,88805
load_img,76.92472100257874,77.49078798294067,bigbrain_4620_3624_6255.nii,88802
increment_data,77.49474501609802,78.25720810890198,bigbrain_4620_3624_6255.nii,88802
save_incremented,78.25746369361877,88.30784153938293,bigbrain_4620_3624_6255.nii,88802
load_img,77.10847282409668,77.73505520820618,bigbrain_1540_1208_4170.nii,88814
increment_data,77.7430477142334,78.935631275177,bigbrain_1540_1208_4170.nii,88814
save_incremented,78.93581748008728,81.59757995605469,bigbrain_1540_1208_4170.nii,88814
load_img,77.32164907455444,77.91020822525024,bigbrain_6160_1812_695.nii,88769
increment_data,77.91502451896667,78.97793507575989,bigbrain_6160_1812_695.nii,88769
save_incremented,78.97814965248108,82.644366979599,bigbrain_6160_1812_695.nii,88769
load_img,78.46252727508545,78.85980820655823,bigbrain_1540_3020_4170.nii,88757
increment_data,78.86638021469116,79.55477952957153,bigbrain_1540_3020_4170.nii,88757
save_incremented,79.55502128601074,90.77237868309021,bigbrain_1540_3020_4170.nii,88757
load_img,78.50400710105896,78.92328929901123,bigbrain_6160_4832_2085.nii,88748
increment_data,78.92789268493652,79.6071982383728,bigbrain_6160_4832_2085.nii,88748
save_incremented,79.60786581039429,90.79860401153564,bigbrain_6160_4832_2085.nii,88748
load_img,78.81548881530762,79.34752178192139,bigbrain_1540_2416_695.nii,88790
increment_data,79.3513617515564,80.14608240127563,bigbrain_1540_2416_695.nii,88790
save_incremented,80.14665222167969,95.40507483482361,bigbrain_1540_2416_695.nii,88790
load_img,78.72847437858582,79.42504715919495,bigbrain_3850_5436_2780.nii,88820
increment_data,79.43085646629333,81.2561104297638,bigbrain_3850_5436_2780.nii,88820
save_incremented,81.25632190704346,94.98664498329163,bigbrain_3850_5436_2780.nii,88820
load_img,78.86359643936157,79.46849942207336,bigbrain_3080_5436_4170.nii,88817
increment_data,79.4740583896637,81.26784014701843,bigbrain_3080_5436_4170.nii,88817
save_incremented,81.26844930648804,88.75294852256775,bigbrain_3080_5436_4170.nii,88817
load_img,78.84201908111572,79.78700160980225,bigbrain_6160_3020_5560.nii,88772
increment_data,79.79369592666626,80.99435186386108,bigbrain_6160_3020_5560.nii,88772
save_incremented,80.99456810951233,94.41032409667969,bigbrain_6160_3020_5560.nii,88772
load_img,79.37321829795837,80.69336915016174,bigbrain_770_3020_3475.nii,88793
increment_data,80.70125079154968,81.8375096321106,bigbrain_770_3020_3475.nii,88793
save_incremented,81.83773517608643,90.96097230911255,bigbrain_770_3020_3475.nii,88793
load_img,79.45307874679565,80.99110722541809,bigbrain_1540_3624_0.nii,88811
increment_data,80.9972472190857,81.74194407463074,bigbrain_1540_3624_0.nii,88811
save_incremented,81.74214124679565,97.31509923934937,bigbrain_1540_3624_0.nii,88811
load_img,79.6858925819397,81.06415557861328,bigbrain_3850_1208_5560.nii,88754
increment_data,81.08760976791382,81.86634826660156,bigbrain_3850_1208_5560.nii,88754
save_incremented,81.86722254753113,97.50575280189514,bigbrain_3850_1208_5560.nii,88754
load_img,80.73999381065369,81.49353504180908,bigbrain_4620_604_2085.nii,88775
increment_data,81.50390315055847,83.04909181594849,bigbrain_4620_604_2085.nii,88775
save_incremented,83.04931735992432,96.92457437515259,bigbrain_4620_604_2085.nii,88775
load_img,80.76178359985352,81.51650524139404,bigbrain_3850_1208_6255.nii,88781
increment_data,81.52366089820862,83.13476991653442,bigbrain_3850_1208_6255.nii,88781
save_incremented,83.13498425483704,95.4521107673645,bigbrain_3850_1208_6255.nii,88781
load_img,81.79947924613953,82.94969153404236,bigbrain_0_1208_0.nii,88760
increment_data,82.95402812957764,87.46700668334961,bigbrain_0_1208_0.nii,88760
save_incremented,87.46721076965332,98.47801780700684,bigbrain_0_1208_0.nii,88760
load_img,81.86335754394531,82.99712181091309,bigbrain_3080_2416_5560.nii,88766
increment_data,83.00275206565857,87.4985363483429,bigbrain_3080_2416_5560.nii,88766
save_incremented,87.49880743026733,99.44733476638794,bigbrain_3080_2416_5560.nii,88766
load_img,81.96962308883667,83.03004360198975,bigbrain_3850_4832_4170.nii,88749
increment_data,83.03905391693115,87.54311108589172,bigbrain_3850_4832_4170.nii,88749
save_incremented,87.54337811470032,102.05242133140564,bigbrain_3850_4832_4170.nii,88749
load_img,82.17969942092896,83.06011295318604,bigbrain_6930_2416_2085.nii,88778
increment_data,83.06700110435486,85.65906190872192,bigbrain_6930_2416_2085.nii,88778
save_incremented,85.66238689422607,103.86931014060974,bigbrain_6930_2416_2085.nii,88778
load_img,82.16231393814087,83.07353472709656,bigbrain_6160_4228_2780.nii,88799
increment_data,83.0786120891571,87.55581736564636,bigbrain_6160_4228_2780.nii,88799
save_incremented,87.55610156059265,102.36981415748596,bigbrain_6160_4228_2780.nii,88799
load_img,84.20212364196777,87.07887482643127,bigbrain_770_1812_695.nii,88763
increment_data,87.11455631256104,89.95118975639343,bigbrain_770_1812_695.nii,88763
save_incremented,89.95347857475281,102.8300929069519,bigbrain_770_1812_695.nii,88763
load_img,89.66902256011963,90.42373061180115,bigbrain_5390_3020_4170.nii,88805
increment_data,90.4358983039856,93.88862490653992,bigbrain_5390_3020_4170.nii,88805
save_incremented,93.89129424095154,104.12614631652832,bigbrain_5390_3020_4170.nii,88805
load_img,90.29883432388306,90.68888688087463,bigbrain_6930_4228_6255.nii,88784
increment_data,90.70185804367065,91.35873317718506,bigbrain_6930_4228_6255.nii,88784
save_incremented,91.36279106140137,106.52616572380066,bigbrain_6930_4228_6255.nii,88784
load_img,90.39745950698853,91.72288012504578,bigbrain_0_604_3475.nii,88808
increment_data,91.73024940490723,95.38008856773376,bigbrain_0_604_3475.nii,88808
save_incremented,95.38045954704285,104.13829302787781,bigbrain_0_604_3475.nii,88808
load_img,90.74823904037476,92.06539607048035,bigbrain_2310_4832_0.nii,88769
increment_data,92.07134699821472,96.53226566314697,bigbrain_2310_4832_0.nii,88769
save_incremented,96.53248953819275,104.58952927589417,bigbrain_2310_4832_0.nii,88769
load_img,90.8608763217926,92.0904107093811,bigbrain_770_5436_6255.nii,88796
increment_data,92.09777307510376,94.30365204811096,bigbrain_770_5436_6255.nii,88796
save_incremented,94.30447578430176,107.76867651939392,bigbrain_770_5436_6255.nii,88796
load_img,90.81221556663513,92.16426157951355,bigbrain_770_5436_0.nii,88814
increment_data,92.1719810962677,96.52942895889282,bigbrain_770_5436_0.nii,88814
save_incremented,96.52972221374512,104.52654767036438,bigbrain_770_5436_0.nii,88814
load_img,94.69404029846191,95.09762024879456,bigbrain_6160_604_1390.nii,88787
increment_data,95.1235978603363,95.78643441200256,bigbrain_6160_604_1390.nii,88787
save_incremented,95.78917813301086,109.69323754310608,bigbrain_6160_604_1390.nii,88787
load_img,101.41123032569885,101.80547857284546,bigbrain_3080_3020_2085.nii,88748
increment_data,101.816645860672,102.46924710273743,bigbrain_3080_3020_2085.nii,88748
save_incremented,102.47140645980835,110.66069602966309,bigbrain_3080_3020_2085.nii,88748
load_img,99.68485927581787,103.15244388580322,bigbrain_5390_2416_1390.nii,88817
increment_data,103.25058078765869,105.37347793579102,bigbrain_5390_2416_1390.nii,88817
save_incremented,105.37367486953735,109.7709288597107,bigbrain_5390_2416_1390.nii,88817
load_img,99.0477545261383,103.92392683029175,bigbrain_770_5436_695.nii,88802
increment_data,103.92855286598206,104.91681432723999,bigbrain_770_5436_695.nii,88802
save_incremented,104.91867804527283,111.47255110740662,bigbrain_770_5436_695.nii,88802
load_img,106.16684937477112,106.69587564468384,bigbrain_2310_2416_4865.nii,88757
increment_data,106.70786309242249,107.36200761795044,bigbrain_2310_2416_4865.nii,88757
save_incremented,107.36337232589722,112.8673963546753,bigbrain_2310_2416_4865.nii,88757
load_img,107.14799332618713,108.85488605499268,bigbrain_770_2416_5560.nii,88793
increment_data,108.85824584960938,110.23297691345215,bigbrain_770_2416_5560.nii,88793
save_incremented,110.23315477371216,111.39154386520386,bigbrain_770_2416_5560.nii,88793
load_img,111.98986434936523,113.03044843673706,bigbrain_6160_5436_4865.nii,88781
increment_data,113.0377311706543,114.196786403656,bigbrain_6160_5436_4865.nii,88781
