driver_program,0,5228.285288095474,/home/users/vhayots/spark-1570917158-isilonAD_1it_25cpus_120delay_withpc_em-1,allfiles
load_img,2992.775195837021,2993.2474777698517,bigbrain_0_1812_2085.nii,160368
increment_data,3012.5678708553314,3019.997564315796,bigbrain_0_1812_2085.nii,160368
save_incremented,3022.901606321335,3112.1002361774445,bigbrain_0_1812_2085.nii,160368
load_img,4657.701986074448,4660.747873067856,bigbrain_0_1208_2085.nii,160406
increment_data,4694.876506328583,4709.894887208939,bigbrain_0_1208_2085.nii,160406
save_incremented,4720.413877248764,4769.9598133563995,bigbrain_0_1208_2085.nii,160406
load_img,1435.0905752182007,1448.031528711319,bigbrain_0_3020_6255.nii,160346
increment_data,1458.556078195572,1460.9721052646637,bigbrain_0_3020_6255.nii,160346
save_incremented,1480.9363617897034,1527.769550561905,bigbrain_0_3020_6255.nii,160346
load_img,1588.684651374817,1590.3615465164185,bigbrain_0_4228_2085.nii,160325
increment_data,1617.9319293498993,1631.581349849701,bigbrain_0_4228_2085.nii,160325
save_incremented,1651.9690999984741,1699.703871011734,bigbrain_0_4228_2085.nii,160325
load_img,673.4418036937714,673.4989788532257,bigbrain_0_3624_2085.nii,160368
increment_data,673.5458688735962,674.0731797218323,bigbrain_0_3624_2085.nii,160368
save_incremented,692.0379738807678,753.5914182662964,bigbrain_0_3624_2085.nii,160368
load_img,2036.5874683856964,2049.036041498184,bigbrain_0_2416_4170.nii,160368
increment_data,2063.596251487732,2070.825537919998,bigbrain_0_2416_4170.nii,160368
save_incremented,2089.3763456344604,2162.189999103546,bigbrain_0_2416_4170.nii,160368
load_img,962.9406416416168,962.9458289146423,bigbrain_0_3624_5560.nii,160343
increment_data,968.9316747188568,979.0087809562683,bigbrain_0_3624_5560.nii,160343
save_incremented,987.513840675354,1129.761858701706,bigbrain_0_3624_5560.nii,160343
load_img,4610.926086187363,4626.443474769592,bigbrain_0_1208_2085.nii,160396
increment_data,4646.887620449066,4661.107403755188,bigbrain_0_1208_2085.nii,160396
save_incremented,4688.230396747589,4728.569883108139,bigbrain_0_1208_2085.nii,160396
load_img,219.55800986289978,221.08097672462463,bigbrain_0_1812_4865.nii,160343
increment_data,244.6314001083374,248.5245223045349,bigbrain_0_1812_4865.nii,160343
save_incremented,252.37038254737854,343.263747215271,bigbrain_0_1812_4865.nii,160343
load_img,2407.743481874466,2432.6631412506104,bigbrain_0_0_1390.nii,160349
increment_data,2447.6752626895905,2457.883628845215,bigbrain_0_0_1390.nii,160349
save_incremented,2488.9568812847137,2542.6106894016266,bigbrain_0_0_1390.nii,160349
load_img,1461.286818742752,1468.2370419502258,bigbrain_0_1812_2085.nii,160380
increment_data,1486.158679008484,1498.2881491184235,bigbrain_0_1812_2085.nii,160380
save_incremented,1524.9039359092712,1579.4395785331726,bigbrain_0_1812_2085.nii,160380
load_img,569.0327894687653,569.18750166893,bigbrain_0_2416_6255.nii,160414
increment_data,587.5625593662262,589.958288192749,bigbrain_0_2416_6255.nii,160414
save_incremented,603.4080481529236,671.9746260643005,bigbrain_0_2416_6255.nii,160414
load_img,1577.0676681995392,1579.2364723682404,bigbrain_0_3020_3475.nii,160349
increment_data,1585.80646443367,1600.346937417984,bigbrain_0_3020_3475.nii,160349
save_incremented,1622.0315659046173,1669.2861378192902,bigbrain_0_3020_3475.nii,160349
load_img,3782.8796846866608,3797.3102011680603,bigbrain_0_3020_4865.nii,160392
increment_data,3838.93753862381,3848.0167768001556,bigbrain_0_3020_4865.nii,160392
save_incremented,3852.375393629074,3886.3811914920807,bigbrain_0_3020_4865.nii,160392
load_img,2241.8231003284454,2291.9019753932953,bigbrain_0_3624_5560.nii,160361
increment_data,2301.8392946720123,2304.0592455863953,bigbrain_0_3624_5560.nii,160361
save_incremented,2317.110755443573,2377.510377407074,bigbrain_0_3624_5560.nii,160361
load_img,2547.67133975029,2567.249095439911,bigbrain_0_0_0.nii,160372
increment_data,2588.288850545883,2595.302889108658,bigbrain_0_0_0.nii,160372
save_incremented,2609.905345916748,2656.6056628227234,bigbrain_0_0_0.nii,160372
load_img,762.5684049129486,769.4563684463501,bigbrain_0_3020_5560.nii,160334
increment_data,787.5884261131287,790.3700346946716,bigbrain_0_3020_5560.nii,160334
save_incremented,801.2507410049438,858.8634839057922,bigbrain_0_3020_5560.nii,160334
load_img,2240.0272159576416,2291.6436767578125,bigbrain_0_3020_1390.nii,160343
increment_data,2300.7963511943817,2301.9144270420074,bigbrain_0_3020_1390.nii,160343
save_incremented,2314.7667605876923,2366.241404056549,bigbrain_0_3020_1390.nii,160343
load_img,569.0346386432648,569.2723128795624,bigbrain_0_1208_0.nii,160334
increment_data,593.9345545768738,598.2113044261932,bigbrain_0_1208_0.nii,160334
save_incremented,603.9160397052765,673.2985653877258,bigbrain_0_1208_0.nii,160334
load_img,5098.022576808929,5110.472431182861,bigbrain_0_1812_1390.nii,160343
increment_data,5130.203874588013,5139.411424636841,bigbrain_0_1812_1390.nii,160343
save_incremented,5142.164080142975,5181.045555830002,bigbrain_0_1812_1390.nii,160343
load_img,4434.257734537125,4479.573584079742,bigbrain_0_2416_695.nii,160325
increment_data,4487.594127893448,4491.476506471634,bigbrain_0_2416_695.nii,160325
save_incremented,4501.141051769257,4549.903035879135,bigbrain_0_2416_695.nii,160325
load_img,2137.1138496398926,2173.6690962314606,bigbrain_0_0_4170.nii,160349
increment_data,2182.398145675659,2188.8699944019318,bigbrain_0_0_4170.nii,160349
save_incremented,2194.63551402092,2257.724731206894,bigbrain_0_0_4170.nii,160349
load_img,4239.252226829529,4257.142848730087,bigbrain_0_4228_0.nii,160410
increment_data,4271.954345941544,4273.817722797394,bigbrain_0_4228_0.nii,160410
save_incremented,4282.319477081299,4351.359428405762,bigbrain_0_4228_0.nii,160410
load_img,897.5993299484253,903.2448375225067,bigbrain_0_0_695.nii,160384
increment_data,912.5170397758484,914.0062720775604,bigbrain_0_0_695.nii,160384
save_incremented,919.954802274704,997.93669962883,bigbrain_0_0_695.nii,160384
load_img,2186.167823076248,2189.626455307007,bigbrain_0_1812_5560.nii,160396
increment_data,2218.8066461086273,2223.1033318042755,bigbrain_0_1812_5560.nii,160396
save_incremented,2225.3211419582367,2298.5330817699432,bigbrain_0_1812_5560.nii,160396
load_img,5007.962799310684,5013.779075145721,bigbrain_0_3624_4170.nii,160384
increment_data,5038.09988617897,5046.033434391022,bigbrain_0_3624_4170.nii,160384
save_incremented,5064.565144300461,5119.009589910507,bigbrain_0_3624_4170.nii,160384
load_img,1666.780662536621,1681.8093478679657,bigbrain_0_2416_695.nii,160396
increment_data,1701.9670441150665,1704.6815893650055,bigbrain_0_2416_695.nii,160396
save_incremented,1714.0870094299316,1786.4575545787811,bigbrain_0_2416_695.nii,160396
load_img,1556.7887380123138,1575.767654657364,bigbrain_0_1208_2085.nii,160355
increment_data,1586.1184620857239,1590.803115606308,bigbrain_0_1208_2085.nii,160355
save_incremented,1593.3643853664398,1641.7364711761475,bigbrain_0_1208_2085.nii,160355
load_img,4035.9102091789246,4084.1047382354736,bigbrain_0_3624_695.nii,160396
increment_data,4110.6398396492,4116.683300971985,bigbrain_0_3624_695.nii,160396
save_incremented,4121.120419502258,4158.65380358696,bigbrain_0_3624_695.nii,160396
load_img,459.35072922706604,460.06748127937317,bigbrain_0_2416_0.nii,160384
increment_data,460.2166862487793,460.8248291015625,bigbrain_0_2416_0.nii,160384
save_incremented,491.21490001678467,540.4005062580109,bigbrain_0_2416_0.nii,160384
load_img,873.4556245803833,891.8709845542908,bigbrain_0_3624_2780.nii,160343
increment_data,908.2838499546051,911.1743006706238,bigbrain_0_3624_2780.nii,160343
save_incremented,917.8912644386292,957.6044852733612,bigbrain_0_3624_2780.nii,160343
load_img,2302.1367721557617,2308.5023362636566,bigbrain_0_4228_4865.nii,160355
increment_data,2329.2392406463623,2341.58234000206,bigbrain_0_4228_4865.nii,160355
save_incremented,2346.925954580307,2410.76171374321,bigbrain_0_4228_4865.nii,160355
load_img,248.12511086463928,248.4591555595398,bigbrain_0_1208_4170.nii,160392
increment_data,281.885537147522,283.5082323551178,bigbrain_0_1208_4170.nii,160392
save_incremented,284.17591547966003,349.971937417984,bigbrain_0_1208_4170.nii,160392
load_img,4847.952888727188,4892.376946210861,bigbrain_0_0_5560.nii,160349
increment_data,4907.623646974564,4916.74099111557,bigbrain_0_0_5560.nii,160349
save_incremented,4929.198830366135,4974.808879375458,bigbrain_0_0_5560.nii,160349
load_img,3837.4796285629272,3855.1209189891815,bigbrain_0_1208_2780.nii,160380
increment_data,3871.1222245693207,3878.8989012241364,bigbrain_0_1208_2780.nii,160380
save_incremented,3892.5214326381683,3943.918730020523,bigbrain_0_1208_2780.nii,160380
load_img,13.451566457748413,26.801284313201904,bigbrain_0_2416_4865.nii,160355
increment_data,35.223323345184326,39.381004095077515,bigbrain_0_2416_4865.nii,160355
