driver_program,0,323.8527488708496,/pmem1-data/val/spark-1570914005-optaneAD_1it_25cpus_120delay_withpc_em-1,allfiles
load_img,5.4365599155426025,5.439648628234863,bigbrain_0_2416_2780.nii,156954
increment_data,5.440621852874756,13.235849380493164,bigbrain_0_2416_2780.nii,156954
save_incremented,13.239774942398071,29.688379526138306,bigbrain_0_2416_2780.nii,156954
load_img,5.4475226402282715,5.450442552566528,bigbrain_0_2416_4865.nii,156948
increment_data,5.451196670532227,13.98447060585022,bigbrain_0_2416_4865.nii,156948
save_incremented,13.98545503616333,17.182727098464966,bigbrain_0_2416_4865.nii,156948
load_img,5.452465772628784,5.455080032348633,bigbrain_0_2416_4865.nii,156951
increment_data,5.455857992172241,14.565999269485474,bigbrain_0_2416_4865.nii,156951
save_incremented,14.566425085067749,28.38896942138672,bigbrain_0_2416_4865.nii,156951
load_img,5.51902961730957,5.5209801197052,bigbrain_0_2416_2780.nii,156957
increment_data,5.521613836288452,14.54971981048584,bigbrain_0_2416_2780.nii,156957
save_incremented,14.550196886062622,29.104220628738403,bigbrain_0_2416_2780.nii,156957
load_img,5.536894798278809,5.539843797683716,bigbrain_0_4228_4865.nii,156960
increment_data,5.540694713592529,12.59744119644165,bigbrain_0_4228_4865.nii,156960
save_incremented,12.600025653839111,29.54715323448181,bigbrain_0_4228_4865.nii,156960
load_img,5.542764902114868,5.54468297958374,bigbrain_0_3624_695.nii,156966
increment_data,5.545381546020508,12.897812366485596,bigbrain_0_3624_695.nii,156966
save_incremented,12.90027379989624,28.79706573486328,bigbrain_0_3624_695.nii,156966
load_img,5.55651330947876,5.561765193939209,bigbrain_0_3020_4865.nii,156969
increment_data,5.563520431518555,14.671466588973999,bigbrain_0_3020_4865.nii,156969
save_incremented,14.67175817489624,23.98804497718811,bigbrain_0_3020_4865.nii,156969
load_img,5.5591065883636475,5.563169479370117,bigbrain_0_3020_4865.nii,156963
increment_data,5.563849210739136,14.671469926834106,bigbrain_0_3020_4865.nii,156963
save_incremented,14.67193865776062,24.056836128234863,bigbrain_0_3020_4865.nii,156963
