driver_program,0,2442.66517829895,/home/val/spark-1570895287-localAD_1it_25cpus_120delay_withpc_em-0,allfiles
load_img,5.797662258148193,5.890329599380493,bigbrain_0_3020_2780.nii,148959
increment_data,5.891265869140625,15.867061138153076,bigbrain_0_3020_2780.nii,148959
save_incremented,15.867217063903809,16.646751880645752,bigbrain_0_3020_2780.nii,148959
load_img,5.888769626617432,5.890714168548584,bigbrain_0_3020_2780.nii,148965
increment_data,5.89125919342041,15.86680293083191,bigbrain_0_3020_2780.nii,148965
save_incremented,15.866997480392456,52.39525866508484,bigbrain_0_3020_2780.nii,148965
load_img,5.870378732681274,5.958385944366455,bigbrain_0_3624_695.nii,148960
increment_data,5.959201812744141,16.080472707748413,bigbrain_0_3624_695.nii,148960
save_incremented,16.081063508987427,16.79008150100708,bigbrain_0_3624_695.nii,148960
load_img,5.884156703948975,5.95849609375,bigbrain_0_3020_4865.nii,148968
increment_data,5.959288120269775,16.032203435897827,bigbrain_0_3020_4865.nii,148968
save_incremented,16.032575368881226,74.4181797504425,bigbrain_0_3020_4865.nii,148968
load_img,5.964171409606934,5.967131853103638,bigbrain_0_3020_2780.nii,148983
increment_data,5.967902898788452,15.867052793502808,bigbrain_0_3020_2780.nii,148983
save_incremented,15.867237329483032,16.675269842147827,bigbrain_0_3020_2780.nii,148983
load_img,5.988405466079712,5.990020751953125,bigbrain_0_3020_4865.nii,148992
increment_data,5.990467071533203,16.08811855316162,bigbrain_0_3020_4865.nii,148992
save_incremented,16.088297128677368,16.83586072921753,bigbrain_0_3020_4865.nii,148992
load_img,5.995715856552124,5.998673439025879,bigbrain_0_3020_2780.nii,149027
increment_data,5.999459743499756,15.833374500274658,bigbrain_0_3020_2780.nii,149027
save_incremented,15.833769798278809,16.86610174179077,bigbrain_0_3020_2780.nii,149027
load_img,6.0055155754089355,6.008490800857544,bigbrain_0_3020_4865.nii,149007
increment_data,6.009270668029785,16.08891797065735,bigbrain_0_3020_4865.nii,149007
save_incremented,16.089213371276855,16.84801697731018,bigbrain_0_3020_4865.nii,149007
load_img,6.008743762969971,6.01082706451416,bigbrain_0_3624_695.nii,149015
increment_data,6.011307239532471,16.079263925552368,bigbrain_0_3624_695.nii,149015
save_incremented,16.079590559005737,16.788633584976196,bigbrain_0_3624_695.nii,149015
load_img,5.9889349937438965,6.011590957641602,bigbrain_0_2416_4865.nii,149003
increment_data,6.012346267700195,16.107644081115723,bigbrain_0_2416_4865.nii,149003
save_incremented,16.107813119888306,17.131601333618164,bigbrain_0_2416_4865.nii,149003
load_img,5.937878370285034,6.01168966293335,bigbrain_0_2416_4865.nii,148980
increment_data,6.012457609176636,16.107887506484985,bigbrain_0_2416_4865.nii,148980
save_incremented,16.108057498931885,16.96798038482666,bigbrain_0_2416_4865.nii,148980
load_img,5.898161888122559,6.0117692947387695,bigbrain_0_2416_4865.nii,148971
increment_data,6.012533664703369,16.10788917541504,bigbrain_0_2416_4865.nii,148971
save_incremented,16.10805344581604,16.968177556991577,bigbrain_0_2416_4865.nii,148971
load_img,6.01024317741394,6.012122392654419,bigbrain_0_3624_695.nii,149037
increment_data,6.012664079666138,16.04412055015564,bigbrain_0_3624_695.nii,149037
save_incremented,16.04439663887024,69.74218511581421,bigbrain_0_3624_695.nii,149037
load_img,6.01315975189209,6.0153937339782715,bigbrain_0_2416_4865.nii,149045
increment_data,6.015972852706909,16.04256272315979,bigbrain_0_2416_4865.nii,149045
save_incremented,16.04277539253235,66.47502756118774,bigbrain_0_2416_4865.nii,149045
load_img,6.006996154785156,6.038937091827393,bigbrain_0_2416_2780.nii,149019
increment_data,6.039521217346191,16.081773281097412,bigbrain_0_2416_2780.nii,149019
save_incremented,16.08193850517273,16.947895765304565,bigbrain_0_2416_2780.nii,149019
load_img,5.992400169372559,6.039423704147339,bigbrain_0_2416_2780.nii,149031
