driver_program,0,63.152729749679565,/dev/shm/val/spark-1570930948-tmpfsAD_1it_96cpus_0delay_npc_em-2,allfiles
load_img,62.019689083099365,62.02106213569641,bigbrain_0_2416_4865.nii,165914
increment_data,62.02128553390503,62.4103729724884,bigbrain_0_2416_4865.nii,165914
save_incremented,62.41058158874512,63.11371302604675,bigbrain_0_2416_4865.nii,165914
load_img,61.52534317970276,61.52624869346619,bigbrain_0_3624_695.nii,165881
increment_data,61.52641773223877,61.90175151824951,bigbrain_0_3624_695.nii,165881
save_incremented,61.90189838409424,62.42556715011597,bigbrain_0_3624_695.nii,165881
load_img,60.93677997589111,60.93776321411133,bigbrain_0_0_6255.nii,165914
increment_data,60.93794393539429,61.319642543792725,bigbrain_0_0_6255.nii,165914
save_incremented,61.31979060173035,62.01697850227356,bigbrain_0_0_6255.nii,165914
load_img,60.90621757507324,60.907124757766724,bigbrain_0_3020_4865.nii,165758
increment_data,60.90729284286499,61.251877546310425,bigbrain_0_3020_4865.nii,165758
save_incremented,61.252032995224,61.82963514328003,bigbrain_0_3020_4865.nii,165758
load_img,60.62954831123352,60.630441665649414,bigbrain_0_4228_695.nii,165881
increment_data,60.630616426467896,61.00572371482849,bigbrain_0_4228_695.nii,165881
save_incremented,61.00588297843933,61.522770404815674,bigbrain_0_4228_695.nii,165881
load_img,59.983067750930786,59.983986139297485,bigbrain_0_1208_4865.nii,165758
increment_data,59.98415017127991,60.33185410499573,bigbrain_0_1208_4865.nii,165758
save_incremented,60.33200240135193,60.90338444709778,bigbrain_0_1208_4865.nii,165758
load_img,59.83735489845276,59.838332414627075,bigbrain_0_1812_4865.nii,165914
increment_data,59.838512659072876,60.22053408622742,bigbrain_0_1812_4865.nii,165914
save_incremented,60.22068381309509,60.934208393096924,bigbrain_0_1812_4865.nii,165914
load_img,59.69521737098694,59.69612956047058,bigbrain_0_3020_2085.nii,165881
increment_data,59.69630479812622,60.072556018829346,bigbrain_0_3020_2085.nii,165881
save_incremented,60.07269835472107,60.62697505950928,bigbrain_0_3020_2085.nii,165881
load_img,59.06059122085571,59.06149220466614,bigbrain_0_0_2780.nii,165758
increment_data,59.061660051345825,59.40635132789612,bigbrain_0_0_2780.nii,165758
save_incremented,59.40650796890259,59.98028373718262,bigbrain_0_0_2780.nii,165758
load_img,58.75775337219238,58.758524656295776,bigbrain_0_1812_2085.nii,165881
increment_data,58.7586567401886,59.136133909225464,bigbrain_0_1812_2085.nii,165881
save_incremented,59.13627338409424,59.6926212310791,bigbrain_0_1812_2085.nii,165881
load_img,58.755939245224,58.75691223144531,bigbrain_0_4228_1390.nii,165914
increment_data,58.75708341598511,59.13868975639343,bigbrain_0_4228_1390.nii,165914
save_incremented,59.13880634307861,59.834726095199585,bigbrain_0_4228_1390.nii,165914
load_img,58.132049798965454,58.13297486305237,bigbrain_0_3020_3475.nii,165758
increment_data,58.13314938545227,58.477778911590576,bigbrain_0_3020_3475.nii,165758
save_incremented,58.47796058654785,59.057748794555664,bigbrain_0_3020_3475.nii,165758
load_img,57.82900524139404,57.829891204833984,bigbrain_0_1208_2085.nii,165881
increment_data,57.83015561103821,58.205504417419434,bigbrain_0_1208_2085.nii,165881
save_incremented,58.20564007759094,58.755194664001465,bigbrain_0_1208_2085.nii,165881
load_img,57.65681433677673,57.657750606536865,bigbrain_0_0_2085.nii,165914
increment_data,57.65808057785034,58.03847026824951,bigbrain_0_0_2085.nii,165914
save_incremented,58.038620710372925,58.7533016204834,bigbrain_0_0_2085.nii,165914
load_img,57.21700692176819,57.21792531013489,bigbrain_0_1208_6255.nii,165758
increment_data,57.21818208694458,57.56141209602356,bigbrain_0_1208_6255.nii,165758
save_incremented,57.56159234046936,58.1292827129364,bigbrain_0_1208_6255.nii,165758
load_img,56.914944648742676,56.915849685668945,bigbrain_0_2416_2085.nii,165881
increment_data,56.91602563858032,57.291499376297,bigbrain_0_2416_2085.nii,165881
save_incremented,57.29162645339966,57.826371908187866,bigbrain_0_2416_2085.nii,165881
load_img,56.57711386680603,56.57811093330383,bigbrain_0_2416_6255.nii,165914
increment_data,56.57827544212341,56.95780825614929,bigbrain_0_2416_6255.nii,165914
save_incremented,56.9579598903656,57.654019355773926,bigbrain_0_2416_6255.nii,165914
load_img,56.29137349128723,56.29231643676758,bigbrain_0_4228_5560.nii,165758
increment_data,56.292484760284424,56.63945269584656,bigbrain_0_4228_5560.nii,165758
save_incremented,56.63959836959839,57.21415328979492,bigbrain_0_4228_5560.nii,165758
load_img,55.98985815048218,55.990822315216064,bigbrain_0_3624_3475.nii,165881
increment_data,55.99100708961487,56.36685848236084,bigbrain_0_3624_3475.nii,165881
save_incremented,56.36699104309082,56.91235709190369,bigbrain_0_3624_3475.nii,165881
load_img,55.4991979598999,55.50042796134949,bigbrain_0_2416_4170.nii,165914
increment_data,55.50080490112305,55.879167318344116,bigbrain_0_2416_4170.nii,165914
save_incremented,55.87931156158447,56.57440686225891,bigbrain_0_2416_4170.nii,165914
load_img,55.35983085632324,55.3607382774353,bigbrain_0_2416_1390.nii,165758
increment_data,55.360926151275635,55.709766149520874,bigbrain_0_2416_1390.nii,165758
save_incremented,55.7099347114563,56.288543939590454,bigbrain_0_2416_1390.nii,165758
load_img,55.0812451839447,55.082165479660034,bigbrain_0_0_4865.nii,165881
increment_data,55.08234238624573,55.45770978927612,bigbrain_0_0_4865.nii,165881
save_incremented,55.45785737037659,55.987265825271606,bigbrain_0_0_4865.nii,165881
load_img,54.44752097129822,54.448450565338135,bigbrain_0_0_4170.nii,165758
increment_data,54.448620557785034,54.79800224304199,bigbrain_0_0_4170.nii,165758
save_incremented,54.79815053939819,55.357001066207886,bigbrain_0_0_4170.nii,165758
load_img,54.42270231246948,54.423725605010986,bigbrain_0_0_5560.nii,165914
increment_data,54.42392063140869,54.807482957839966,bigbrain_0_0_5560.nii,165914
save_incremented,54.808003664016724,55.496337890625,bigbrain_0_0_5560.nii,165914
load_img,54.183966398239136,54.18485736846924,bigbrain_0_3020_1390.nii,165881
increment_data,54.18503785133362,54.56046223640442,bigbrain_0_3020_1390.nii,165881
save_incremented,54.560606718063354,55.0785346031189,bigbrain_0_3020_1390.nii,165881
load_img,53.54576396942139,53.54703950881958,bigbrain_0_2416_3475.nii,165758
increment_data,53.54726529121399,53.89948010444641,bigbrain_0_2416_3475.nii,165758
save_incremented,53.899619817733765,54.444716930389404,bigbrain_0_2416_3475.nii,165758
load_img,53.48476004600525,53.485684633255005,bigbrain_0_3624_2780.nii,165914
increment_data,53.485862016677856,53.83082890510559,bigbrain_0_3624_2780.nii,165914
save_incremented,53.83098864555359,54.41918134689331,bigbrain_0_3624_2780.nii,165914
load_img,53.288681507110596,53.290101766586304,bigbrain_0_2416_5560.nii,165881
increment_data,53.29039168357849,53.66529417037964,bigbrain_0_2416_5560.nii,165881
save_incremented,53.66544008255005,54.181373596191406,bigbrain_0_2416_5560.nii,165881
load_img,52.663891315460205,52.66481280326843,bigbrain_0_0_1390.nii,165758
increment_data,52.66499185562134,53.01984763145447,bigbrain_0_0_1390.nii,165758
save_incremented,53.01999068260193,53.54286742210388,bigbrain_0_0_1390.nii,165758
load_img,52.606300830841064,52.60736346244812,bigbrain_0_3624_5560.nii,165914
increment_data,52.60757374763489,52.959238052368164,bigbrain_0_3624_5560.nii,165914
save_incremented,52.959396839141846,53.48196268081665,bigbrain_0_3624_5560.nii,165914
load_img,52.13429069519043,52.13536715507507,bigbrain_0_4228_4865.nii,165826
increment_data,52.13560771942139,52.54723501205444,bigbrain_0_4228_4865.nii,165826
save_incremented,52.54740047454834,53.28732967376709,bigbrain_0_4228_4865.nii,165826
load_img,51.917022466659546,51.91801977157593,bigbrain_0_4228_4865.nii,165668
increment_data,51.918235063552856,52.328815937042236,bigbrain_0_4228_4865.nii,165668
save_incremented,52.32894706726074,53.12819790840149,bigbrain_0_4228_4865.nii,165668
