driver_program,0,60.31453561782837,/dev/shm/val/spark-1570915214-tmpfsAD_1it_96cpus_0delay_npc_em-1,allfiles
load_img,59.40672445297241,59.407630920410156,bigbrain_0_4228_6255.nii,158267
increment_data,59.407798767089844,59.745023012161255,bigbrain_0_4228_6255.nii,158267
save_incremented,59.745157957077026,60.27614164352417,bigbrain_0_4228_6255.nii,158267
load_img,58.53687572479248,58.53789782524109,bigbrain_0_3624_4865.nii,158267
increment_data,58.538268089294434,58.875622034072876,bigbrain_0_3624_4865.nii,158267
save_incremented,58.875757932662964,59.40413165092468,bigbrain_0_3624_4865.nii,158267
load_img,57.66270303726196,57.66358661651611,bigbrain_0_4228_2780.nii,158267
increment_data,57.66374611854553,58.0021333694458,bigbrain_0_4228_2780.nii,158267
save_incremented,58.00234913825989,58.534300327301025,bigbrain_0_4228_2780.nii,158267
load_img,56.793190717697144,56.79408264160156,bigbrain_0_4228_2085.nii,158267
increment_data,56.7942476272583,57.13188123703003,bigbrain_0_4228_2085.nii,158267
save_incremented,57.13201880455017,57.66015100479126,bigbrain_0_4228_2085.nii,158267
load_img,55.92862892150879,55.92950773239136,bigbrain_0_1812_2780.nii,158267
increment_data,55.92983531951904,56.267247438430786,bigbrain_0_1812_2780.nii,158267
save_incremented,56.26738238334656,56.79056429862976,bigbrain_0_1812_2780.nii,158267
load_img,55.07236862182617,55.07325887680054,bigbrain_0_3020_695.nii,158267
increment_data,55.07342457771301,55.411773920059204,bigbrain_0_3020_695.nii,158267
save_incremented,55.41190147399902,55.926002740859985,bigbrain_0_3020_695.nii,158267
load_img,54.17140173912048,54.17230987548828,bigbrain_0_1208_3475.nii,158267
increment_data,54.172484397888184,54.52052974700928,bigbrain_0_1208_3475.nii,158267
save_incremented,54.52067255973816,55.069729804992676,bigbrain_0_1208_3475.nii,158267
load_img,53.867295026779175,53.86821007728577,bigbrain_0_2416_4865.nii,158364
increment_data,53.868374824523926,54.24863362312317,bigbrain_0_2416_4865.nii,158364
save_incremented,54.24880361557007,54.795515298843384,bigbrain_0_2416_4865.nii,158364
load_img,53.2693030834198,53.27023196220398,bigbrain_0_1812_0.nii,158267
increment_data,53.27041816711426,53.6274836063385,bigbrain_0_1812_0.nii,158267
save_incremented,53.62762475013733,54.16862654685974,bigbrain_0_1812_0.nii,158267
load_img,53.08440136909485,53.08541226387024,bigbrain_0_3020_2780.nii,158413
increment_data,53.08561849594116,53.48230457305908,bigbrain_0_3020_2780.nii,158413
save_incremented,53.48280096054077,54.89864802360535,bigbrain_0_3020_2780.nii,158413
load_img,53.05201768875122,53.05304169654846,bigbrain_0_3020_2780.nii,158315
increment_data,53.053237199783325,53.449612855911255,bigbrain_0_3020_2780.nii,158315
save_incremented,53.4498507976532,54.45276594161987,bigbrain_0_3020_2780.nii,158315
load_img,52.89743733406067,52.898372173309326,bigbrain_0_0_6255.nii,158364
increment_data,52.898555755615234,53.29530143737793,bigbrain_0_0_6255.nii,158364
save_incremented,53.29545855522156,53.86460852622986,bigbrain_0_0_6255.nii,158364
load_img,52.741737365722656,52.74271273612976,bigbrain_0_3020_2780.nii,158400
increment_data,52.74292206764221,53.11383867263794,bigbrain_0_3020_2780.nii,158400
save_incremented,53.11396050453186,54.01127552986145,bigbrain_0_3020_2780.nii,158400
load_img,52.692054271698,52.69344973564148,bigbrain_0_3020_2780.nii,158438
increment_data,52.69383120536804,53.1052360534668,bigbrain_0_3020_2780.nii,158438
save_incremented,53.105366706848145,54.35751152038574,bigbrain_0_3020_2780.nii,158438
load_img,52.68608212471008,52.686989545822144,bigbrain_0_3020_2780.nii,158408
increment_data,52.68716239929199,53.10460662841797,bigbrain_0_3020_2780.nii,158408
save_incremented,53.10476851463318,54.57582902908325,bigbrain_0_3020_2780.nii,158408
load_img,52.64439105987549,52.64531755447388,bigbrain_0_3020_2780.nii,158482
increment_data,52.64550280570984,53.0089054107666,bigbrain_0_3020_2780.nii,158482
save_incremented,53.00905752182007,53.971747398376465,bigbrain_0_3020_2780.nii,158482
load_img,52.31691312789917,52.31783199310303,bigbrain_0_3020_0.nii,158267
increment_data,52.31802940368652,52.675551414489746,bigbrain_0_3020_0.nii,158267
save_incremented,52.67569661140442,53.26634097099304,bigbrain_0_3020_0.nii,158267
load_img,52.08775329589844,52.088595151901245,bigbrain_0_2416_4865.nii,158368
increment_data,52.088757276535034,52.45079040527344,bigbrain_0_2416_4865.nii,158368
save_incremented,52.450939893722534,53.43159794807434,bigbrain_0_2416_4865.nii,158368
load_img,51.90454912185669,51.90569019317627,bigbrain_0_1812_4865.nii,158364
increment_data,51.90594530105591,52.30400538444519,bigbrain_0_1812_4865.nii,158364
save_incremented,52.3041627407074,52.89452624320984,bigbrain_0_1812_4865.nii,158364
load_img,51.663870334625244,51.66510462760925,bigbrain_0_2416_4865.nii,158251
increment_data,51.66534996032715,52.06118869781494,bigbrain_0_2416_4865.nii,158251
save_incremented,52.06133794784546,52.940348386764526,bigbrain_0_2416_4865.nii,158251
load_img,51.63131237030029,51.63238739967346,bigbrain_0_2416_4865.nii,158393
increment_data,51.63260340690613,52.043832302093506,bigbrain_0_2416_4865.nii,158393
save_incremented,52.043964862823486,52.9397668838501,bigbrain_0_2416_4865.nii,158393
load_img,51.619359731674194,51.62038850784302,bigbrain_0_3624_695.nii,158272
increment_data,51.620596408843994,52.036564350128174,bigbrain_0_3624_695.nii,158272
save_incremented,52.03671145439148,52.58672642707825,bigbrain_0_3624_695.nii,158272
load_img,51.59712100028992,51.5985472202301,bigbrain_0_2416_4865.nii,158563
increment_data,51.599050760269165,52.010781049728394,bigbrain_0_2416_4865.nii,158563
save_incremented,52.01092529296875,52.97671866416931,bigbrain_0_2416_4865.nii,158563
load_img,51.59042763710022,51.59299063682556,bigbrain_0_3020_2780.nii,158573
increment_data,51.59320545196533,52.00531816482544,bigbrain_0_3020_2780.nii,158573
save_incremented,52.00547409057617,52.6085729598999,bigbrain_0_3020_2780.nii,158573
load_img,51.34972405433655,51.35073637962341,bigbrain_0_4228_4170.nii,158267
increment_data,51.35096502304077,51.721524477005005,bigbrain_0_4228_4170.nii,158267
save_incremented,51.72168731689453,52.3139967918396,bigbrain_0_4228_4170.nii,158267
load_img,51.326072692871094,51.32701134681702,bigbrain_0_0_0.nii,158408
increment_data,51.32719135284424,51.729511737823486,bigbrain_0_0_0.nii,158408
save_incremented,51.72968626022339,52.6829149723053,bigbrain_0_0_0.nii,158408
load_img,51.115042209625244,51.11610174179077,bigbrain_0_2416_4865.nii,158289
increment_data,51.11631917953491,51.493250608444214,bigbrain_0_2416_4865.nii,158289
save_incremented,51.494420289993286,52.19242334365845,bigbrain_0_2416_4865.nii,158289
load_img,51.035051584243774,51.03606986999512,bigbrain_0_0_0.nii,158438
increment_data,51.036274671554565,51.40768599510193,bigbrain_0_0_0.nii,158438
save_incremented,51.40792679786682,52.68888020515442,bigbrain_0_0_0.nii,158438
load_img,50.915284395217896,50.916258335113525,bigbrain_0_0_0.nii,158482
increment_data,50.91645646095276,51.283687114715576,bigbrain_0_0_0.nii,158482
save_incremented,51.28384184837341,52.64152383804321,bigbrain_0_0_0.nii,158482
load_img,50.880661487579346,50.88170576095581,bigbrain_0_4228_1390.nii,158364
increment_data,50.88192820549011,51.287785053253174,bigbrain_0_4228_1390.nii,158364
