driver_program,0,169.11291670799255,/dev/shm/val/spark-1570965525-tmpfs_1it_25cpus_60delay_withpc-0,allfiles
load_img,167.6664798259735,167.66757321357727,bigbrain_3850_604_5560.nii,113363
increment_data,167.66776084899902,168.45692324638367,bigbrain_3850_604_5560.nii,113363
save_incremented,168.45710802078247,169.07329177856445,bigbrain_3850_604_5560.nii,113363
load_img,167.39702916145325,167.39849972724915,bigbrain_4620_1208_4170.nii,113348
increment_data,167.3988540172577,168.09212970733643,bigbrain_4620_1208_4170.nii,113348
save_incremented,168.09229230880737,168.79327654838562,bigbrain_4620_1208_4170.nii,113348
load_img,167.28946137428284,167.2914433479309,bigbrain_0_3020_3475.nii,113343
increment_data,167.2917127609253,167.99252653121948,bigbrain_0_3020_3475.nii,113343
save_incremented,167.99276208877563,168.68874096870422,bigbrain_0_3020_3475.nii,113343
load_img,167.23641514778137,167.23753476142883,bigbrain_5390_2416_6255.nii,113388
increment_data,167.23774194717407,167.95728754997253,bigbrain_5390_2416_6255.nii,113388
save_incremented,167.9574956893921,168.68427348136902,bigbrain_5390_2416_6255.nii,113388
load_img,166.11305856704712,166.11406588554382,bigbrain_6930_5436_695.nii,113363
increment_data,166.11424612998962,166.99760246276855,bigbrain_6930_5436_695.nii,113363
save_incremented,166.99778604507446,167.66370248794556,bigbrain_6930_5436_695.nii,113363
load_img,166.10902500152588,166.11013317108154,bigbrain_6160_4832_2085.nii,113405
increment_data,166.11037063598633,166.96938133239746,bigbrain_6160_4832_2085.nii,113405
save_incremented,166.96956372261047,167.5334930419922,bigbrain_6160_4832_2085.nii,113405
load_img,165.91674613952637,165.91779327392578,bigbrain_1540_3624_2085.nii,113354
increment_data,165.91799020767212,166.71447610855103,bigbrain_1540_3624_2085.nii,113354
save_incremented,166.71465253829956,167.45464181900024,bigbrain_1540_3624_2085.nii,113354
load_img,165.64816665649414,165.64911246299744,bigbrain_6930_1812_4170.nii,113343
increment_data,165.64927625656128,166.46139788627625,bigbrain_6930_1812_4170.nii,113343
