driver_program,0,933.0610663890839,/pmem1-data/val/spark-1570584010-optaneAD_1it_96cpus_0delay_npc-3,allfiles
load_img,102.82567238807678,103.74655055999756,bigbrain_6930_604_4170.nii,118778
increment_data,103.7589464187622,106.5110514163971,bigbrain_6930_604_4170.nii,118778
save_incremented,106.51181888580322,112.76947450637817,bigbrain_6930_604_4170.nii,118778
load_img,103.21008253097534,104.97053861618042,bigbrain_1540_3020_4170.nii,118772
increment_data,104.98998856544495,107.4912645816803,bigbrain_1540_3020_4170.nii,118772
save_incremented,107.49194550514221,160.5057601928711,bigbrain_1540_3020_4170.nii,118772
load_img,103.52536606788635,104.9896559715271,bigbrain_4620_604_2085.nii,118766
increment_data,105.00182795524597,107.74509119987488,bigbrain_4620_604_2085.nii,118766
save_incremented,107.74593925476074,114.28936243057251,bigbrain_4620_604_2085.nii,118766
load_img,103.66590762138367,104.9839301109314,bigbrain_2310_2416_6255.nii,118853
increment_data,105.00545954704285,107.32533049583435,bigbrain_2310_2416_6255.nii,118853
save_incremented,107.32846570014954,113.81176352500916,bigbrain_2310_2416_6255.nii,118853
load_img,103.28325653076172,105.04569101333618,bigbrain_0_4228_4865.nii,118775
increment_data,105.05393075942993,107.80656409263611,bigbrain_0_4228_4865.nii,118775
save_incremented,107.80752539634705,148.48517537117004,bigbrain_0_4228_4865.nii,118775
load_img,103.71615529060364,105.06113815307617,bigbrain_3850_2416_4865.nii,118942
increment_data,105.06879138946533,107.11268258094788,bigbrain_3850_2416_4865.nii,118942
save_incremented,107.11491560935974,111.57682180404663,bigbrain_3850_2416_4865.nii,118942
load_img,103.54988670349121,105.08784246444702,bigbrain_3850_0_1390.nii,118781
increment_data,105.09753108024597,107.9582211971283,bigbrain_3850_0_1390.nii,118781
save_incremented,107.95936918258667,114.3453905582428,bigbrain_3850_0_1390.nii,118781
load_img,103.3097631931305,105.09274482727051,bigbrain_6930_5436_2780.nii,118805
increment_data,105.10665082931519,108.16305041313171,bigbrain_6930_5436_2780.nii,118805
save_incremented,108.16399574279785,112.63331604003906,bigbrain_6930_5436_2780.nii,118805
load_img,103.59894251823425,105.16977286338806,bigbrain_4620_4832_2780.nii,118790
increment_data,105.17722535133362,107.75623106956482,bigbrain_4620_4832_2780.nii,118790
save_incremented,107.75706028938293,124.79040217399597,bigbrain_4620_4832_2780.nii,118790
load_img,103.7248432636261,105.18087935447693,bigbrain_5390_604_5560.nii,118814
increment_data,105.19192004203796,107.63590049743652,bigbrain_5390_604_5560.nii,118814
save_incremented,107.67009782791138,112.90835666656494,bigbrain_5390_604_5560.nii,118814
load_img,103.68802905082703,105.20238757133484,bigbrain_770_3624_4170.nii,118799
increment_data,105.21344947814941,108.0043134689331,bigbrain_770_3624_4170.nii,118799
save_incremented,108.00580477714539,147.8543336391449,bigbrain_770_3624_4170.nii,118799
load_img,103.37345314025879,105.20581936836243,bigbrain_1540_3020_695.nii,118787
increment_data,105.21358871459961,108.15230226516724,bigbrain_1540_3020_695.nii,118787
save_incremented,108.15825486183167,122.00656723976135,bigbrain_1540_3020_695.nii,118787
load_img,103.95290517807007,105.30406188964844,bigbrain_1540_2416_695.nii,118925
increment_data,105.31129860877991,107.59732604026794,bigbrain_1540_2416_695.nii,118925
save_incremented,107.60465669631958,111.86690831184387,bigbrain_1540_2416_695.nii,118925
load_img,103.50473952293396,105.33682751655579,bigbrain_2310_0_695.nii,118823
increment_data,105.34581017494202,108.35433506965637,bigbrain_2310_0_695.nii,118823
save_incremented,108.35562825202942,138.9282569885254,bigbrain_2310_0_695.nii,118823
load_img,104.18670272827148,105.34406089782715,bigbrain_2310_2416_0.nii,118820
increment_data,105.35089182853699,107.6319968700409,bigbrain_2310_2416_0.nii,118820
save_incremented,107.6644926071167,113.86177062988281,bigbrain_2310_2416_0.nii,118820
load_img,103.91020584106445,105.35823392868042,bigbrain_0_604_1390.nii,118961
increment_data,105.36510467529297,108.3601233959198,bigbrain_0_604_1390.nii,118961
save_incremented,108.36069893836975,166.12106466293335,bigbrain_0_604_1390.nii,118961
load_img,104.21019983291626,105.36115717887878,bigbrain_770_1208_695.nii,118949
increment_data,105.36969804763794,108.06685471534729,bigbrain_770_1208_695.nii,118949
save_incremented,108.06812167167664,162.00613927841187,bigbrain_770_1208_695.nii,118949
load_img,104.07846283912659,105.39768719673157,bigbrain_1540_1812_3475.nii,118973
increment_data,105.40553617477417,108.0217080116272,bigbrain_1540_1812_3475.nii,118973
save_incremented,108.02278685569763,155.71671509742737,bigbrain_1540_1812_3475.nii,118973
load_img,104.23758959770203,105.39992332458496,bigbrain_3850_4832_4170.nii,118865
increment_data,105.40737295150757,108.10347008705139,bigbrain_3850_4832_4170.nii,118865
save_incremented,108.1051082611084,156.35570740699768,bigbrain_3850_4832_4170.nii,118865
load_img,103.78393244743347,105.41320872306824,bigbrain_3850_1208_1390.nii,118856
increment_data,105.41969895362854,108.13056898117065,bigbrain_3850_1208_1390.nii,118856
save_incremented,108.13461208343506,137.24848628044128,bigbrain_3850_1208_1390.nii,118856
load_img,103.99109244346619,105.4356780052185,bigbrain_6160_4832_2085.nii,118802
increment_data,105.44648957252502,108.27877879142761,bigbrain_6160_4832_2085.nii,118802
save_incremented,108.27942419052124,113.2928740978241,bigbrain_6160_4832_2085.nii,118802
load_img,103.51100087165833,105.45694375038147,bigbrain_2310_3020_5560.nii,118796
increment_data,105.46622395515442,109.15849351882935,bigbrain_2310_3020_5560.nii,118796
save_incremented,109.15916919708252,120.75542616844177,bigbrain_2310_3020_5560.nii,118796
load_img,104.06099677085876,105.46532130241394,bigbrain_4620_2416_4170.nii,118985
increment_data,105.48127889633179,108.5613145828247,bigbrain_4620_2416_4170.nii,118985
save_incremented,108.56389117240906,135.6581048965454,bigbrain_4620_2416_4170.nii,118985
load_img,103.647456407547,105.4958438873291,bigbrain_6160_5436_5560.nii,118826
increment_data,105.50495743751526,108.35380053520203,bigbrain_6160_5436_5560.nii,118826
save_incremented,108.3546290397644,166.925048828125,bigbrain_6160_5436_5560.nii,118826
load_img,103.81813764572144,105.50404596328735,bigbrain_770_3020_3475.nii,118874
increment_data,105.5163004398346,108.38475251197815,bigbrain_770_3020_3475.nii,118874
save_incremented,108.38594675064087,166.77171754837036,bigbrain_770_3020_3475.nii,118874
load_img,103.89253973960876,105.50493001937866,bigbrain_3080_4228_0.nii,118808
increment_data,105.51650285720825,108.89182424545288,bigbrain_3080_4228_0.nii,118808
save_incremented,108.89301800727844,153.42225193977356,bigbrain_3080_4228_0.nii,118808
load_img,104.11207890510559,105.51031970977783,bigbrain_1540_1208_2085.nii,118919
increment_data,105.52036929130554,108.36094498634338,bigbrain_1540_1208_2085.nii,118919
save_incremented,108.36223077774048,112.14133930206299,bigbrain_1540_1208_2085.nii,118919
load_img,104.09077453613281,105.51527142524719,bigbrain_1540_3624_695.nii,118832
increment_data,105.52286696434021,108.05727696418762,bigbrain_1540_3624_695.nii,118832
save_incremented,108.06483054161072,147.97005200386047,bigbrain_1540_3624_695.nii,118832
load_img,104.01682543754578,105.52249717712402,bigbrain_3080_1208_5560.nii,118904
increment_data,105.52952599525452,107.87116575241089,bigbrain_3080_1208_5560.nii,118904
save_incremented,107.87209105491638,169.08707571029663,bigbrain_3080_1208_5560.nii,118904
load_img,103.95286059379578,105.54494047164917,bigbrain_4620_4832_4170.nii,118767
increment_data,105.55430173873901,108.16357398033142,bigbrain_4620_4832_4170.nii,118767
save_incremented,108.16504502296448,118.9023027420044,bigbrain_4620_4832_4170.nii,118767
load_img,103.76032185554504,105.55329275131226,bigbrain_4620_5436_4170.nii,118838
increment_data,105.56006264686584,108.94214415550232,bigbrain_4620_5436_4170.nii,118838
save_incremented,108.94269490242004,124.10929226875305,bigbrain_4620_5436_4170.nii,118838
load_img,104.22541213035583,105.55462312698364,bigbrain_5390_5436_6255.nii,118970
increment_data,105.56443953514099,109.0817391872406,bigbrain_5390_5436_6255.nii,118970
save_incremented,109.08239412307739,156.84178233146667,bigbrain_5390_5436_6255.nii,118970
load_img,104.20572209358215,105.58642935752869,bigbrain_6930_1812_695.nii,118886
increment_data,105.59428215026855,108.9125452041626,bigbrain_6930_1812_695.nii,118886
save_incremented,108.91874670982361,131.62997364997864,bigbrain_6930_1812_695.nii,118886
load_img,104.26856446266174,105.58904838562012,bigbrain_2310_604_2780.nii,118916
increment_data,105.59652972221375,108.11611723899841,bigbrain_2310_604_2780.nii,118916
save_incremented,108.11919951438904,148.5181074142456,bigbrain_2310_604_2780.nii,118916
load_img,104.35489439964294,105.59037137031555,bigbrain_2310_0_3475.nii,119051
increment_data,105.60133004188538,109.1088616847992,bigbrain_2310_0_3475.nii,119051
save_incremented,109.10952401161194,154.610445022583,bigbrain_2310_0_3475.nii,119051
load_img,104.47342944145203,105.60838341712952,bigbrain_6160_3020_5560.nii,118928
