driver_program,0,912.8836727142334,/pmem1-data/val/spark-1570598928-optaneAD_1it_25cpus_120delay_withpc-4,allfiles
load_img,24.18988037109375,24.587926626205444,bigbrain_2310_604_2780.nii,125080
increment_data,24.590632915496826,25.396611213684082,bigbrain_2310_604_2780.nii,125080
save_incremented,25.396984815597534,26.902873039245605,bigbrain_2310_604_2780.nii,125080
load_img,24.4020574092865,24.79851984977722,bigbrain_4620_2416_3475.nii,125137
increment_data,24.801624059677124,25.50003457069397,bigbrain_4620_2416_3475.nii,125137
save_incremented,25.500267028808594,32.66558313369751,bigbrain_4620_2416_3475.nii,125137
load_img,24.913527011871338,25.32148003578186,bigbrain_0_4228_4865.nii,125089
increment_data,25.325172424316406,26.10247802734375,bigbrain_0_4228_4865.nii,125089
save_incremented,26.102784633636475,34.248292207717896,bigbrain_0_4228_4865.nii,125089
load_img,24.945808172225952,25.41593337059021,bigbrain_5390_5436_4170.nii,125086
increment_data,25.420312881469727,26.328547477722168,bigbrain_5390_5436_4170.nii,125086
save_incremented,26.328773260116577,29.346235513687134,bigbrain_5390_5436_4170.nii,125086
load_img,24.948607444763184,25.42246389389038,bigbrain_770_1208_695.nii,125081
increment_data,25.42674684524536,26.34252429008484,bigbrain_770_1208_695.nii,125081
save_incremented,26.34283757209778,29.379365921020508,bigbrain_770_1208_695.nii,125081
load_img,24.95833420753479,25.435006141662598,bigbrain_6160_0_1390.nii,125116
increment_data,25.439727067947388,26.3535053730011,bigbrain_6160_0_1390.nii,125116
save_incremented,26.3537495136261,29.37402653694153,bigbrain_6160_0_1390.nii,125116
load_img,25.007535934448242,25.514000177383423,bigbrain_3850_0_4865.nii,125095
increment_data,25.51819086074829,26.397305965423584,bigbrain_3850_0_4865.nii,125095
save_incremented,26.397682666778564,31.34312653541565,bigbrain_3850_0_4865.nii,125095
load_img,24.945811986923218,25.65388298034668,bigbrain_1540_4832_0.nii,125098
increment_data,25.65878438949585,26.550899744033813,bigbrain_1540_4832_0.nii,125098
save_incremented,26.551390171051025,31.752192497253418,bigbrain_1540_4832_0.nii,125098
load_img,25.49712634086609,26.00203824043274,bigbrain_4620_4832_2780.nii,125110
increment_data,26.00583028793335,26.758532524108887,bigbrain_4620_4832_2780.nii,125110
save_incremented,26.758782386779785,31.159781455993652,bigbrain_4620_4832_2780.nii,125110
load_img,25.51935338973999,26.01542329788208,bigbrain_6160_4832_3475.nii,125101
increment_data,26.019423007965088,26.776809453964233,bigbrain_6160_4832_3475.nii,125101
save_incremented,26.777064323425293,34.96526026725769,bigbrain_6160_4832_3475.nii,125101
load_img,25.44886612892151,26.019895792007446,bigbrain_770_3624_4170.nii,125146
increment_data,26.02416706085205,26.91043710708618,bigbrain_770_3624_4170.nii,125146
save_incremented,26.910849809646606,32.66657876968384,bigbrain_770_3624_4170.nii,125146
load_img,25.552323579788208,26.049601793289185,bigbrain_6930_1812_695.nii,125128
increment_data,26.053329944610596,26.81916046142578,bigbrain_6930_1812_695.nii,125128
save_incremented,26.81935977935791,35.35068106651306,bigbrain_6930_1812_695.nii,125128
load_img,25.563490629196167,26.059102296829224,bigbrain_6930_4832_5560.nii,125107
increment_data,26.062796115875244,26.81652045249939,bigbrain_6930_4832_5560.nii,125107
save_incremented,26.816723823547363,32.050395488739014,bigbrain_6930_4832_5560.nii,125107
load_img,25.526939630508423,26.082831859588623,bigbrain_6930_3020_2085.nii,125131
increment_data,26.08722186088562,26.981326580047607,bigbrain_6930_3020_2085.nii,125131
save_incremented,26.981773853302002,34.179620027542114,bigbrain_6930_3020_2085.nii,125131
load_img,25.53078842163086,26.0894935131073,bigbrain_6930_5436_2780.nii,125092
increment_data,26.095319747924805,26.99905037879944,bigbrain_6930_5436_2780.nii,125092
save_incremented,26.999984979629517,34.06417226791382,bigbrain_6930_5436_2780.nii,125092
load_img,25.604785919189453,26.095512866973877,bigbrain_6160_1208_3475.nii,125152
increment_data,26.099334716796875,26.847809314727783,bigbrain_6160_1208_3475.nii,125152
save_incremented,26.848004817962646,32.07306671142578,bigbrain_6160_1208_3475.nii,125152
load_img,25.547096014022827,26.098973035812378,bigbrain_6930_1208_6255.nii,125125
increment_data,26.103254079818726,27.00194811820984,bigbrain_6930_1208_6255.nii,125125
save_incremented,27.00230622291565,34.116339445114136,bigbrain_6930_1208_6255.nii,125125
load_img,25.625104188919067,26.11165142059326,bigbrain_3850_1812_695.nii,125104
increment_data,26.115237712860107,26.86091375350952,bigbrain_3850_1812_695.nii,125104
save_incremented,26.861109256744385,32.24487328529358,bigbrain_3850_1812_695.nii,125104
load_img,25.737162351608276,26.249653816223145,bigbrain_6160_1812_4170.nii,125113
increment_data,26.25383758544922,27.176774501800537,bigbrain_6160_1812_4170.nii,125113
save_incremented,27.176984310150146,33.89765477180481,bigbrain_6160_1812_4170.nii,125113
load_img,25.750748872756958,26.263662815093994,bigbrain_3080_4228_0.nii,125140
increment_data,26.267911672592163,27.189800262451172,bigbrain_3080_4228_0.nii,125140
save_incremented,27.190386533737183,33.925429821014404,bigbrain_3080_4228_0.nii,125140
load_img,25.839036464691162,26.290647983551025,bigbrain_2310_1208_0.nii,125143
increment_data,26.294233798980713,27.00820016860962,bigbrain_2310_1208_0.nii,125143
save_incremented,27.00842523574829,32.68478798866272,bigbrain_2310_1208_0.nii,125143
load_img,25.81564474105835,26.303028106689453,bigbrain_5390_0_4170.nii,125122
increment_data,26.3069269657135,27.125779390335083,bigbrain_5390_0_4170.nii,125122
save_incremented,27.12690043449402,35.706807374954224,bigbrain_5390_0_4170.nii,125122
load_img,25.868025541305542,26.319255590438843,bigbrain_0_1208_695.nii,125149
increment_data,26.32290530204773,27.03171181678772,bigbrain_0_1208_695.nii,125149
save_incremented,27.032582759857178,31.201162815093994,bigbrain_0_1208_695.nii,125149
load_img,25.99194622039795,26.53782343864441,bigbrain_6930_3624_6255.nii,125134
increment_data,26.541874885559082,27.701239824295044,bigbrain_6930_3624_6255.nii,125134
save_incremented,27.70311141014099,34.00879907608032,bigbrain_6930_3624_6255.nii,125134
load_img,26.003726720809937,26.543295860290527,bigbrain_1540_1812_3475.nii,125119
increment_data,26.547335863113403,27.69249963760376,bigbrain_1540_1812_3475.nii,125119
save_incremented,27.693986654281616,33.77347373962402,bigbrain_1540_1812_3475.nii,125119
load_img,30.736449480056763,31.176509380340576,bigbrain_0_1208_4170.nii,125080
increment_data,31.181006908416748,31.945648193359375,bigbrain_0_1208_4170.nii,125080
save_incremented,31.945866107940674,35.3988139629364,bigbrain_0_1208_4170.nii,125080
load_img,35.98097634315491,36.49430251121521,bigbrain_2310_2416_0.nii,125086
increment_data,36.49711799621582,37.48308038711548,bigbrain_2310_2416_0.nii,125086
save_incremented,37.48328399658203,40.289753913879395,bigbrain_2310_2416_0.nii,125086
load_img,36.15619897842407,36.673787355422974,bigbrain_6930_604_4170.nii,125081
increment_data,36.678654193878174,37.62355041503906,bigbrain_6930_604_4170.nii,125081
save_incremented,37.62384366989136,40.48383045196533,bigbrain_6930_604_4170.nii,125081
load_img,38.70926237106323,40.347471952438354,bigbrain_3080_5436_695.nii,125116
increment_data,40.350545167922974,41.10581016540527,bigbrain_3080_5436_695.nii,125116
save_incremented,41.105976819992065,42.30396127700806,bigbrain_3080_5436_695.nii,125116
load_img,48.47179317474365,48.933748722076416,bigbrain_6930_3624_5560.nii,125146
increment_data,48.940322160720825,49.79273056983948,bigbrain_6930_3624_5560.nii,125146
save_incremented,49.792917251586914,50.60231637954712,bigbrain_6930_3624_5560.nii,125146
load_img,48.64472436904907,49.08501148223877,bigbrain_1540_3020_695.nii,125149
increment_data,49.088152170181274,49.79479908943176,bigbrain_1540_3020_695.nii,125149
save_incremented,49.79498600959778,55.77006959915161,bigbrain_1540_3020_695.nii,125149
load_img,49.06606841087341,49.49073338508606,bigbrain_3080_0_4865.nii,125095
increment_data,49.494468212127686,50.503071308135986,bigbrain_3080_0_4865.nii,125095
save_incremented,50.503265380859375,52.483505964279175,bigbrain_3080_0_4865.nii,125095
load_img,49.37456822395325,49.81259775161743,bigbrain_770_1208_0.nii,125098
increment_data,49.81624221801758,50.56235861778259,bigbrain_770_1208_0.nii,125098
save_incremented,50.56254553794861,57.550288438797,bigbrain_770_1208_0.nii,125098
load_img,49.54238033294678,49.96449899673462,bigbrain_6160_5436_5560.nii,125101
increment_data,49.96799445152283,50.715989112854004,bigbrain_6160_5436_5560.nii,125101
save_incremented,50.71627497673035,57.16934776306152,bigbrain_6160_5436_5560.nii,125101
load_img,49.65458822250366,50.201024293899536,bigbrain_6930_1208_5560.nii,125104
increment_data,50.204869747161865,50.933467864990234,bigbrain_6930_1208_5560.nii,125104
save_incremented,50.934075593948364,59.97075939178467,bigbrain_6930_1208_5560.nii,125104
load_img,49.81395244598389,50.41859221458435,bigbrain_1540_3624_695.nii,125107
increment_data,50.42197847366333,51.25349283218384,bigbrain_1540_3624_695.nii,125107
save_incremented,51.25386571884155,58.07608151435852,bigbrain_1540_3624_695.nii,125107
load_img,49.83615255355835,50.43073487281799,bigbrain_770_0_1390.nii,125143
increment_data,50.434210538864136,51.26349949836731,bigbrain_770_0_1390.nii,125143
save_incremented,51.26399278640747,58.14168095588684,bigbrain_770_0_1390.nii,125143
load_img,50.48472476005554,51.01194667816162,bigbrain_6160_5436_3475.nii,125152
increment_data,51.015366077423096,52.09380793571472,bigbrain_6160_5436_3475.nii,125152
save_incremented,52.09415817260742,58.60163116455078,bigbrain_6160_5436_3475.nii,125152
load_img,50.874672174453735,51.310075759887695,bigbrain_5390_604_3475.nii,125128
increment_data,51.315008878707886,51.97699499130249,bigbrain_5390_604_3475.nii,125128
save_incremented,51.97745895385742,58.65327000617981,bigbrain_5390_604_3475.nii,125128
load_img,50.841978311538696,51.49116325378418,bigbrain_4620_5436_4170.nii,125110
increment_data,51.499701261520386,52.52443718910217,bigbrain_4620_5436_4170.nii,125110
save_incremented,52.52462363243103,63.6642062664032,bigbrain_4620_5436_4170.nii,125110
load_img,50.8507022857666,51.68008017539978,bigbrain_3080_4832_4170.nii,125137
increment_data,51.691375494003296,52.518038511276245,bigbrain_3080_4832_4170.nii,125137
save_incremented,52.51829719543457,59.829317569732666,bigbrain_3080_4832_4170.nii,125137
load_img,50.964930057525635,51.72425174713135,bigbrain_2310_0_695.nii,125080
increment_data,51.75375008583069,53.72376585006714,bigbrain_2310_0_695.nii,125080
save_incremented,53.7241575717926,62.466798305511475,bigbrain_2310_0_695.nii,125080
load_img,50.87173843383789,51.9468731880188,bigbrain_6160_3020_2780.nii,125092
increment_data,51.975343465805054,53.868459701538086,bigbrain_6160_3020_2780.nii,125092
save_incremented,53.87034821510315,58.856719732284546,bigbrain_6160_3020_2780.nii,125092
load_img,50.83680248260498,52.01797151565552,bigbrain_2310_0_3475.nii,125140
increment_data,52.02550768852234,54.17517805099487,bigbrain_2310_0_3475.nii,125140
save_incremented,54.175540924072266,62.316173791885376,bigbrain_2310_0_3475.nii,125140
load_img,50.93612813949585,52.023969411849976,bigbrain_3080_1812_3475.nii,125125
increment_data,52.032010078430176,54.15333580970764,bigbrain_3080_1812_3475.nii,125125
save_incremented,54.153741121292114,62.307045459747314,bigbrain_3080_1812_3475.nii,125125
load_img,51.79135799407959,52.23974633216858,bigbrain_6160_0_3475.nii,125122
increment_data,52.24563550949097,53.00889873504639,bigbrain_6160_0_3475.nii,125122
save_incremented,53.009408712387085,63.88722825050354,bigbrain_6160_0_3475.nii,125122
load_img,51.20520639419556,52.24539136886597,bigbrain_5390_4228_5560.nii,125119
increment_data,52.252384662628174,54.70194172859192,bigbrain_5390_4228_5560.nii,125119
save_incremented,54.70307493209839,61.56612801551819,bigbrain_5390_4228_5560.nii,125119
