driver_program,0,869.186311006546,/pmem1-data/val/spark-1570615045-optaneAD_1it_96cpus_0delay_npc-4,allfiles
load_img,76.87164449691772,77.91822791099548,bigbrain_0_4228_3475.nii,130831
increment_data,77.92532086372375,81.16354489326477,bigbrain_0_4228_3475.nii,130831
save_incremented,81.16517806053162,83.00583982467651,bigbrain_0_4228_3475.nii,130831
load_img,84.06392168998718,84.61882901191711,bigbrain_1540_3624_695.nii,130849
increment_data,84.62601947784424,85.86792206764221,bigbrain_1540_3624_695.nii,130849
save_incremented,85.86938977241516,92.0703330039978,bigbrain_1540_3624_695.nii,130849
load_img,84.1337718963623,84.6431794166565,bigbrain_0_1208_4170.nii,130813
increment_data,84.65080142021179,85.50507593154907,bigbrain_0_1208_4170.nii,130813
save_incremented,85.50543928146362,91.68832111358643,bigbrain_0_1208_4170.nii,130813
load_img,84.4730577468872,85.01268935203552,bigbrain_2310_3020_5560.nii,130816
increment_data,85.01608467102051,85.85271692276001,bigbrain_2310_3020_5560.nii,130816
save_incremented,85.85342025756836,92.520015001297,bigbrain_2310_3020_5560.nii,130816
load_img,84.46820521354675,85.0163083076477,bigbrain_6930_4832_5560.nii,130837
increment_data,85.01996731758118,85.89125370979309,bigbrain_6930_4832_5560.nii,130837
save_incremented,85.89150047302246,90.62712001800537,bigbrain_6930_4832_5560.nii,130837
load_img,84.5451865196228,85.06158781051636,bigbrain_1540_2416_695.nii,130858
increment_data,85.0650269985199,85.92425751686096,bigbrain_1540_2416_695.nii,130858
save_incremented,85.92574048042297,93.14293432235718,bigbrain_1540_2416_695.nii,130858
load_img,84.62621855735779,85.15739846229553,bigbrain_3080_1812_3475.nii,130875
increment_data,85.16143774986267,86.0037682056427,bigbrain_3080_1812_3475.nii,130875
save_incremented,86.0040636062622,92.47923421859741,bigbrain_3080_1812_3475.nii,130875
load_img,84.61954832077026,85.18377208709717,bigbrain_6160_3020_5560.nii,130840
increment_data,85.18715643882751,86.02278518676758,bigbrain_6160_3020_5560.nii,130840
save_incremented,86.02305126190186,89.77794170379639,bigbrain_6160_3020_5560.nii,130840
load_img,84.72531986236572,85.19188952445984,bigbrain_5390_4228_4865.nii,130819
increment_data,85.19553327560425,86.02922749519348,bigbrain_5390_4228_4865.nii,130819
save_incremented,86.02975416183472,92.07226991653442,bigbrain_5390_4228_4865.nii,130819
load_img,84.66144323348999,85.19712257385254,bigbrain_0_1208_0.nii,130846
increment_data,85.20080327987671,86.04774689674377,bigbrain_0_1208_0.nii,130846
save_incremented,86.04793047904968,90.51767158508301,bigbrain_0_1208_0.nii,130846
load_img,84.89971375465393,85.40737128257751,bigbrain_3850_4832_4170.nii,130825
increment_data,85.4127585887909,86.18575549125671,bigbrain_3850_4832_4170.nii,130825
save_incremented,86.18602323532104,90.96350049972534,bigbrain_3850_4832_4170.nii,130825
load_img,84.99967908859253,85.63738298416138,bigbrain_1540_3020_695.nii,130861
increment_data,85.64082264900208,86.3702175617218,bigbrain_1540_3020_695.nii,130861
save_incremented,86.3705108165741,93.33119869232178,bigbrain_1540_3020_695.nii,130861
load_img,85.26131916046143,85.7623975276947,bigbrain_1540_1208_2085.nii,130822
increment_data,85.76604700088501,86.55902099609375,bigbrain_1540_1208_2085.nii,130822
save_incremented,86.55920600891113,91.12805581092834,bigbrain_1540_1208_2085.nii,130822
load_img,85.68915963172913,86.19004940986633,bigbrain_3080_2416_5560.nii,130852
increment_data,86.19373035430908,86.9782509803772,bigbrain_3080_2416_5560.nii,130852
save_incremented,86.97843718528748,92.33368730545044,bigbrain_3080_2416_5560.nii,130852
load_img,86.26188826560974,86.75132584571838,bigbrain_0_604_3475.nii,130867
increment_data,86.75514459609985,87.77343130111694,bigbrain_0_604_3475.nii,130867
save_incremented,87.77365517616272,93.55307865142822,bigbrain_0_604_3475.nii,130867
load_img,86.58805131912231,87.07834315299988,bigbrain_6160_4832_2085.nii,130870
increment_data,87.08206820487976,88.96120047569275,bigbrain_6160_4832_2085.nii,130870
save_incremented,88.96567440032959,93.68029618263245,bigbrain_6160_4832_2085.nii,130870
load_img,86.90227675437927,87.3183274269104,bigbrain_6160_1208_3475.nii,130843
increment_data,87.32160210609436,88.12010645866394,bigbrain_6160_1208_3475.nii,130843
save_incremented,88.12121844291687,93.86803412437439,bigbrain_6160_1208_3475.nii,130843
load_img,86.90302777290344,87.37457609176636,bigbrain_1540_4832_0.nii,130828
increment_data,87.37776708602905,88.44025444984436,bigbrain_1540_4832_0.nii,130828
