driver_program,0,952.3362767696381,/pmem1-data/val/spark-1570474452-optaneAD_1it_25cpus_120delay_withpc-0,allfiles
load_img,23.80804967880249,24.21579337120056,bigbrain_6930_5436_2780.nii,76739
increment_data,24.219430208206177,24.98930335044861,bigbrain_6930_5436_2780.nii,76739
save_incremented,24.989638090133667,32.42039489746094,bigbrain_6930_5436_2780.nii,76739
load_img,24.01831579208374,24.4386465549469,bigbrain_0_4228_4865.nii,76697
increment_data,24.442262411117554,25.248313426971436,bigbrain_0_4228_4865.nii,76697
save_incremented,25.248560905456543,30.983422994613647,bigbrain_0_4228_4865.nii,76697
load_img,24.217406034469604,24.69370126724243,bigbrain_5390_0_4170.nii,76703
increment_data,24.697156190872192,25.50177240371704,bigbrain_5390_0_4170.nii,76703
save_incremented,25.502028465270996,26.93530035018921,bigbrain_5390_0_4170.nii,76703
load_img,24.22601342201233,24.70289134979248,bigbrain_3080_4228_0.nii,76727
increment_data,24.706405639648438,25.507957458496094,bigbrain_3080_4228_0.nii,76727
save_incremented,25.508212566375732,26.944705963134766,bigbrain_3080_4228_0.nii,76727
load_img,24.230581283569336,24.70501160621643,bigbrain_770_3624_4170.nii,76700
increment_data,24.70841884613037,25.51041007041931,bigbrain_770_3624_4170.nii,76700
save_incremented,25.510608673095703,26.952922582626343,bigbrain_770_3624_4170.nii,76700
load_img,24.265140056610107,24.734309911727905,bigbrain_0_1208_695.nii,76694
increment_data,24.737730264663696,25.532989263534546,bigbrain_0_1208_695.nii,76694
save_incremented,25.533212184906006,26.98779273033142,bigbrain_0_1208_695.nii,76694
load_img,24.27569055557251,24.76613974571228,bigbrain_2310_1208_0.nii,76745
increment_data,24.76983380317688,25.57158613204956,bigbrain_2310_1208_0.nii,76745
save_incremented,25.571816444396973,32.152774810791016,bigbrain_2310_1208_0.nii,76745
load_img,24.361531496047974,24.821516275405884,bigbrain_6160_4832_3475.nii,76736
increment_data,24.825605154037476,25.625466108322144,bigbrain_6160_4832_3475.nii,76736
save_incremented,25.625738859176636,38.40394687652588,bigbrain_6160_4832_3475.nii,76736
load_img,24.34197473526001,24.822163105010986,bigbrain_3850_0_4865.nii,76712
increment_data,24.826155185699463,25.640099048614502,bigbrain_3850_0_4865.nii,76712
save_incremented,25.640340328216553,40.66333627700806,bigbrain_3850_0_4865.nii,76712
load_img,24.359137773513794,24.84274125099182,bigbrain_4620_2416_3475.nii,76718
increment_data,24.846535682678223,25.662222385406494,bigbrain_4620_2416_3475.nii,76718
save_incremented,25.66251564025879,31.619386672973633,bigbrain_4620_2416_3475.nii,76718
load_img,24.37222647666931,24.858150720596313,bigbrain_2310_604_2780.nii,76683
increment_data,24.862213134765625,25.743835926055908,bigbrain_2310_604_2780.nii,76683
save_incremented,25.744149684906006,37.42285180091858,bigbrain_2310_604_2780.nii,76683
load_img,24.383414030075073,24.899006605148315,bigbrain_6160_0_1390.nii,76709
increment_data,24.9049072265625,25.7213077545166,bigbrain_6160_0_1390.nii,76709
save_incremented,25.721571445465088,38.85354518890381,bigbrain_6160_0_1390.nii,76709
load_img,24.44074821472168,24.912588834762573,bigbrain_6930_3624_6255.nii,76720
increment_data,24.916550636291504,25.721702575683594,bigbrain_6930_3624_6255.nii,76720
save_incremented,25.72357487678528,31.53938317298889,bigbrain_6930_3624_6255.nii,76720
load_img,24.48488736152649,24.938151836395264,bigbrain_6930_1812_695.nii,76724
increment_data,24.942565202713013,25.72850728034973,bigbrain_6930_1812_695.nii,76724
save_incremented,25.728724241256714,31.292329788208008,bigbrain_6930_1812_695.nii,76724
load_img,24.48744559288025,24.938201427459717,bigbrain_6160_1208_3475.nii,76733
increment_data,24.94391393661499,25.72873091697693,bigbrain_6160_1208_3475.nii,76733
save_incremented,25.728895664215088,30.74375081062317,bigbrain_6160_1208_3475.nii,76733
load_img,24.608610153198242,25.074156284332275,bigbrain_6930_4832_5560.nii,76682
increment_data,25.078194856643677,25.86661648750305,bigbrain_6930_4832_5560.nii,76682
save_incremented,25.866819858551025,31.539318084716797,bigbrain_6930_4832_5560.nii,76682
load_img,24.61478090286255,25.078213930130005,bigbrain_5390_5436_4170.nii,76691
increment_data,25.08266830444336,25.849422931671143,bigbrain_5390_5436_4170.nii,76691
