driver_program,0,71.9116461277008,/dev/shm/val/spark-1570987229-tmpfs_1it_25cpus_60delay_withpc_em-0,allfiles
load_img,70.72027492523193,70.72118949890137,bigbrain_0_3624_695.nii,119607
increment_data,70.7213613986969,71.15331315994263,bigbrain_0_3624_695.nii,119607
save_incremented,71.15348196029663,71.87592029571533,bigbrain_0_3624_695.nii,119607
load_img,70.72026801109314,70.7211902141571,bigbrain_0_3624_695.nii,119622
increment_data,70.72135925292969,71.15220546722412,bigbrain_0_3624_695.nii,119622
save_incremented,71.1523597240448,71.87552285194397,bigbrain_0_3624_695.nii,119622
load_img,69.63460874557495,69.63555645942688,bigbrain_0_4228_695.nii,119622
increment_data,69.63575196266174,70.12751579284668,bigbrain_0_4228_695.nii,119622
save_incremented,70.12763166427612,70.71742701530457,bigbrain_0_4228_695.nii,119622
load_img,69.63460803031921,69.63555121421814,bigbrain_0_4228_695.nii,119607
increment_data,69.63575029373169,70.12665867805481,bigbrain_0_4228_695.nii,119607
save_incremented,70.12682318687439,70.71762108802795,bigbrain_0_4228_695.nii,119607
load_img,69.60692834854126,69.60783052444458,bigbrain_0_4228_6255.nii,119598
increment_data,69.60801029205322,70.03542876243591,bigbrain_0_4228_6255.nii,119598
save_incremented,70.0355966091156,70.95210480690002,bigbrain_0_4228_6255.nii,119598
load_img,69.52913808822632,69.53001832962036,bigbrain_0_4228_6255.nii,119644
increment_data,69.5301833152771,69.96679854393005,bigbrain_0_4228_6255.nii,119644
save_incremented,69.96696305274963,70.92402601242065,bigbrain_0_4228_6255.nii,119644
load_img,69.52498698234558,69.5259006023407,bigbrain_0_3624_695.nii,119640
increment_data,69.52606558799744,69.94786882400513,bigbrain_0_3624_695.nii,119640
save_incremented,69.94800353050232,70.54366111755371,bigbrain_0_3624_695.nii,119640
load_img,69.51002979278564,69.51098465919495,bigbrain_0_4228_6255.nii,119636
increment_data,69.51115417480469,69.93962121009827,bigbrain_0_4228_6255.nii,119636
save_incremented,69.93978881835938,70.92830514907837,bigbrain_0_4228_6255.nii,119636
load_img,68.52682995796204,68.52768087387085,bigbrain_0_3020_2085.nii,119622
increment_data,68.52787733078003,69.02108073234558,bigbrain_0_3020_2085.nii,119622
save_incremented,69.02123856544495,69.63176393508911,bigbrain_0_3020_2085.nii,119622
load_img,68.52676725387573,68.52768182754517,bigbrain_0_3020_2085.nii,119607
