driver_program,0,1037.7052314281464,/home/val/spark-1570980315-local_1it_96cpus_0delay_npc_em-0,allfiles
load_img,11.69261908531189,11.769647121429443,bigbrain_0_3020_2780.nii,116707
increment_data,11.77052903175354,20.189780712127686,bigbrain_0_3020_2780.nii,116707
save_incremented,20.19001317024231,24.203632831573486,bigbrain_0_3020_2780.nii,116707
load_img,11.720670700073242,11.78756594657898,bigbrain_0_2416_2780.nii,116698
increment_data,11.788084030151367,19.885817289352417,bigbrain_0_2416_2780.nii,116698
save_incremented,19.886097192764282,72.65768074989319,bigbrain_0_2416_2780.nii,116698
load_img,11.770380973815918,11.827833890914917,bigbrain_0_4228_6255.nii,116699
increment_data,11.828659296035767,19.849919080734253,bigbrain_0_4228_6255.nii,116699
save_incremented,19.85036849975586,45.361841440200806,bigbrain_0_4228_6255.nii,116699
load_img,11.789515256881714,11.85680866241455,bigbrain_0_4228_4865.nii,116704
increment_data,11.857360124588013,20.3205623626709,bigbrain_0_4228_4865.nii,116704
save_incremented,20.321032762527466,24.113093614578247,bigbrain_0_4228_4865.nii,116704
load_img,11.824928522109985,11.856784105300903,bigbrain_0_3624_695.nii,116710
increment_data,11.857407331466675,19.96128010749817,bigbrain_0_3624_695.nii,116710
save_incremented,19.9628164768219,54.79062271118164,bigbrain_0_3624_695.nii,116710
load_img,11.916417360305786,11.919261932373047,bigbrain_0_4228_4865.nii,116713
increment_data,11.920014142990112,20.3201584815979,bigbrain_0_4228_4865.nii,116713
save_incremented,20.32074499130249,78.4637336730957,bigbrain_0_4228_4865.nii,116713
load_img,11.903265953063965,11.962367296218872,bigbrain_0_2416_4865.nii,116719
increment_data,11.963328123092651,20.29586887359619,bigbrain_0_2416_4865.nii,116719
save_incremented,20.296332597732544,24.70783758163452,bigbrain_0_2416_4865.nii,116719
load_img,12.029089450836182,12.031795978546143,bigbrain_0_2416_4865.nii,116716
increment_data,12.032537698745728,20.298399925231934,bigbrain_0_2416_4865.nii,116716
save_incremented,20.299612522125244,24.392481327056885,bigbrain_0_2416_4865.nii,116716
load_img,12.165896654129028,12.168188095092773,bigbrain_0_4228_4865.nii,116721
increment_data,12.168922901153564,20.31969976425171,bigbrain_0_4228_4865.nii,116721
save_incremented,20.32000732421875,24.67188310623169,bigbrain_0_4228_4865.nii,116721
load_img,12.205925464630127,12.20793104171753,bigbrain_0_2416_2780.nii,116725
increment_data,12.208562850952148,20.110602617263794,bigbrain_0_2416_2780.nii,116725
save_incremented,20.111830472946167,23.864996910095215,bigbrain_0_2416_2780.nii,116725
load_img,12.29833722114563,12.300463676452637,bigbrain_0_2416_2780.nii,116728
increment_data,12.301046371459961,20.10663414001465,bigbrain_0_2416_2780.nii,116728
save_incremented,20.10706901550293,24.509114980697632,bigbrain_0_2416_2780.nii,116728
load_img,12.303502798080444,12.306219100952148,bigbrain_0_4228_4865.nii,116731
increment_data,12.306747674942017,20.321329355239868,bigbrain_0_4228_4865.nii,116731
