driver_program,0,10424.265874147415,/home/users/vhayots/spark-1570588411-isilonAD_1it_96cpus_0delay_npc-4,allfiles
load_img,6253.585293769836,6253.964532375336,bigbrain_0_3624_2085.nii,121879
increment_data,6617.356977701187,6620.728639364243,bigbrain_0_3624_2085.nii,121879
save_incremented,6622.670350074768,6774.6448493003845,bigbrain_0_3624_2085.nii,121879
load_img,3608.177890062332,3608.8374524116516,bigbrain_770_4832_2780.nii,121723
increment_data,3928.300540447235,3929.338109970093,bigbrain_770_4832_2780.nii,121723
save_incremented,4189.548413276672,4420.929063081741,bigbrain_770_4832_2780.nii,121723
load_img,5274.119385957718,5274.809395313263,bigbrain_2310_5436_1390.nii,121738
increment_data,5491.020624160767,5495.158484697342,bigbrain_2310_5436_1390.nii,121738
save_incremented,5688.850185394287,5868.142762184143,bigbrain_2310_5436_1390.nii,121738
load_img,3378.595532655716,3379.558092355728,bigbrain_6160_5436_2780.nii,121963
increment_data,3413.5200176239014,3415.1046829223633,bigbrain_6160_5436_2780.nii,121963
save_incremented,3602.734885931015,3860.684826374054,bigbrain_6160_5436_2780.nii,121963
load_img,4948.498466968536,4950.423398733139,bigbrain_3850_604_2085.nii,121948
increment_data,4985.881311178207,4998.439450502396,bigbrain_3850_604_2085.nii,121948
save_incremented,5092.2404527664185,5273.397269010544,bigbrain_3850_604_2085.nii,121948
load_img,8703.609446525574,8703.995056152344,bigbrain_2310_1208_4170.nii,121798
increment_data,8996.77366733551,8998.465535402298,bigbrain_2310_1208_4170.nii,121798
save_incremented,8998.533673763275,9094.35454416275,bigbrain_2310_1208_4170.nii,121798
load_img,9974.93452334404,9977.856098175049,bigbrain_3080_4228_3475.nii,121906
increment_data,10048.168047189713,10057.87330532074,bigbrain_3080_4228_3475.nii,121906
save_incremented,10189.465282917023,10334.072971582413,bigbrain_3080_4228_3475.nii,121906
load_img,7911.027773618698,7911.424841880798,bigbrain_4620_0_2780.nii,121789
increment_data,8319.979672670364,8321.541381835938,bigbrain_4620_0_2780.nii,121789
save_incremented,8334.65517449379,8354.729218006134,bigbrain_4620_0_2780.nii,121789
load_img,4192.452133655548,4193.584170103073,bigbrain_3850_604_1390.nii,121789
increment_data,4454.227541208267,4465.117542266846,bigbrain_3850_604_1390.nii,121789
save_incremented,4559.999141693115,4935.371195793152,bigbrain_3850_604_1390.nii,121789
load_img,6474.998096227646,6475.706294298172,bigbrain_6930_2416_5560.nii,121834
increment_data,6618.389737844467,6624.174185991287,bigbrain_6930_2416_5560.nii,121834
save_incremented,6703.796305656433,7311.149994134903,bigbrain_6930_2416_5560.nii,121834
load_img,8745.677397727966,8746.271436929703,bigbrain_3850_5436_6255.nii,121870
increment_data,8998.17372584343,9004.575855731964,bigbrain_3850_5436_6255.nii,121870
save_incremented,9013.21151638031,9190.249132871628,bigbrain_3850_5436_6255.nii,121870
load_img,9005.42608833313,9006.112035274506,bigbrain_770_1208_2780.nii,121945
increment_data,9112.935319423676,9115.372737884521,bigbrain_770_1208_2780.nii,121945
save_incremented,9192.886188745499,9520.335008382797,bigbrain_770_1208_2780.nii,121945
load_img,3378.664624452591,3379.530309677124,bigbrain_6160_0_6255.nii,121969
increment_data,3413.5146484375,3415.093248605728,bigbrain_6160_0_6255.nii,121969
save_incremented,3602.746894836426,3859.8346359729767,bigbrain_6160_0_6255.nii,121969
load_img,4948.465674638748,4950.369782447815,bigbrain_1540_4228_2085.nii,121828
increment_data,5274.108634471893,5276.04154753685,bigbrain_1540_4228_2085.nii,121828
save_incremented,5343.407155513763,5700.560621261597,bigbrain_1540_4228_2085.nii,121828
load_img,1653.9559745788574,1654.6530022621155,bigbrain_3080_4228_4170.nii,121789
increment_data,1692.8906860351562,1694.0477883815765,bigbrain_3080_4228_4170.nii,121789
save_incremented,1778.679758310318,2221.782247543335,bigbrain_3080_4228_4170.nii,121789
load_img,7450.205507040024,7450.582631111145,bigbrain_6160_2416_2780.nii,121801
increment_data,7724.717537403107,7726.103573560715,bigbrain_6160_2416_2780.nii,121801
save_incremented,7821.76100730896,7969.962262392044,bigbrain_6160_2416_2780.nii,121801
load_img,4422.466215372086,4423.316663503647,bigbrain_3850_0_4170.nii,121996
increment_data,4560.310613393784,4561.317446708679,bigbrain_3850_0_4170.nii,121996
save_incremented,4695.400249958038,5191.041129589081,bigbrain_3850_0_4170.nii,121996
load_img,6285.975991010666,6286.3625457286835,bigbrain_4620_1812_0.nii,121969
increment_data,6617.369378089905,6618.6894998550415,bigbrain_4620_1812_0.nii,121969
save_incremented,6618.751074075699,6707.89949798584,bigbrain_4620_1812_0.nii,121969
load_img,2524.0709948539734,2524.4657604694366,bigbrain_4620_1208_2780.nii,121897
increment_data,2811.2363164424896,2812.7868218421936,bigbrain_4620_1208_2780.nii,121897
save_incremented,2871.9133195877075,3086.4643597602844,bigbrain_4620_1208_2780.nii,121897
load_img,5267.793218135834,5268.585738658905,bigbrain_2310_2416_695.nii,121867
increment_data,5274.218903541565,5276.992236614227,bigbrain_2310_2416_695.nii,121867
save_incremented,5466.358904361725,5693.265836954117,bigbrain_2310_2416_695.nii,121867
load_img,3378.542613506317,3379.44992685318,bigbrain_4620_1812_2780.nii,121867
increment_data,3413.492033958435,3415.1296446323395,bigbrain_4620_1812_2780.nii,121867
save_incremented,3602.7373509407043,3860.7739820480347,bigbrain_4620_1812_2780.nii,121867
load_img,5780.081033229828,5780.722403526306,bigbrain_1540_3020_4865.nii,121951
increment_data,5877.365986585617,5879.058974981308,bigbrain_1540_3020_4865.nii,121951
save_incremented,5957.647484302521,6079.923658132553,bigbrain_1540_3020_4865.nii,121951
load_img,5271.420630931854,5272.883312225342,bigbrain_770_604_0.nii,121852
increment_data,5273.924048900604,5275.82624912262,bigbrain_770_604_0.nii,121852
save_incremented,5388.253380060196,5699.602300643921,bigbrain_770_604_0.nii,121852
load_img,1974.5695497989655,1974.9650604724884,bigbrain_2310_3020_4170.nii,121876
increment_data,2272.333016395569,2273.6384823322296,bigbrain_2310_3020_4170.nii,121876
save_incremented,2333.170159339905,2739.4088311195374,bigbrain_2310_3020_4170.nii,121876
load_img,545.8532164096832,547.7618277072906,bigbrain_2310_2416_0.nii,121870
increment_data,547.8192665576935,550.85524559021,bigbrain_2310_2416_0.nii,121870
save_incremented,695.5199437141418,1063.837898015976,bigbrain_2310_2416_0.nii,121870
load_img,7404.790413379669,7405.172661781311,bigbrain_2310_0_5560.nii,121870
increment_data,7724.199437618256,7726.271641969681,bigbrain_2310_0_5560.nii,121870
save_incremented,7822.714271068573,8007.564583539963,bigbrain_2310_0_5560.nii,121870
load_img,6620.775747060776,6621.685539960861,bigbrain_6160_4228_3475.nii,121978
increment_data,6664.976584196091,6670.5271372795105,bigbrain_6160_4228_3475.nii,121978
save_incremented,6679.447085380554,7195.211979389191,bigbrain_6160_4228_3475.nii,121978
load_img,1654.0927996635437,1654.737517118454,bigbrain_5390_1208_3475.nii,121768
increment_data,1739.804715871811,1742.7885901927948,bigbrain_5390_1208_3475.nii,121768
save_incremented,1775.088056564331,2060.0802090168,bigbrain_5390_1208_3475.nii,121768
load_img,4948.451387643814,4950.234215974808,bigbrain_6930_1812_6255.nii,121885
increment_data,5274.14426612854,5276.0902190208435,bigbrain_6930_1812_6255.nii,121885
save_incremented,5406.452050685883,5701.736669540405,bigbrain_6930_1812_6255.nii,121885
load_img,6231.180531263351,6231.570468902588,bigbrain_2310_4228_1390.nii,121753
increment_data,6613.536145925522,6615.748117923737,bigbrain_2310_4228_1390.nii,121753
save_incremented,6617.899582862854,6707.6431250572205,bigbrain_2310_4228_1390.nii,121753
load_img,7408.052204370499,7408.457396745682,bigbrain_4620_4228_3475.nii,121867
increment_data,7724.617799282074,7726.166954755783,bigbrain_4620_4228_3475.nii,121867
save_incremented,7821.96190237999,7978.205947160721,bigbrain_4620_4228_3475.nii,121867
load_img,4421.598365068436,4422.142229795456,bigbrain_1540_3020_5560.nii,121834
increment_data,4560.191494464874,4562.051313400269,bigbrain_1540_3020_5560.nii,121834
save_incremented,4722.210393667221,5253.843692302704,bigbrain_1540_3020_5560.nii,121834
load_img,3607.9370577335358,3608.4303278923035,bigbrain_770_3624_695.nii,121744
increment_data,3866.107055425644,3868.0894677639008,bigbrain_770_3624_695.nii,121744
save_incremented,4132.865354061127,4309.194725036621,bigbrain_770_3624_695.nii,121744
load_img,545.2706813812256,547.1901333332062,bigbrain_6160_0_1390.nii,121906
increment_data,547.3873331546783,550.6589376926422,bigbrain_6160_0_1390.nii,121906
save_incremented,689.5613172054291,830.5544903278351,bigbrain_6160_0_1390.nii,121906
load_img,8666.32256269455,8666.76613354683,bigbrain_770_1208_5560.nii,121732
increment_data,8996.761729001999,9001.90347313881,bigbrain_770_1208_5560.nii,121732
save_incremented,9080.00801229477,9316.490305662155,bigbrain_770_1208_5560.nii,121732
load_img,1654.0476229190826,1654.7447843551636,bigbrain_1540_604_5560.nii,121999
increment_data,1744.2342891693115,1746.2323443889618,bigbrain_1540_604_5560.nii,121999
save_incremented,1775.4643819332123,2127.476788043976,bigbrain_1540_604_5560.nii,121999
load_img,9974.985807180405,9978.070985078812,bigbrain_5390_3020_695.nii,121930
increment_data,10093.384030103683,10105.96673464775,bigbrain_5390_3020_695.nii,121930
save_incremented,10194.420320987701,10351.806019544601,bigbrain_5390_3020_695.nii,121930
load_img,8747.729761362076,8748.530010700226,bigbrain_2310_1812_0.nii,121762
increment_data,8997.841425418854,9004.643904924393,bigbrain_2310_1812_0.nii,121762
save_incremented,9092.415660381317,9444.239153385162,bigbrain_2310_1812_0.nii,121762
load_img,6623.444883346558,6624.286989212036,bigbrain_0_0_6255.nii,121801
increment_data,6740.947685241699,6744.252993822098,bigbrain_0_0_6255.nii,121801
save_incremented,6800.816331863403,7263.709176778793,bigbrain_0_0_6255.nii,121801
