driver_program,0,1030.5628218650818,/home/val/spark-1570899837-localAD_1it_96cpus_0delay_npc_em-0,allfiles
load_img,12.311557054519653,12.314798831939697,bigbrain_0_3624_695.nii,152078
increment_data,12.315612077713013,19.448524713516235,bigbrain_0_3624_695.nii,152078
save_incremented,19.448721408843994,22.563875913619995,bigbrain_0_3624_695.nii,152078
load_img,12.37824296951294,12.382997512817383,bigbrain_0_2416_4865.nii,152085
increment_data,12.383576393127441,19.997259616851807,bigbrain_0_2416_4865.nii,152085
save_incremented,19.99747323989868,59.12382483482361,bigbrain_0_2416_4865.nii,152085
load_img,12.418859720230103,12.44800090789795,bigbrain_0_3020_4865.nii,152076
increment_data,12.448776483535767,20.243977069854736,bigbrain_0_3020_4865.nii,152076
save_incremented,20.249185800552368,23.899829387664795,bigbrain_0_3020_4865.nii,152076
load_img,12.479618310928345,12.4814293384552,bigbrain_0_3020_4865.nii,152082
increment_data,12.481985569000244,20.244353771209717,bigbrain_0_3020_4865.nii,152082
save_incremented,20.24919581413269,24.236314058303833,bigbrain_0_3020_4865.nii,152082
load_img,12.59228777885437,12.594644546508789,bigbrain_0_3020_4865.nii,152094
increment_data,12.595329761505127,20.241722345352173,bigbrain_0_3020_4865.nii,152094
save_incremented,20.241912841796875,23.024638652801514,bigbrain_0_3020_4865.nii,152094
load_img,12.609230756759644,12.646485328674316,bigbrain_0_4228_6255.nii,152091
increment_data,12.647326707839966,20.547438144683838,bigbrain_0_4228_6255.nii,152091
save_incremented,20.547657251358032,22.994778871536255,bigbrain_0_4228_6255.nii,152091
load_img,12.602168560028076,12.646511793136597,bigbrain_0_4228_4865.nii,152088
increment_data,12.647420406341553,20.68420171737671,bigbrain_0_4228_4865.nii,152088
save_incremented,20.68452215194702,23.085450649261475,bigbrain_0_4228_4865.nii,152088
load_img,12.650663614273071,12.652389287948608,bigbrain_0_3624_695.nii,152097
increment_data,12.652778148651123,19.448782682418823,bigbrain_0_3624_695.nii,152097
save_incremented,19.448954820632935,23.259762287139893,bigbrain_0_3624_695.nii,152097
load_img,12.741332769393921,12.743255376815796,bigbrain_0_4228_4865.nii,152100
increment_data,12.74372911453247,20.678815603256226,bigbrain_0_4228_4865.nii,152100
save_incremented,20.67987847328186,23.120120763778687,bigbrain_0_4228_4865.nii,152100
load_img,12.774018287658691,12.775938749313354,bigbrain_0_4228_4865.nii,152103
increment_data,12.776496171951294,20.67299175262451,bigbrain_0_4228_4865.nii,152103
save_incremented,20.673171758651733,91.08485269546509,bigbrain_0_4228_4865.nii,152103
load_img,12.87502408027649,12.876714944839478,bigbrain_0_3624_695.nii,152106
increment_data,12.87724256515503,19.448549270629883,bigbrain_0_3624_695.nii,152106
save_incremented,19.448719263076782,22.800445795059204,bigbrain_0_3624_695.nii,152106
load_img,12.927494049072266,12.929867267608643,bigbrain_0_3624_695.nii,152109
increment_data,12.930558919906616,19.448991060256958,bigbrain_0_3624_695.nii,152109
save_incremented,19.44920825958252,22.916499137878418,bigbrain_0_3624_695.nii,152109
load_img,12.935007810592651,12.936735153198242,bigbrain_0_4228_6255.nii,152112
increment_data,12.937206506729126,20.5481858253479,bigbrain_0_4228_6255.nii,152112
save_incremented,20.54842257499695,24.150969743728638,bigbrain_0_4228_6255.nii,152112
load_img,13.007291555404663,13.009047746658325,bigbrain_0_3624_695.nii,152115
increment_data,13.009584188461304,19.44869613647461,bigbrain_0_3624_695.nii,152115
save_incremented,19.4488685131073,22.922192335128784,bigbrain_0_3624_695.nii,152115
load_img,13.039336919784546,13.04138469696045,bigbrain_0_4228_4865.nii,152126
increment_data,13.041982412338257,20.67575240135193,bigbrain_0_4228_4865.nii,152126
save_incremented,20.679861545562744,22.682570934295654,bigbrain_0_4228_4865.nii,152126
load_img,13.077301025390625,13.07923412322998,bigbrain_0_4228_4865.nii,152123
increment_data,13.079780578613281,20.67296290397644,bigbrain_0_4228_4865.nii,152123
save_incremented,20.673104763031006,24.607029914855957,bigbrain_0_4228_4865.nii,152123
load_img,13.121275901794434,13.123617887496948,bigbrain_0_3020_4865.nii,152135
increment_data,13.124273300170898,20.241756200790405,bigbrain_0_3020_4865.nii,152135
save_incremented,20.241966724395752,22.792757987976074,bigbrain_0_3020_4865.nii,152135
load_img,13.14093542098999,13.177254915237427,bigbrain_0_2416_2780.nii,152139
increment_data,13.178080320358276,20.866393566131592,bigbrain_0_2416_2780.nii,152139
save_incremented,20.866645336151123,24.321024656295776,bigbrain_0_2416_2780.nii,152139
load_img,13.186297416687012,13.188184976577759,bigbrain_0_2416_4865.nii,152143
increment_data,13.188568830490112,19.997715950012207,bigbrain_0_2416_4865.nii,152143
save_incremented,19.997956037521362,58.01959013938904,bigbrain_0_2416_4865.nii,152143
load_img,13.115278482437134,13.207603931427002,bigbrain_0_3020_2780.nii,152130
increment_data,13.208341836929321,20.869995594024658,bigbrain_0_3020_2780.nii,152130
save_incremented,20.870144844055176,23.71352529525757,bigbrain_0_3020_2780.nii,152130
load_img,13.240472555160522,13.242244005203247,bigbrain_0_3020_4865.nii,152151
increment_data,13.242766380310059,20.24373197555542,bigbrain_0_3020_4865.nii,152151
save_incremented,20.243889570236206,24.11488699913025,bigbrain_0_3020_4865.nii,152151
load_img,13.257932186126709,13.259640216827393,bigbrain_0_3020_2780.nii,152147
increment_data,13.2601637840271,20.868511199951172,bigbrain_0_3020_2780.nii,152147
save_incremented,20.868687868118286,24.889028072357178,bigbrain_0_3020_2780.nii,152147
load_img,13.266532897949219,13.268149614334106,bigbrain_0_4228_6255.nii,152166
increment_data,13.268620491027832,20.551163911819458,bigbrain_0_4228_6255.nii,152166
save_incremented,20.551487684249878,24.70922613143921,bigbrain_0_4228_6255.nii,152166
load_img,13.289823532104492,13.291852951049805,bigbrain_0_2416_4865.nii,152155
increment_data,13.29232931137085,19.99759030342102,bigbrain_0_2416_4865.nii,152155
save_incremented,19.99776315689087,58.84742832183838,bigbrain_0_2416_4865.nii,152155
load_img,13.313596963882446,13.316336631774902,bigbrain_0_3020_4865.nii,152181
increment_data,13.317117691040039,20.24283766746521,bigbrain_0_3020_4865.nii,152181
save_incremented,20.242998123168945,23.116204261779785,bigbrain_0_3020_4865.nii,152181
